,fac_id,rev_id,rev_rating,review,user,rev_created_time,rev_url,rev_is_selected,fac_name,fac_is_closed,review_count,fac_rating,fac_updated_time,phone,business_url,fac_url,address,city,state,country,postal_code,latitude,longitude,cat1,cat2,cat3,cat4,cat5,cat6
10,Hsi3h7Zwy0gP6Df0b-ngIg,G0lTVUn4Lu-D6FUlCj1b8Q,1,"i have been a client of clarity vision and dr. gary tremayne for many years. due to the coronavirus i was forced to reschedule my appointment until businesses started opening up again. i, sadly, will not be able to return until covid19 is cured. today upon arrival to this office, there were three other customers and four total staff members not including the doctor. none of the staff members, nor the customers (except myself) were wearing masks.  when i inquired as to their masking policy, i was told that masks are worn in the exam rooms only due to the close proximity in those rooms. as you can see there is not 6 feet even at check in. even if there were six feet, masks in public places should be worn. it's masking and social distancing that works. this is unacceptable for a medical practice. beware this establishment does not show respect to its customers by not enforcing social distancing and mask wearing.",Melissa G.,2020-05-27,https://www.yelp.com/biz/gary-tremayne-od-clarity-vision-riverton?adjust_creative=upenn&hrid=G0lTVUn4Lu-D6FUlCj1b8Q&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,"Gary Tremayne, OD - Clarity Vision",False,5,4.0,2020-05-27T12:05:20,18012080734.0,http://www.clarityvisioncenter.com,https://www.yelp.com/biz/gary-tremayne-od-clarity-vision-riverton?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,1543 W 12600th S Ste 104,Riverton,UT,US,84065.0,,,Optometrists,Laser Eye Surgery/Lasik,Eyewear & Opticians,,,
483,JS59cnDBaCLAis2VRDjwlQ,ZK6aREt-RarD90Ky6Y_DVg,5,"i started attending love child prenatal yoga when i began my second trimester, and now that my daughter is five months old i am still a member through their postnatal program and baby & me classes. the love child space is so unique in that it offers a variety of resources and outlets for expecting families and truly grows with you! the prenatal classes were informative and really helped in preparing my husband and i for childbirth and the first few weeks home with the baby. once she was born, i found the new parent circles to be such a special and comforting environment as i was adjusting to life as a new mom. tiffany bissel runs those sessions and is so warm, knowledgeable, and funny. neelu, holly and sarah-grace take the time to get to know you and your entire family - it truly feels like a community. during the covid-19 pandemic neelu seamlessly adapted love child to operate through an online streaming service which to me shows her commitment to creating and maintain a special space for her members. i highly recommend love child to any expecting or new mom (worth traveling to if you don't live in the neighborhood!).",Elise R.,2020-03-28,https://www.yelp.com/biz/love-child-yoga-new-york?adjust_creative=upenn&hrid=ZK6aREt-RarD90Ky6Y_DVg&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,True,Love Child Yoga,False,19,5.0,2020-06-05T06:02:47,16464944251.0,http://www.lovechildyoga.com,https://www.yelp.com/biz/love-child-yoga-new-york?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,1 Horatio St,New York,NY,US,10014.0,,,Yoga,Prenatal/Perinatal Care,Doulas,,,
484,JS59cnDBaCLAis2VRDjwlQ,hNpE_XbOWplq6JCZd8Waig,5,"love child is much more than just a yoga studio. the team go above and beyond to create a community that makes every member feel valued and supported. they helped me navigate through each stage of pregnancy and new motherhood with such care and kindness. through the pandemic they've continued to provide a five star service; all yoga, community and kids classes moved seamlessly online, and recordings are available so you can join when time / baby allows! i cannot recommend love child enough for yoga, support groups, pregnancy and childcare education and as a way to meet other parents; it's a very special place - either at 1 horatio street or on zoom!",Rosie B.,2020-06-05,https://www.yelp.com/biz/love-child-yoga-new-york?adjust_creative=upenn&hrid=hNpE_XbOWplq6JCZd8Waig&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Love Child Yoga,False,19,5.0,2020-06-05T06:02:47,16464944251.0,http://www.lovechildyoga.com,https://www.yelp.com/biz/love-child-yoga-new-york?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,1 Horatio St,New York,NY,US,10014.0,,,Yoga,Prenatal/Perinatal Care,Doulas,,,
641,NBLF-rYoqLamO_D8AUbh9g,M0jrfkrelh0LgOVVODp9Dw,5,"carmen was so helpful speaking with me on the phone. she was really kind, considerate and informative. it's definitely a pleasant experience during this current pandemic.",Madison B.,2020-04-28,https://www.yelp.com/biz/wic-bellflower?adjust_creative=upenn&hrid=M0jrfkrelh0LgOVVODp9Dw&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,True,WIC,False,13,3.0,2020-06-05T13:58:27,15624619602.0,http://www.phfewic.org,https://www.yelp.com/biz/wic-bellflower?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,17610 Bellflower Blvd Ste A103-A105,Bellflower,CA,US,90706.0,,,Nutritionists,Community Service/Non-Profit,Lactation Services,,,
2100,ISJ7J72JX7kl3nWpKVl_IA,oy2XgqDj966MWSSzWBGWSQ,1,"if you enjoy waiting in a crowded waiting room, this is your place. if you like monthly visits, which takes hours, for medication refills- no matter how sick you might be, opposed to the every 3 month visit any other considerate doctor, per state law, schedules, this practice is for you.

consideration, maybe some compassion, for a chronically ill patient. what a freaking concept. 

how about a doctor who makes you feel like a criminal for having rheumatoid arthritis? 
argues with you about diagnoses??
tells you ""it isn't that bad"" when you are in tears over the pain??

yes to all? then boy is this your place.

after being a patient of dr. desilva's for over 2 years, going every single month (27 appts so far), i've realized these things. that sign which states ""we take time for you, because we care""- complete bs.

half the time she argues with me about meds she herself has rx'd me- ""you don't take that"". uh, yes, i do, have been for years- here's the bottle.
(oh- always bring your med bottles to avoid this).

fills you with faith, yes?

the only reason i have continued going to this practice is because florida is a royal pita when it comes to certain, necessary medications. when someone has a condition that causes them chronic pain, sometimes pain meds are the only thing that works.

sorry my body didn't accept the ""conventional treatments"", and that i can't afford the $700 plasma therapy, not covered by insurance.

this does not make me a bad person, and it doesn't mean i am not in pain.

yet, she acts as if the ra is a façade, to the point where i feel like i should apologize to her for having a flare up. due to covid i was finally allowed to do a telephone visit. i expressed to dr. desilva that i was having one of the worst flare ups i have had to date, 10+ years, stating i would not have been able to drive to the office, had we not been able to do a telehealth visit.
unable to move my right arm/elbow/shoulder, it went all the way into my back, to my ankle....i was clear about the agony.
i was in tears.
what did she do? 

rolled her eyes and asked me to lift my arm.
i couldn't. 

my punishment? 
cut meds, not only the pain ones, but other ones too.  
??
(and she argued about my lyrica dosage, i showed her the bottle, she still cut the rx.)
did she rx anything else in place? nope. didn't even have the common courtesy to tell me my meds were being decreased, a pleasant shock when i went to the pharmacy for pick up.

she orders tests, labs, images, then doesn't take the time to review them. she has no clue i have a mass the size of a flipping baseball attached to my spine, from an mri in december, that she ordered. 

luckily, i have a primary who is on the ball.
sadly, i do not have a rheumatologist who cares.

allergy & rheumatology forces people to come to their office monthly, no matter how much pain and suffering a patient might be in (even the state says every 3 months is sufficient). 
$$it's all about$$

side bitch- desilva flat out fibbed to me, saying the state requires monthly face to face visits- why lie? i know i'm an insurance gold mine to you, $267 for 10 minutes, + my $40 co-pay, is that the reason? money?? not concern for your patient's care??

indeed. 

the only ones who truly care are jennifer and grace, the front desk compadres. the new np is ok, but it simply isn't worth the stress and upset each visit brings.

i'm a good patient who does not miss any appointments, tests, or other demands they force upon me. i don't pester them with anything, i abide by what they tell me to do, and remain in constant pain, miserable all the time.
i do not deserve to be treated this poorly. no one does.

do no harm, doctor.

people with progressive, chronically painful conditions, have breaking points. many times, those pain pills are the only thing that gives me the ability to do the bare minimum. that is what they are supposed to do, make life, at the very least, tolerable.
screwing around with a patient's rx, then not having the decency to return the call when the patients notices and inquires about it, shows you don't care, and severely impedes any faith patients might have.

to summarize (tl/dr friends)

this practice doesn't give one crap about you or your condition. they care about collecting the co-pay and belittling you as a wuss, as they act holier than thou.

they will argue with you about things like ""your joint isn't hot, so it must not be that bad"", or my personal favorite, ""it's not bilateral, so it cannot be ra"".

i am not kidding, that was said to me. 
it's ra, you fool. i have the tests you ordered showing it.
i qualified for disability because of it.
what am i missing here? 
it seems to peeve desilva because i want to be out of pain and functionable??

go anywhere else. sorry. i know it's an easy place to get to, convenient for many in our area, but it is not worth the stress, and you don't get the care you need.

might as well go to a vodoo doctor, probably have better luck.",Chloe R.,2020-05-09,https://www.yelp.com/biz/spuza-milord-michelle-md-pa-saint-petersburg?adjust_creative=upenn&hrid=oy2XgqDj966MWSSzWBGWSQ&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Spuza-Milord Michelle MD PA,False,5,2.5,2020-05-09T04:57:49,17273194535.0,http://spuza-milord.com/,https://www.yelp.com/biz/spuza-milord-michelle-md-pa-saint-petersburg?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,5100 Seminole Blvd,Saint Petersburg,FL,US,33708.0,,,Doctors,,,,,
4023,3qUSmukEigqHFesBPNZjzQ,Zg7YIXWdcj7RSoDvt9lDtQ,1,"the business manager refuses to even acknowledge who i am like they don't know! i am well aware of b2b & b2c. your marketing strategies will not work! what company asks you what ""supplies you need most that you can purchase online"" when you are due do for them all, already had to wait longer after already being due for them--during a pandemic? they insure their packages but they can't help a patient out. that is the whole point of insuring it.",Anonymous F.,2020-04-29,https://www.yelp.com/biz/pulmonary-care-havertown?adjust_creative=upenn&hrid=Zg7YIXWdcj7RSoDvt9lDtQ&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Pulmonary Care,False,10,3.0,2020-04-29T17:09:45,16108531985.0,http://www.pulmonarycareinc.com,https://www.yelp.com/biz/pulmonary-care-havertown?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,320 Darby Rd,Havertown,PA,US,19083.0,,,Medical Centers,,,,,
4513,QNRNBEfAExG6PVB0VNt-Lw,L-FbLGSWtPbbb0KXzKQI2Q,5,"i had an outstanding experience with my recent knee surgery here at rebound.  

i think a knee replacement or two is in my future, but for now i just needed that ripped meniscus out of there.  i waited way too long, as usual, endured way t0o much discomfort, as usual, expecting it to resolve on its own.  ha ha ha ha ha ha.  i never learn.  i'm an athlete and i'm accustomed to sports strains and injuries.  i'm a terrible judge of when it is too much and i need to see the doctor.  so, anyway ...  i went.  

i go to rebound because they specialize in sports injuries - but you don't have to be an athlete to take advantage of their expertise.  if you have something that is giving you pain, keeping you from living your best life, then for crying out loud, get in there and let their team help you out.  

making my appointments was a breeze.  the scheduler gave me a direct number, answered all my questions, was flexible, and made sure i understood every step.  i had to get an ekg (abnormal, because i have a wonky heart but no big deal), a covid swab (not the one with the stick so long you think they are swabbing the guy in back of you), and some blood  work.  day of surgery i waltzed (limped) right in and was taken back to prep.  everyone there was soooooo sweet, making sure i was comfortable.  i spoke with my surgeon and we agreed it was the right knee, and with ross - he who controls the gas.  i love you, ross.  thanks for the gentle sleep.  

woke up, ate crackers, got dressed, went home.  i mean, it couldn't have gone any better.  everyone was great, and i hope i thanked them enough.  i already feel well enough, three days later, to think i can get on my bike.  my family has hidden it from me, however.  i'll keep looking for it. 

be well, friends.  stay strong.  get help if you need it, and never stop trying.  peace.  love.  courage.",Quinn A.,2020-06-01,https://www.yelp.com/biz/rebound-orthopedics-and-neurosurgery-vancouver?adjust_creative=upenn&hrid=L-FbLGSWtPbbb0KXzKQI2Q&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Rebound Orthopedics & Neurosurgery,False,63,3.5,2020-06-02T12:45:46,13602546165.0,http://www.reboundmd.com/index.php,https://www.yelp.com/biz/rebound-orthopedics-and-neurosurgery-vancouver?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,200 NE Mother Joseph Pl Ste 110,Vancouver,WA,US,98664.0,,,Family Practice,Orthopedists,Neurologist,,,
5068,254mzQ9MiVRRGnz_OhQgyA,R04bdUi-t2y1YNCCIkyd3Q,1,"she's a family doctor who tweets conspiracy theories and anti-science crap. she thinks covid-19 is a conspiracy, and wearing a mask makes you re-breathe the virus and makes you sicker. wacko i would not trust with my family. having political beliefs is one thing, thinking a dangerous disease is part of a govt conspiracy is another.",Emily K.,2020-05-28,https://www.yelp.com/biz/towers-tamara-l-md-seattle?adjust_creative=upenn&hrid=R04bdUi-t2y1YNCCIkyd3Q&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Towers Tamara L MD,False,3,3.0,2020-05-28T00:12:05,12063203400.0,http://www.swedish.org,https://www.yelp.com/biz/towers-tamara-l-md-seattle?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,7210 Roosevelt Way NE,Seattle,WA,US,98115.0,,,Doctors,Hospitals,,,,
5145,d9odDvLVaRee6L5H5WDTfw,j3N188DPYocLPsjuEWqaeQ,5,i love dr. kobets! she fixed me and restored my face that has been suffering from cystic hormonal acne. i went to the nyc clinic. she is friendly and very professional. she listens to my concerns. i did aerolase plus chemical peel. like any other people who suffers pimples im a bit impatient. i was feeling hopeless as im still having pimples in my 2nd-3rd month but in my 4th month i was clear!!!! like no pimples at all. she is a life saver. she restored my confidence and everything followed from there. i wish she see my face now as the last time i saw her was a month before the quarantine and i still have pimples by then. i would totally recommend her! she did a fantastic job!!!! thank you dr. kobets. -alrence,Alrence T.,2020-05-26,https://www.yelp.com/biz/kseniya-kobets-md-new-york?adjust_creative=upenn&hrid=j3N188DPYocLPsjuEWqaeQ&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,True,"Kseniya Kobets, MD",False,4,4.0,2020-05-26T17:20:58,17323015467.0,http://www.skinandlasers.com,https://www.yelp.com/biz/kseniya-kobets-md-new-york?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,115 E 57th St Ste 400 The Galleria Building,New York,NY,US,10022.0,,,Cosmetic Surgeons,Skin Care,Dermatologists,,,
6449,VjhBkja0x7eT4hA0NC1IKg,Tf2Cjso3p6d43EizWeYUSA,5,"i have just completed 7 sessions of physical therapy with susan barr-hunter to address a rotator cuff injury.   referred by my chiropractor, this was my first-ever physical therapy.  i am more than pleased with my experience.  susan has been thorough, gentle, supportive, helpful, patient, and skilled in showing me exercises to do to help me heal.  my shoulder feels so much better, and i've resumed home activities i couldn't do due to pain, such as changing the sheets and putting a plate on a kitchen shelf above my head.  susan accomplished all this with only 3 in- person sessions; the other 4 were done virtually, due to the coronavirus stay at home order.  shelley at the office has been personable, compassionate, and helpful as well.  pam, one of the owners, is very friendly and knowledgeable.  the staff has filed my insurance claims in a timely manner.  they are conveniently located off i-395 and rt. 7 in alexandria, va.",Susan Katz C.,2020-05-13,https://www.yelp.com/biz/hand-n-hand-therapy-arlington-3?adjust_creative=upenn&hrid=Tf2Cjso3p6d43EizWeYUSA&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,True,Hand N Hand Therapy,False,3,5.0,2020-05-13T10:39:15,17035278446.0,http://www.handnhandtherapy.com,https://www.yelp.com/biz/hand-n-hand-therapy-arlington-3?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,4850 31st St S Ste B,Arlington,VA,US,22206.0,,,Physical Therapy,Occupational Therapy,,,,
