,name_t1,count_t1,name_t2,count_t2,name_covid_t1,count_covid_t1,name_covid_t2,count_covid_t2,name_tele_t1,count_tele_t1,name_tele_t2,count_tele_t2,name_merge_t1,count_merge_t1,name_merge_t2,count_merge_t2
0,Skin Care,9655,Pharmacy,6537,Urgent Care,273.0,Pharmacy,1928,Urgent Care,33.0,Family Practice,67.0,Medical Centers,3.0,Family Practice,31.0
1,Urgent Care,7756,Skin Care,3309,Medical Centers,158.0,Convenience Stores,720,Family Practice,24.0,Urgent Care,57.0,Urgent Care,2.0,Urgent Care,29.0
2,Medical Centers,7235,Convenience Stores,3046,Hospitals,141.0,Skin Care,486,Counseling & Mental Health,11.0,Sports Medicine,45.0,Occupational Therapy,1.0,Trainers,28.0
3,Medical Spas,6688,Medical Spas,2815,Skin Care,115.0,Family Practice,452,Medical Centers,9.0,Counseling & Mental Health,45.0,Doctors,1.0,Physical Therapy,24.0
4,Physical Therapy,5667,Sports Medicine,2371,Pharmacy,114.0,Walk-in Clinics,447,Doctors,6.0,Trainers,41.0,Massage Therapy,1.0,Childbirth Education,23.0
5,Pharmacy,5629,Physical Therapy,2048,Family Practice,91.0,Medical Centers,410,Life Coach,6.0,Nutritionists,40.0,Internal Medicine,1.0,Nutritionists,22.0
6,Massage Therapy,5239,Medical Centers,1891,Medical Spas,77.0,Physical Therapy,367,Medical Spas,5.0,Internal Medicine,37.0,Hospice,1.0,Internal Medicine,21.0
7,Family Practice,5111,Nutritionists,1882,Doctors,72.0,Urgent Care,353,Psychiatrists,5.0,Medical Centers,37.0,Family Practice,1.0,Sports Medicine,21.0
8,Hospitals,4489,Family Practice,1859,Walk-in Clinics,64.0,Medical Spas,340,Emergency Rooms,5.0,Physical Therapy,35.0,Preventive Medicine,1.0,Medical Centers,20.0
9,Dermatologists,3931,Massage Therapy,1837,Drugstores,54.0,Massage Therapy,332,Internal Medicine,5.0,Childbirth Education,29.0,,,Medical Spas,15.0
10,Drugstores,3841,Ophthalmologists,1439,Internal Medicine,53.0,Ophthalmologists,326,Home Health Care,4.0,Pain Management,28.0,,,Pediatricians,15.0
11,Obstetricians & Gynecologists,3706,Urgent Care,1435,Pediatricians,52.0,Sports Medicine,325,Pediatricians,4.0,Medical Spas,24.0,,,Pain Management,14.0
12,Cosmetic Surgeons,3678,Cosmetic Surgeons,1426,Convenience Stores,49.0,Nutritionists,260,Walk-in Clinics,4.0,Pilates,22.0,,,Massage Therapy,13.0
13,Convenience Stores,3636,Laser Eye Surgery/Lasik,1411,Massage Therapy,39.0,Laser Eye Surgery/Lasik,256,Concierge Medicine,4.0,Skin Care,21.0,,,Skin Care,12.0
14,Doctors,3248,Laser Hair Removal,1396,Grocery,36.0,Doctors,254,IV Hydration,3.0,Massage Therapy,21.0,,,Pilates,12.0
15,Laser Hair Removal,3107,Walk-in Clinics,1303,Emergency Rooms,35.0,Cosmetic Surgeons,201,Cosmetic Surgeons,3.0,Pediatricians,19.0,,,Psychologists,12.0
16,Sports Medicine,2982,Orthopedists,1127,Laboratory Testing,33.0,Rehabilitation Center,200,Diagnostic Imaging,3.0,Psychiatrists,18.0,,,Counseling & Mental Health,11.0
17,Pediatricians,2856,Rehabilitation Center,1012,Physical Therapy,31.0,Pediatricians,192,Skin Care,3.0,Cosmetic Surgeons,17.0,,,Occupational Therapy,10.0
18,Ophthalmologists,2778,Counseling & Mental Health,1009,Home Health Care,28.0,Occupational Therapy,192,Physical Therapy,2.0,Occupational Therapy,17.0,,,Lactation Services,10.0
19,Internal Medicine,2639,Pain Management,980,Laser Eye Surgery/Lasik,27.0,Eyewear & Opticians,190,Obstetricians & Gynecologists,2.0,Walk-in Clinics,16.0,,,Psychiatrists,10.0
20,Optometrists,2601,Plastic Surgeons,959,Laser Hair Removal,27.0,Internal Medicine,190,Endocrinologists,2.0,Psychologists,16.0,,,Weight Loss Centers,9.0
21,Counseling & Mental Health,2496,Eyewear & Opticians,839,Sleep Specialists,27.0,Laser Hair Removal,174,Laboratory Testing,2.0,Weight Loss Centers,15.0,,,Massage,9.0
22,Chiropractors,2458,Doctors,813,Optometrists,27.0,Emergency Rooms,167,Hospitals,2.0,Lactation Services,14.0,,,Acupuncture,9.0
23,Orthopedists,2419,Pediatricians,811,Massage,26.0,Radiologists,162,Pharmacy,2.0,Acupuncture,14.0,,,Speech Therapists,8.0
24,Massage,2387,Occupational Therapy,789,Ophthalmologists,26.0,Orthopedists,155,Drugstores,2.0,Life Coach,13.0,,,Ophthalmologists,8.0
25,Laser Eye Surgery/Lasik,2359,Internal Medicine,783,Dermatologists,25.0,Diagnostic Imaging,147,Dermatologists,2.0,Yoga,13.0,,,Prenatal/Perinatal Care,8.0
26,Nutritionists,2213,Surgeons,764,Nutritionists,23.0,Pain Management,145,Hypnosis/Hypnotherapy,2.0,Massage,13.0,,,Concierge Medicine,7.0
27,Diagnostic Imaging,2165,Weight Loss Centers,675,IV Hydration,23.0,Skilled Nursing,142,Massage Therapy,2.0,Prenatal/Perinatal Care,12.0,,,Walk-in Clinics,7.0
28,Laboratory Testing,2006,Radiologists,612,Cosmetic Surgeons,22.0,Surgeons,106,Naturopathic/Holistic,1.0,Concierge Medicine,11.0,,,Yoga,7.0
29,Walk-in Clinics,1906,Diagnostic Imaging,573,Medical Supplies,20.0,Drugstores,105,Preventive Medicine,1.0,Health Coach,11.0,,,Doulas,6.0
30,Pain Management,1687,Body Contouring,560,Obstetricians & Gynecologists,19.0,Hospitals,103,Diagnostic Services,1.0,Sleep Specialists,10.0,,,Rehabilitation Center,6.0
31,Rehabilitation Center,1675,Obstetricians & Gynecologists,540,Body Contouring,18.0,Weight Loss Centers,102,Orthodontists,1.0,Body Contouring,9.0,,,Parenting Classes,6.0
32,Plastic Surgeons,1562,Emergency Rooms,539,Eyewear & Opticians,18.0,Optometrists,98,Yoga,1.0,Doulas,9.0,,,Life Coach,6.0
33,Podiatrists,1349,Dermatologists,537,Diagnostic Imaging,16.0,Counseling & Mental Health,97,Ophthalmologists,1.0,Speech Therapists,9.0,,,Chiropractors,5.0
34,Eyewear & Opticians,1340,Fertility,513,Weight Loss Centers,16.0,Childbirth Education,91,Speech Therapists,1.0,Dermatologists,8.0,,,Orthopedists,5.0
35,Home Health Care,1270,Chiropractors,495,Rehabilitation Center,15.0,IV Hydration,90,Nutritionists,1.0,Rehabilitation Center,8.0,,,Health Coach,5.0
36,Weight Loss Centers,1254,Prenatal/Perinatal Care,481,Sports Medicine,13.0,Ultrasound Imaging Centers,83,Business Consulting,1.0,Ophthalmologists,8.0,,,Pharmacy,4.0
37,Acupuncture,1160,IV Hydration,459,Day Spas,13.0,Home Health Care,82,CPR Classes,1.0,Pharmacy,8.0,,,Gyms,4.0
38,Psychiatrists,1151,Acupuncture,447,Gastroenterologist,12.0,Obstetricians & Gynecologists,80,Weight Loss Centers,1.0,Hospitals,8.0,,,Hospitals,4.0
39,IV Hydration,1120,Skilled Nursing,438,Waxing,12.0,Acupuncture,80,Cryotherapy,1.0,Naturopathic/Holistic,8.0,,,Traditional Chinese Medicine,4.0
40,Surgeons,1098,Home Health Care,434,Naturopathic/Holistic,11.0,Trainers,78,Plastic Surgeons,1.0,Obstetricians & Gynecologists,8.0,,,Boot Camps,4.0
41,Occupational Therapy,1064,Optometrists,434,Orthopedists,11.0,Prenatal/Perinatal Care,77,Saunas,1.0,Laser Eye Surgery/Lasik,7.0,,,Body Contouring,4.0
42,Emergency Rooms,1007,Drugstores,426,Radiologists,11.0,Fertility,72,General Dentistry,1.0,Orthopedists,7.0,,,Sleep Specialists,4.0
