,doc_num,dominant_topic,topic_contribution,topic_keywords,doc_text
0,1980,0.0,0.2075,"doctor, care, patient, visit, office, test, medical, year, give, issue","i called and talked to the nurse for my dr to ask for a prescription for a travel nebulizer back in the middle of february. i had to keep calling to talk to the nurse to see if she talked to my doctor. finally on march 12 i was told that my doctor had written the prescription on march 11 and where did i get the nebulizer that i got over 5 years ago. so i told the nurse apria healthcare and i told her that she needed to call my insurance company. so a few days later i called to see how everything was going. the nurse tells me that apria was no longer in business. so i told her that she needed to call my insurance company to see where to send the prescription. i told her that whoever she sent it to had to be on my insurance. so i called back on march 16 to see how things were going. the nurse says i faxed it to vitality medical. so on tuesday march 17 i called my insurance they said that vitality medical was not on our insurance and that they were supposed to fax the prescription to carecentrix. so i called the nurse back and told her to cancel the order to vitality. i go pick up the prescription , i faxed it to my insurance company then called my insurance march 18 to see if they got my fax ( the prescription) they said yes. so i asked where it was coming from and my insurance said ""apria healthcare "" and it will be delivered by fedex on march 25. i'm so glad i went to go get my prescription. the nurse had told me apria was no longer in business. she was just lazy and not doing her job. i understand that there is a pandemic going on but that is not an excuse for being lazy and not doing her job properly. our doctor is moving to utmb may 5th. i'm pretty sure we will be following her over there. especially since beeler manske's nurse can't do her job right."
1,11,1.0,0.2799,"make, feel, experience, time, question, baby, good, son, child, daughter","i originally went and posted @ 2 months ago.  since, i've been back 3 times!

facial - i had the most awesome biologique recherche facial with amanda.  what a treat both in relaxation and effectiveness.  i need a deep cleansing and the masks, ice cold roller, extractions (yay) and so much more.  not only did my face look spectacular afterwards but has continued to look great. highly recommend!

injectables (filler, botox) - my next visit was with mary ellen.  we started with a consultation and mapped a plan.  mary ellen is an artist!   she combines art with the science of injectables.  she doesn't simply inject to do this/that outcome but she looks at the structure of your face.  i've had injections before but never with this approach.  i felt like i was in the hands of an artist sculptor.  the result was subtle, beautiful changes (not blown up).  she was patient; i had lots of questions.  her assistant, emily, is a doll too.  

bbl and clearsilk (laser) - i've been battling brown spots and redness in my cheeks.  meg suggested these two treatments, done at same visit.  while its only been one week, i can begin to see the spots fading!!  i've had ipl in the past (3 treatments) that did nothing so i'm hopeful this will begin the fading  and even out of skin tone.  

i had a visia (skin analysis) consultation yesterday with meg.  i highly recommend doing this if you are truly interested in your skin's health; agin well!  the visia takes photos of your skin (face) and then shows you 10 years and 20 years aging if you do nothing.  oh my!!!  it highlights your ""trouble"" areas compared to others of your demographics.  it was awesome.  

with meg's knowledgeable and patient assistance, i was able to identify a long term plan.  she didn't try to ""sell"" me on tons of stuff but i already have a pretty robust skincare daily plan.  

i currently use many of the biologique recherche products (which they are the place for this) and i was able to add a few new goodies to my routine.  the eye masks are def worth the $$ and time.  

beautiful spa.  meg was wonderful; good energy, down to earth, patient and very helpful in educating me based on my questions.  importantly she didn't try to push products on me which i really appreciate.  

treat yourself!"
2,10671,2.0,0.2317,"insurance, pay, review, send, money, charge, bill, receive, month, company","i am continually impressed with the professionalism, compassion, and generosity of parkside pharmacy and it's staff. they have generously donated thousands of dollars to our nonprofit, helping to provide the underserved with much needed medical care. their response to the recent coronavirus pandemic has been nothing short of tremendous, hiring more delivery staff, providing curbside pickup, and always available to patiently answer questions over the phone, even when they are really busy. alex and john always go above and beyond for their customers! thank you so much parkside pharmacy for being such a vital resource, especially when our community needs it the most."
3,1896,3.0,0.197,"call, appointment, time, office, day, make, phone, week, back, schedule","watch out for unrequired procedures. my estimate went from over $250 to approx $95 after i refused their extra stuff. they added a procedure that was not on my doctors orders. in fact, they added a procedure i specifically discussed with my doctor, not doing at this juncture. 

i'm not the only reviewer who thinks they pressure you into procedures. i wonder how many people didn't realize this, and agreed to and paid for procedures they were convinced of by this place. wow.

over the phone they made it sound like i have no choice:  by using words like ""procedure a comes with procedure b""
 
the front desk told me that i ""must have"" both procedures.  that its their ""policy."" that my ""physician may not know better."" that my ""results cant be read"" without both procedures. wow, that's a lot of interesting statements. 

i'm going to write 100 emails to anyone that will listen. this was a lot of misinformation. isn't ordering/forcing unnecessary medical procedures considered insurance fraud? i don't know, but what they're doing doesnt seem right. look at how many different things were said to me.  and someone should investigate the language they're using with patients, its literally not the truth. the one procedure they chose to tack on is optional. i didnt even know i had 2 procedures scheduled until i showed up, and she said they're ""usually scheduled together.""  mine were not.

also, when i was making the appointment, the scheduler asked me medical questions. i remember thinking it was strange that he pried, but in that moment i answered him. if you read other reviews, it looks like i'm not the only one who is be8ing asked questions by people who its irrelevant to.

thank goodness for yelp, that others can be warned to pay attention, and ask questions, and know the staff may misinform them anyway. 

ara, if you write back, could you tell me who regulates things like this, so i can share my experience with them, in case you're doing this company wide? it may be legal, but it seems unethical since the bottom line is: my doctor didn't order it, and i was told by more than one person on your staff that the procedures go together. good thing i didn't believe you, and the 3rd person on your staff was honest. it took that many people to get a procedure i didnt ask for off my appointment."
4,208,4.0,0.1983,"service, people, place, bad, customer, prescription, pharmacy, rude, give, location","i recently underwent lasik at the nvision eye center in la jolla with dr. parikh. over the years, i had become increasingly intolerant to contact lens wear, and glasses just weren't the best option for my active lifestyle. prescription ski goggles and scuba diving masks are a hassle, and hockey shields are simply not designed to fit over spectacles. through my own background as a lasik surgeon, i have known dr. parikh for several years. when it came time to have my surgery, i trusted he would do an excellent job.

the day of my procedure, i was greeted at the door by alex who promptly checked me in. torrea was my technician who did the preoperative testing. she was very personable and very knowledgeable.  my own optometrist at home had performed preoperative measurements, but as the old saying goes, measure twice, cut once. dr. parikh's optometrist, dr. peterson, did one final refraction to double check my prescription prior to surgery.  

my surgery was textbook perfect. i had no pain during the procedure.  immediately after the surgery, i was able to see pretty well without any correction.  

once the anesthetic drops wore off, i did experience foreign body sensation and light sensitivity. the next morning when i woke, i could see clearly (20/15 in both eyes without correction!!), and my eyes felt fairly normal.

i am extremely happy that i had the surgery, and i am glad i chose the la jolla nvision team and dr. parikh. i would also like to give a special shout out to john, the director of the clinic, for helping make the arrangements for my surgery.  

p.s. my hockey teammates would also like to thank dr. parikh & his team!"
5,7430,5.0,0.2358,"care, patient, staff, hospital, nurse, family, facility, home, stay, day","if i could give zero stars i would. there's a pandemic going on at the moment, but i don't think it's fair to leave other issues behind that need treatment. i came in with a burning pee sensation, abdomen pain, and itchiness in my vagina canal. i tried over the counter yeast infection cream but it never went away. i walked about a mile to jordan meadows to get a urine test to see if it was bv, uti, yeast infection or an sti. i go in, do a swab, and urine analysis, i also talk to my doctor about being tested for clamydia and gonnorea (can't spell stis). he said ""oh sure! we'll have your test results by monday or tuesday"" this was saturday. i waited a long uncomfortable 3 days to get my results. no call monday, no call tuesday, so i call. i understand they have a lot on their plate right now. ""we don't have your results, we will call you on wednesday or thursday."" said a very catty girl on the phone. my symptoms never lessened. i just wanted answers. i myself call thursday in the evening, the girl said that they have my results a few days ago?? but they need my doctor to review them. this made me anxious. i thought it was an sti. ""oh but the doctor you saw only comes in once a month. we have to switch you providers. we'll give you a call when we switch the doctor and he can look at your results."" so annoyed, i call friday because they never called me. "" your new doctor has been so busy he hasn't been able to look at your results."" later that day i got a call saying that they never found anything in my urine, so they want to re-test. i asked if the sti results came back and they said ""yes you don't have clamydia."" so i felt comfortable that they not only tested that and i had a negative test. my mother drove me to again go to jordan meadows to take another urine test. i wasn't that upset about the negative test, but i wanted an answer. i was frustrated how i had to play telephone with catty girls that knew who i was because i called so often. they never called when they said they would. in the waiting room a nurse comes out and says ""you might have a uti, we prescribed you sone antibiotics. where's your pharmacy?"" i replied with walgreens. we drove over to walgreens to get my prescription and the lady tells me there's no prescription there. i call jordan meadows. ""oh we sent it to cvs"" annoyed, we go across the street. not there!! i call once again. ""oh, your doctor hasn't even sent out the prescription yet! haha"" how stupid can these people be?! i go home with uncomfortable genitals and frustration.  on saturday i call once again to confirm my script is at walgreens and they say yes. i go pick up my script and i get a call. what a surprise! i didn't have to make the call! "" hello emily, we have your test results, it's a uti, we sent in a script!"" and i said ""yes i just picked it up! i'm so glad i don't have an std i was so worried!"" and age said ""yes you are all clear!"" i walk home feeling like i have an answer to my problem. sunday taking medication i feel great! symptoms lessen. i wake up monday, april 13th my 20th birthday with a call. ""hello emily, you must stop taking the antibiotics, you don't have a uti."" ""oh, did you guys test for clamydia and gonorea too?"" ""we never tested for you any sti."" i start to get anxious and angry. why did two people say i was clear for stis? when they didn't even test me? ""you need to come in for another urine analysis."" on my birthday! made it so much worse. my mother drives me to the doctor, and she's pissed. she asked for a doctor because all the female nurses were giving us complete bullshit. we ask the doctor why they said i didn't have clamydia and also why they didnt test me for stis when i asked in the first place? he said they must have looked at previous std results from other years. not a great answer that made sense. i take my third urine test, as well as a blood test to make sure it's not any other sexually transmitted disease. i'm someone who likes to know and be safe. i spent my birthday uncomfortable and exhausted. this office was a complete joke. nobody knew what the hell they were talking about and gave me false information. all my tests came back negative, they ""supposedly"" prescribed me medicine for a yeast infection. on my patient portal it said it was at walgreens, and the doctor said that as well. i go the other day to pick it up, guess what? it's not there???? are you serious? how stupid can these people be. i had to run around on a wild goose chase just to not feel uncomfortable down there. my symptoms have cleared up 3 weeks later on their own. i am switching providers, and hope they see this so they can get their shit together."
6,6065,6.0,0.2319,"wait, hour, room, time, minute, back, check, walk, leave, long","i've delayed yelping on this office but the time has come to do so.  i have no issues with dr morasca, only with his staff, specifically, front desk staff.  i'm not a new patient but have been coming here for nearly five years.  

i find them to be rude, inconsiderate, and better suited to work in an environment where customers could be shielded from them.  

today with a new temporary policy of social distancing asa result of covid19, customers are asked to sign in outside and then wait outside for assistance.  as a long time patient and not expecting this, i went inside because one of the signs led me to believe that i should go inside.  

ok, my mistake.  this was my first experience with this new, temporary policy.  i was then rudely accosted by staff and directed to leave the waiting room, complete paperwork outside, and sit in my car to wait, wait, and wait.  

that was 50 minutes ago.  

their rudeness and inconsideration has been experienced before.  a couple of years ago i had a hip fracture and dislocation.  i had surgery and required three weeks hospitalization.  three days after i was discharged i came here to see dr morasca.  i was still just relearning how to walk, and required a walker.  i had to stand in the waiting room for 45 minutes.  all the chairs in the waiting room were taken.  being in obvious discomfort, i asked the front desk off there was perhaps a chair available in the back office that could be available for me.  i was told ""no"", but that dr morasca would see me as soon as he could.  

really?  that's a horrendous way to treat a patient."
7,8,7.0,0.2263,"work, pain, year, treatment, life, back, therapist, session, body, month","i highly recommend dr. goldman. early this year (2020), he performed cataract surgery on both my eyes. the experience was pleasant and with excellent results. for 70 years my driver's license restricted me to driving only with corrective lenses. (yes, i'm 85.). i had substantial correction for astigmatism and nearsightedness. i now have 20/30 vision in one 20/25 in the other. i passed the eye exam at mvd and no longer have a restricted license. i will get a prescription for 20/20 vision in both eyes and for reading, but i may never buy glasses. so far, i see up close and my computer using $20 readers from walgreens. 

i was terrified at the prospect of eye surgery. fifteen months earlier, i canceled cataract surgery at the last minute.  dr. g patiently and with graciousness allowed me to try again. he and his staff had to work me up once again. they were very professional in doing so; they didn't give me a hard time, though i felt they had every right to do so. 

surgery took place at a beautiful new facility just east of pima road and north of via de ventura.  the staff there is different from dr. g's office staff and care for the patients of several doctors. nonetheless, i was made to feel as if they were dr. g's exclusive staff. 

i was guided to a bed separated from other beds by a curtain. a nurse prepped me by installing a port (hope that's correct because my memory of what happens next begins to grow dim due to partial retrograde amnesia - like having a colonoscopy where you're awake but later don't remember being awake). 

i didn't have to change into hospital garb; i even kept my shoes on. they had me lie on a freshly made gurney (not a hospital bed) and gave me a light blanket. i remember meeting the anesthesiologist, who was kind and comforting as i confessed my terror. my next memory is dr. g taping a cup-like device over my eye. he was all done!!  wtf?

i have absolutely no recollection of the surgery.  if asked. i will say i was out; however, dr. g insists i was conscious and talking during the procedure. just like during a colonoscopy.  it was like magic. if i was anxious during the procedure, i have no recollection of it. i assure you i was anything but brave going into it. years ago, my sister told me that when she had cataract surgery she was so far in nana land she felt no anxiety. that helped me. but what assuaged my fear the most was dr. g's competence (he'd been my doctor for several years), the attendant staff and the clean surroundings.

having survived the first surgery, i returned for the second two weeks later - this time without the anxiety of the first. 

i'm not a rookie to surgery. i've had six coronary by-passes, eight coronary stents, a pacemaker, back surgery and surgery for testicular cancer. i was more apprehensive about this procedure than any of the others. there's something about the eyes that scares the you-know-what out of me.  

fear not, however. if you choose dr. g, you'll be in excellent hands. better than a tranquilizer."
8,7667,8.0,0.1908,"staff, great, recommend, good, highly, friendly, professional, nice, experience, love","this pharmacy, i called in to ask of two different products because i dont have a car and buses are very scarce and few during covid 19, i had to walk for 45 mins just to get here. this mexican woman who answered (not being racist just dont know her name) was too lazy to properly check what products i was trying to find. the first product that i wanted to buy two of each, had only one left (i could have just ordered it online you know if this is the case). she told me there was three at first. and the second product she told me it doesn't exist anymore. as i came to the store, it was right up there very much well stocked. why do people love to generalize products? dont they know that a place like los angeles has too many specifix, niche products? lazy and undiscerning, man... i called her the next day before i  could come just to be sure the products were still available, especially because the first product always runs out, she answered it with such a snarky and rude tone, ""i told you we already checked yesterday! we have it!"" my husband and i called just to be very sure that there were 2 of the 1st product and buying the second product too. and she just hung up on me? wtf. so unfriendly, so rude, she should get fired. great proper customer service over here! she should try to be more sensitive in serving customers during covid 19."
9,9529,9.0,0.2342,"surgery, make, result, procedure, feel, eye, year, treatment, skin, good","there has been some things i did not love about this nursing home when my mom first came here but overall the experience has been really good. my moms nurses have always been super kind and treated her as if she was family. i've always felt very welcomed and never had a problem getting info from them. while this whole corona virus thing has happened they have informed about everything and every step they will take to take care of my mom. i know in my heart they are honestly doing the best they can. i'm sure they are scared and not to mention the chances of taking it to their families but they are awesome. they are the kind of nurses that know what they signed up for and are willing to do all they can for their patients. i respect them so much and happy that if my mom is stuck somewhere that she is stuck their with them. thank you imperial for always doing an amazing job taking care of my mom, making her laugh and keeping a smile on her face :) by the way my moms been here for almost 2 years. so this review is based on those whole 2 years of amazing service she's received."
