,Topic_0,Topic_0,Topic_1,Topic_1,Topic_2,Topic_2,Topic_3,Topic_3,Topic_4,Topic_4,Topic_5,Topic_5,Topic_6,Topic_6,Topic_7,Topic_7,Topic_8,Topic_8,Topic_9,Topic_9
,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value
Word_1,doctor,0.12721301650549913,make,0.04895241391522723,insurance,0.03484344287570967,call,0.10562042343358054,service,0.038895033665431636,care,0.07036147819635913,wait,0.06540375680748285,work,0.04462013955013034,staff,0.07000713532159289,surgery,0.038459249286290416
Word_2,care,0.04519574971249008,feel,0.0473124164909287,pay,0.029415826543295123,appointment,0.07778163560680833,people,0.030414541111358773,patient,0.041126908684770466,hour,0.03776229962155011,pain,0.0444581895946178,great,0.06563401490975788,make,0.026777193310114255
Word_3,patient,0.039309895200609034,experience,0.025354561406333007,review,0.02386902588570034,time,0.06695782439248946,place,0.025849416059315084,staff,0.029018530445203524,room,0.03633349743084828,year,0.022729578695971153,recommend,0.059976098861412794,result,0.025648393101594072
Word_4,visit,0.03445057259018093,time,0.02020919525427003,send,0.016335819808434845,office,0.04517366082400627,bad,0.02462139531754009,hospital,0.027809934536086676,time,0.028170287068090213,treatment,0.016193044346970952,good,0.0421180961386091,procedure,0.023162980278834174
Word_5,office,0.026602766574339538,question,0.017585199375392394,money,0.016116369304928366,day,0.0405722244112151,customer,0.02392117116169921,nurse,0.02531529475065831,minute,0.027572228546813946,life,0.01612280099277274,highly,0.03625881518641575,feel,0.021367161765279336
Word_6,test,0.026108735442279346,baby,0.016834623867093803,charge,0.01578530173498325,make,0.027811479598803118,prescription,0.023050622211194333,family,0.022769702355233446,back,0.025737669610165843,back,0.01499305371275151,friendly,0.034413699817458336,eye,0.018834544570163144
Word_7,medical,0.024541603900416282,good,0.016389912909093834,bill,0.01567368466854461,phone,0.027054651566516992,pharmacy,0.021126582864063992,facility,0.021214628698140434,check,0.025472293160210456,therapist,0.014965736852785539,professional,0.031016761439496412,year,0.01871550745726465
Word_8,year,0.021688776584544114,son,0.013673352758415299,receive,0.015423965130071719,week,0.02500653446883546,rude,0.020256033913559117,home,0.0183938922087345,walk,0.024414633395895512,session,0.01284477779685622,nice,0.027643899300038084,treatment,0.017841200386665382
Word_9,give,0.016967134781411472,child,0.013540543151048794,month,0.012786775458623174,back,0.023042292642773268,give,0.01564885335666012,stay,0.015037134262165444,leave,0.020408987415771823,body,0.01228283096327053,experience,0.0266523960234809,skin,0.01664877689366497
Word_10,issue,0.016952961757131055,daughter,0.013182359664514883,company,0.011449262476044896,schedule,0.021832928261285127,location,0.014641624015375493,day,0.014772180690183673,long,0.013693809421248577,month,0.012113076190624853,love,0.02503053304792047,good,0.01359896396664498
Word_11,find,0.01648120252036866,give,0.012880519647772823,visit,0.010352009958512504,answer,0.019609258269516604,time,0.014536485253237223,treat,0.014299340469416206,nurse,0.013316897941601798,start,0.011338448090161247,amazing,0.024785393164974762,face,0.01348403158177747
Word_12,clinic,0.015069974245590164,thing,0.01230903588274119,give,0.009540421458475614,leave,0.015555937003819251,work,0.012892115013394679,mom,0.012589370877933851,give,0.012593843266361034,issue,0.010657477795295257,place,0.024341077127135673,experience,0.01092678601847538
Word_13,practice,0.01505985065681844,find,0.011812005988505932,state,0.009506368794138402,today,0.011941497973339368,order,0.012448429437171178,health,0.011287022166423452,sit,0.011326574566936401,week,0.008838955403274902,helpful,0.022191725653451,explain,0.01051220848734615
Word_14,time,0.01324975298443397,husband,0.011727490783818155,write,0.009453397982947183,receptionist,0.011754241552979912,star,0.012385346179888216,mother,0.009723796091731003,place,0.01079582166702563,therapy,0.008499445857983547,massage,0.020948516247083493,happy,0.009947808383086058
Word_15,urgent,0.013203184476084033,team,0.011125823017112317,cost,0.008250203843032352,speak,0.01076139240753239,store,0.012330674023576316,provide,0.009334518151357786,put,0.009432402079936002,find,0.008052620077111593,clean,0.020482312719695677,facial,0.008156094597562202
Word_16,listen,0.012782043183180264,meet,0.009499911460261756,cover,0.00776779109825518,minute,0.009645656236223975,employee,0.011254053099280431,member,0.009179622216968442,people,0.00871127042244854,foot,0.007800914724568004,kind,0.018352659986604857,process,0.007725098154309041
Word_17,concern,0.012087564993439914,kid,0.0085098762053478,information,0.007535097891950896,return,0.009583237429437489,line,0.011151017112384925,wife,0.009138860128971247,open,0.008013214978000676,physical,0.007713110531820239,knowledgeable,0.017474971655701034,follow,0.007470605016388127
Word_18,treat,0.011629978780957935,support,0.008119496450361403,refuse,0.0075010452276136836,receive,0.009411585710774656,fill,0.0109701784415071,place,0.007897654549456642,door,0.007988215747207778,change,0.007291650406630973,super,0.015947224885200117,surgeon,0.007090917673522246
Word_19,health,0.010909179260411099,process,0.007916257505755083,business,0.007313755573759017,follow,0.00865280709077645,horrible,0.010850320252669474,people,0.007710148944669541,emergency,0.007609381249807698,injury,0.006671167444546774,easy,0.014804697930756738,consultation,0.006908257276143526
Word_20,problem,0.010324035829405382,birth,0.007123424395112606,read,0.007056468776544525,finally,0.008301701302602474,pick,0.010564342819653379,live,0.0067583541899350254,finally,0.007559382788221901,exercise,0.006372633189204377,wonderful,0.014113053261017068,time,0.006867209995833701
