,doc_num,dominant_topic,topic_contribution,topic_keywords,doc_text
0,226,0.0,0.2029,"surgery, make, feel, good, baby, procedure, experience, time, team, meet","choosing a nursing home is hard.  a year ago my grandmother was living alone in her house and as the dementia was getting worse we began the process of looking for a memory care facility.  we toured several and none of the options were great.  then grandma fell and broke both her arms and we were forced to find an acute rehab facility that also had memory care capabilities.  the list of options is short, and we selected marquis.  i cannot recommend them enough.  the food sure wasn't great but that's the only negative thing i could say.  the staff is absolutely amazing.  they were able to prevent my grandmother from needing the memory care protections by simply interacting with her.  they were able to help this fiercely independent woman transition to a situation that she never wanted to be in, and to thrive in that space.  during the covid pandemic they were very accomodating about zoom calls and facetime to replace in-person visits, and did everything right to prevent covid from entering the facility.  my grandmother had a heart attack last  week and moved to hospice.  due to covid they would only allow two visitors in total, so my sister and i spent 40 hours at my grandmother's bedside.  the staff was so caring and supportive it was incredible - especially catherine and kayla.  the whole team made this difficult period much easier and my very grateful to how great they treated my grandmother.  i cannot recommend this place enough!"
1,833,1.0,0.1919,"nurse, hospital, doctor, day, give, symptom, home, virus, mom, hour","i am really impressed with taylor & thornburg. after a stint with another pt service that didn't help at all, a neck specialist highly recommended t&t, and boy was he right! alexandra was able to do in-depth problem solving, listen to me, make the mind-body connection, teach me about small muscles i didn't even know i had, and correct course when needed. i'm so pleased with the tangible results of our work together. and when pandemic began, t&t was immediately responsive with telehealth services."
2,61,2.0,0.2118,"call, test, insurance, day, pay, result, receive, phone, send, charge","shaudi is the first therapist i've worked with. she has been incredibly helpful in guiding me through several life changes, both in-person and via video chat sessions. i initially started working with shaudi in new york for social anxiety concerns, but over the course of two years, we've covered so much more. early on in our sessions, shaudi introduced me to a lot of common tools to help improve my mindfulness practice (which was something i had no experience working with prior). over the months we navigated a variety of scenarios where these tools could be applied and built upon. i really appreciate shaudi for how personable and non-judgemental she is, and how she has created structure for me, and helped push me through many mental blocks along the way. 

i know she also works with much more complex issues as well, but if you're a young person just starting out on your mental health journey, i would 100% recommend shaudi. she is patient, perceptive, and encouraging. i always leave her office (or our video sessions) feeling empowered. i don't exaggerate when i say she has played a huge role in making me a much more confident woman in every area of my life!"
3,5,3.0,0.2211,"people, review, place, bad, talk, give, rude, make, treat, leave","i set up an appointment online for a skin reaction. when i got to the office i was surprised 1) that i would be attended to by a nurse practitioner rather than a doctor 2) that the visit would be performed via video conference.

i would never have gone in for a skin reaction had the provider been transparent that the visit were be to performed via video conference.

in short, the combination of the video conference and poor bedside manner from the nurse practitioner led to misdiagnoses for which i had to follow up with another care provider for secondary issues caused by the misdiagnoses.

i pursued review of my case, and the customer experience was abysmal. weeks for email responses, promises for phone calls, and unable to provide any documentation of the investigation that was said to have happened internally, or, at the very least, an apology. i would highly advise against this care provider and intend to pursue legal action against them."
4,740,4.0,0.1876,"store, order, prescription, pharmacy, employee, customer, time, line, location, manager","office visits with your perscribing doctor is limited to ten (10) minutes. get them in and get them out.  during this covid-19 stay at home order, they went to telehealth appointments, nice right, thinking about our safety and financial crisis.  nope, they lied and said the dea requires a them to have us make telehealth appointments every two (2) weeks, and only legally able to prescribe a two week perscriptions.  this is an outright lie.  i was concerned having to have, myself and my elderly mother to have to venture out to the pharmacy two times a month verses once a month, like before the order.  it took weeks to get an answer, that it was not a dea regulation, it was a company policy.  hmmmm...why would my doctor's office increase the probability of their patients contracting covid-19, by making me go to the pharmacy twice a month???  simple, they don't care that elderly people die from covid-19.  they saw an opportunity to squeeze in two billable appointments a month.  run, from this office, do not get involved with these shady people, who clearly do not care about you!!!"
5,0,5.0,0.1914,"mask, room, wait, people, wear, walk, check, hand, place, sit","cortina has such a beautiful energy. as a therapist, she's encouraging and supportive while e helping to push you towards change. she has the gift of blending spiritual wisdom with counseling  knowledge that really leads to healing. i love how she uses adversity to move her forward in her own life and is able to help clients do the same.

the office is in a great location in the heart of winter park and has a dedicated parking lot. she sees clients through an appointment only basis. i know she also offers discounted rates for package purchases of sessions but otherwise has a pretty standard self-pay rate. i believe she does telehealth and of course in person sessions. she has an online portal too so clients can do scheduling and  paperwork all online (but has paper copies if the old school approach is more comfy). 

ps! she has a book! so if you're interested in checking her out before you schedule it might be worth it to grab a copy and hear from her through her writing."
6,175,6.0,0.1296,"appointment, time, office, call, doctor, minute, wait, make, hour, schedule","the doctor was not willing to talk to us on the phone for our first appointment (we had issues with the video conference tool)
not sure we want this to happen in the future in case of emergency."
7,841,7.0,0.2033,"care, patient, staff, covid, medical, visit, facility, health, concern, practice",had 2 appointments made with this doctor and still has not called/text! they expect people to be by the phone all day and on call when there was an appointment made. the staff does not even communicate that the dr is running late. just now received a call to reschedule for tomorrow! a 3rd appointment now! they called 5 hours after the actual appointment! staff was rude when i called and tried to explain that i have other things i have to do because this is an appointment for my uncle that is not tech savvy at all and i have to help him but i also have zoom sessions everyday for my son and i can't wait all day for a call that an appointment was made for! i waited 4 hours the first time and now 5 hours today! this is absolutely ridiculous waste of time.
8,54,8.0,0.2099,"year, pain, work, doctor, issue, back, week, month, find, medication","i came into the office to discuss changing my anti-depressant meds and also for chronic pain caused by my recently diagnosed tos (spine and nerve issues.) dr. davis was rude and condescending from the start, interrupting me literally every time i spoke, even tho i was only trying to answer his questions. his questions that were more like an interrogation than trying to help. things worsened when he asked where i had gotten the meds prescribed. i told him i went to zoomcare - he scoffed condescendingly and said ""well that's not very good care..."" in an accusatory way. i replied ""well it was only for a prescription, and i've been on it for a year, so they did what i needed""  he replied ""did they? because you're here now."" bottom line, i went in for chronic pain and depression looking for help and instead i was berated with reasons i was wrong and spoken down to the entire time. he wouldn't even discuss a change of meds because he said i was wrong for wanting to change. 

i'm sure the rest of the staff are great, but dr. davis  was the most disrespectful medical professional i've ever spoken to."
9,15,9.0,0.2848,"feel, great, good, experience, make, friendly, place, time, nice, service","zoomcare is the worst ever.  1st of all, you won't see a doctor, you will sure a pa (physicians assistant).  the pas we saw at bridgeport didn't look like they were out of high school and one had just started at zoom.  my wife went in on january 1st only because we were the only ones open.  the pa then prescribed a weeks worth of docecylcine (sp?) and a at the end of the week she was 75% better, but not completely well.  i had the same condition and my ent prescribed 22 days of docecycline (sp?) and i am 100% better.  on january 20th, my wife goes into zoom and asks a different pa, ""hey, i am not 100% better.  could you prescribe another 7 days of the antibiotic"".  this is where analysis paralysis sets in to the apparent high school age pa.  he doesn't know what to do, so he sends my wife to the hospital to get an x-ray (zoom bridgeport has no imaging capabilities).  we get the x-ray and zoom promises to get back to us by 6 pm.  no response.  i call back on jan 20 and the call center woman says she has no info for us.  at that time, my wife gives the call center woman her authorization to speak with me about this issue (hippa) but as i find out later, zoom never makes a note of my wife's verbal authorization.  i call back the morning of jan 21st and zoom won't tell me anything.  i then ask the probable high school girl age girl who answers the phone at the call center to simply send my wife an email to update us as to next steps, i.e. docecycline prescription.  the young girl at the call center says isn't sure if she can send my wife an email to provide an update on the pa's decision to extend a prescription for the antibiotics or feedback on the x-ray.  

if you go to zoom, be prepared for ""young and dumb"" excuses, care provided by pas and not physicians and no one at this office will answer your call, rather it goes to a non-healthcare operator who will continue the snowball of incompetency.  they aren't on epic or similar ehr.

bottom line is you must be ready to be seen by non-doctors, with no imaging back up at this center and you must be ready to endure broken promises and incompetent follow up."
