,topic_prev_all,topic_prev_t1,topic_prev_t2,topic_prev_pct_diff
Topic_0,0.0998235810796369,0.08839788168830291,0.10130168086494111,14.59740768691482
Topic_1,0.09974716550999413,0.11977991494217827,0.09715560401160339,-18.88823425988938
Topic_2,0.10124760775222753,0.09367871265686215,0.10222676726205486,9.12486344310001
Topic_3,0.09934246078267328,0.10210676263111018,0.09898485344252281,-3.057495025932966
Topic_4,0.0981545495725243,0.09552743936837128,0.09849440894530609,3.105882034054768
Topic_5,0.09985134032063092,0.10580064543085219,0.09908170107974545,-6.350570285979977
Topic_6,0.10075619872055926,0.09768287245568102,0.1011537833879565,3.553244130745883
Topic_7,0.10044808542522721,0.09058344131022243,0.10172423735685886,12.298932217073073
Topic_8,0.09867685185270862,0.10047909799669093,0.0984437020430339,-2.025690909092412
Topic_9,0.10195215898381398,0.10596323151972893,0.10143326160597213,-4.275039415831124
