,Topic_0,Topic_0,Topic_1,Topic_1,Topic_2,Topic_2,Topic_3,Topic_3,Topic_4,Topic_4,Topic_5,Topic_5,Topic_6,Topic_6,Topic_7,Topic_7,Topic_8,Topic_8,Topic_9,Topic_9
,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value
Word_1,surgery,0.023338153892185708,nurse,0.043277015423365664,call,0.07901920330106332,people,0.022622776037849002,store,0.025769944341372912,mask,0.05164021164021164,appointment,0.07417522940363382,care,0.09678783500431695,year,0.03771252455462982,feel,0.0484231615476808
Word_2,make,0.02325504080852408,hospital,0.03552444349945209,test,0.041247421044278684,review,0.02142333577663757,order,0.02411873840445269,room,0.038148148148148146,time,0.07192699052408946,patient,0.08633904815604461,pain,0.03120978120978121,great,0.03854891508505805
Word_3,feel,0.02129357203410961,doctor,0.031206555339297688,insurance,0.02658308205046818,place,0.021290064636502966,prescription,0.023951762523191096,wait,0.03781305114638448,office,0.06566522890402518,staff,0.07171427061124522,work,0.02975343764817449,good,0.029873173174963776
Word_4,good,0.015990957296497615,day,0.02914574508104218,day,0.026360895096016506,bad,0.019707469847404544,pharmacy,0.021595547309833023,people,0.032081128747795416,call,0.05014405382450414,covid,0.04625306151216676,doctor,0.02927927927927928,experience,0.024649839901257534
Word_5,baby,0.01592446682956831,give,0.026021818419718356,pay,0.026027614664338995,talk,0.01735856600253215,employee,0.018089053803339517,wear,0.03056437389770723,doctor,0.04166736056755541,medical,0.03416559477032051,issue,0.020812165549007656,make,0.022234942668550882
Word_6,procedure,0.013663790953971975,symptom,0.018514581050359007,result,0.025472147278209806,give,0.01677550476444326,customer,0.017291280148423006,walk,0.02671957671957672,minute,0.03463953236631306,visit,0.028879530597501455,back,0.020185599132967556,friendly,0.020034702967640376
Word_7,experience,0.01318173506873452,home,0.01844915850247788,receive,0.025154737343278846,rude,0.016275737988938496,line,0.015918367346938776,check,0.020423280423280423,wait,0.03443968891035356,facility,0.0247035399009744,week,0.020083993768204293,place,0.018084897053825377
Word_8,time,0.011818680496683788,virus,0.015505143847827153,phone,0.024916679892080622,make,0.016142466848803893,time,0.015918367346938776,hand,0.018518518518518517,make,0.029476909754026014,health,0.02362870685250119,month,0.01916954548533496,time,0.01753036509668533
Word_9,team,0.009940324805930949,mom,0.015047186012659263,send,0.020282494842088557,treat,0.016025854601186114,location,0.013617810760667903,place,0.015696649029982364,hour,0.02764501140773061,concern,0.01677444364174581,find,0.0171882408724514,nice,0.017315707564889184
Word_10,meet,0.009375155837031865,hour,0.013787801965947564,charge,0.014426281542612284,leave,0.01559272339574865,manager,0.013562152133580705,sit,0.015044091710758378,schedule,0.02096690925441737,practice,0.016580621288742447,medication,0.016002844950213372,service,0.015491118544621934
Word_11,work,0.008760119017935804,mother,0.012855530658641501,contact,0.01360101571179178,understand,0.011861131471979742,pick,0.013376623376623377,door,0.014603174603174604,back,0.02088364114776758,due,0.015752471235000794,treatment,0.015427081216554901,kind,0.01524068475752643
Word_12,home,0.00861051546734487,stay,0.012806463747730656,information,0.011728297095699095,write,0.011411341374025455,pandemic,0.012634508348794062,put,0.014074074074074074,today,0.014771762119672923,family,0.014466195619614822,ago,0.012412788728578202,helpful,0.014686152800386383
Word_13,support,0.00827806313269835,bad,0.01211952699497882,state,0.011648944611966354,thing,0.010744985673352435,cvs,0.011205936920222634,car,0.011922398589065256,visit,0.014422036071743801,urgent,0.013285641287685232,time,0.011837024994919731,clean,0.014614600289787668
Word_14,thing,0.00794561079805183,emergency,0.011874192440424593,email,0.011648944611966354,work,0.010628373425734658,work,0.010983302411873841,glove,0.011534391534391534,question,0.014122270887804553,pandemic,0.013215160432047644,problem,0.011227392806340174,amazing,0.014364166502692163
Word_15,plan,0.007114479961435529,daughter,0.011628857885870366,number,0.011617203618473258,star,0.010445125608049577,find,0.010241187384044528,face,0.01126984126984127,check,0.013106399986677102,provide,0.012563212517399962,start,0.010516155252997358,recommend,0.014346278375042484
Word_16,start,0.006898385943915291,son,0.011367167694345856,company,0.011410887160768131,reason,0.010145265542746718,open,0.010055658627087198,sign,0.010335097001763669,week,0.012690059453428148,clinic,0.010854051768188466,life,0.009855720382036172,love,0.01228914369532941
Word_17,week,0.0068152728602536615,child,0.011252678235553884,covid,0.011331534677035392,person,0.010128606650229893,item,0.010037105751391466,area,0.010282186948853616,day,0.012190450813529402,professional,0.010114002783993797,listen,0.009347693558219874,super,0.01196715739763519
Word_18,life,0.006516065759071793,sick,0.010843787311296838,bill,0.010696714807173465,horrible,0.009728793229826081,close,0.009647495361781076,patient,0.009788359788359789,arrive,0.011774110280280447,situation,0.008774866526879636,continue,0.00885660096186412,professional,0.011376849185195785
Word_19,birth,0.006349839591748533,wife,0.01068023094159402,give,0.010188858911283924,job,0.009545545412141001,service,0.00901669758812616,front,0.009153439153439153,answer,0.011391076989691409,physician,0.008175779253960144,med,0.008602587549955971,easy,0.011019086632202208
Word_20,husband,0.006283349124819229,test,0.009486269442763448,speak,0.009934930963339153,speak,0.009245685346838142,return,0.008998144712430427,staff,0.008518518518518519,eye,0.011391076989691409,center,0.007048085563758744,explain,0.008213100318363475,comfortable,0.010929645993953813
