,doc_num,dominant_topic,topic_contribution,topic_keywords,doc_text
0,527,0.0,0.5411,"make, experience, time, family, person, baby, due, support, child, son","shalin supported my husband and i throughout the pregnancy and birth of our first child as our doula, evidence based birth childbirth educator, and lactation educator. 

hiring shalin was one of the best decisions we made in preparation for welcoming our baby. as our doula, her impartial and unwavering support guided us through decision making during our pregnancy and helped us to advocate for the prenatal care and birth preferences we desired. shalin's evidence based birth course equipped us with the knowledge and tools needed for a variety of birth experiences. this left my husband and i feeling more prepared in our roles both as the birthing person and support person leading up to the birth of our baby. lastly, shalin's one-on-one prenatal lactation course helped me to feel much more confident about breastfeeding for the first time knowing that i could trouble shoot common challenges and that i was equipped with the knowledge and resources needed for differing eventualities.

about a month before our estimated due date the covid 19 pandemic hit, causing our hospital to restrict visitors and not allow doulas in the birthing space. shalin calmly and proactively navigated this stressful situation, creating a library of online resource videos and offering virtual support for families in labor once they reached the hospital. she helped us to reformulate our plan for labor and birth to adapt to this less than ideal situation - helping us to regain a sense of control and support and reduce anxiety. 

on our baby's birthday shalin supported us in-person as we labored at home and then seamlessly transitioned to supporting us virtually via zoom and text once we moved to the hospital. her support throughout our pregnancy and birth played a huge role in helping us to achieve the positive and empowering birth experience we had envisioned."
1,130,1.0,0.3822,"appointment, office, patient, doctor, time, schedule, telemedicine, wait, minute, practice","the most unprofessional doctor's office i have had the misfortune to come across.

it took a long time to get a referral from my pcp and insurance to see an endocrinologist. they ultimately referred me to dr. jelen. after seeing the reviews here, i was worried, but made my appointment anyways, hoping for the best.

the doctor's office sent out multiple text messages and phone messages, all of which i answered in order to confirm my appointment. the morning of my appointment, i called to ask if the doctor was running on time (due to reviews here on yelp that reported her running two to three hours late). the receptionist said sorry, but my appointment had to be canceled because of ""covid19."" i asked why this wasn't the case the day before (when i confirmed my appointment), but she just reiterated that it was unforeseen until that very morning. that didn't make sense, but whatever.

she rescheduled me to a telemedicine appointment the following week, which i said was fine, even though i was already 9 month pregnant and the appointment was on my due date. a week later, i call thirty minutes before my appointment to make sure it was a telemedicine appointment, and not in the office, in order to make sure everyone was on the same page. she confirmed the telemedicine format to be the case, and confirmed the time of my appointment (11:45am). i wait. and wait. and wait ... i call again, to make sure they have my number right. yes, they have my number, but the doctor is running late. the receptionist said i was the first patient she would call when back in the office.

ok, so i wait longer, glued to my phone so i don't miss the call. after 2pm (2.5 hours after my appointment was supposed to start), i call again. they say they were canceling my appointment and i would have to reschedule, because of technical issues with telemedicine. i say i don't want to reschedule since my baby is due any day now, please can i talk to the doctor on the phone, like the receptionist and i were doing? she said no, and then seemed to perk up when i reminded her i was pregnant, and told me that the doctor doesn't see pregnant patients! dr. jelen's office and the referring office both knew i was pregnant, i mentioned it repeatedly. anyways, it barely matters because as i'm due any day now, i obviously won't be pregnant for long. i pleaded to speak with the doctor, or at least a manager. after a significant time on hold, i was transferred to ""james"" who refused to give me his last name and claimed to be the office manager. he talked over me, told me my opinion of their office didn't matter because i wasn't an ""established patient,"" said in an accusatory way that all the bad reviews online were from people ""like me"" (whatever that meant, i just want health care, which i pay for). i couldn't get a word in; i tried repeatedly to please speak with the doctor, but he told me to get a different doctor and hung up on me!

now i don't know what to do except to complain to my insurance. i have been hypothyroid over a year, and have been trying this whole time to be worked up, but still haven't been seen. even if i get referred to another doctor's office, i'll have to wait months again to get an appointment. i'm an md (not an endocrinologist) and can't imagine treating patients this way. as a patient, you're powerless to get seen by this doctor. unbelievably unprofessional.

tl; dr: at the time of this writing, over 88% of her yelp reviews are 1-star. there is a serious problem here. run!"
2,2,2.0,0.3033,"care, great, staff, easy, telehealth, feel, provide, good, extremely, professional","i came to innovative express care because my primary was moving here. i feel like it is very important to write honest reviews, especially when it comes to your health. i have been unfortunate enough to experience some not so great healthcare, and it has made me very much appreciate how attentive and caring innovative express care is. i see jenna benoit, pa-c, for primary care and have been seeing her for many years. i am really happy that jenna decided to move here because it feels like it runs on an integrated care model. they are expanding to offer wellness through ketamine infusion, cbd oil, among others. they also have an innovative med spa which i also think is great. the way they've branched out is impressed and i enjoy that they keep the same type of model. their patient portal is very easy to use and tracks your health in one setting. i am able to easily send messages and ask about prescriptions. they also have telemedicine which is helpful for when i don't need to come in/am busy. they have social workers here, too, so you can receive therapy. again, definitely feels like an integrated healthcare model being used. 

aside from going here for my primary care, i have gone to their urgent care on several occasions. my primary is kind, caring, and patient with me; she knows me well but doesn't get annoyed when i reach out, make requests, or send her many messages. as a person with anxiety, this is special to met because it helps me feel at ease. i've had the opportunity to receive care from jayme, michelle, and lindsay (all pas) in the past when i had to come in for urgent care and they were all really wonderful and kind. kindness goes a long way and it extends to their nurses who've always said hi to me and made me feel welcomed and comfortable. there was a period of time where i had to come in a few times a week or once a week and everyone from the nurses to the receptionists have always been welcoming. i definitely appreciate innovative express care and their staff; i encourage everyone to come here! be mindful that if you're coming for urgent care, you're definitely going to have to wait. it's just how it is, but i've never waited for urgent care more than 15-20 minutes; make an appointment online ahead of time is the best suggestion!"
3,1,3.0,0.4396,"time, question, week, day, review, answer, concern, problem, find, email","recently had cosmetic surgery. i was only looking to get a (bbl) brazilian butt lift with fat transfer.  i'm a very petite woman already (108lbs) just never had a butt. dr. mowlavi talked me into doing all this other stuff like a mini tummy tuck for loose skin,  i didn't have a lot of loose skin and  have pictures to prove it.  he said it would be the size of a c-section scar 4-6 inches.  i woke up to an incision from hip to hip.  his office said recovery is quicker with his vaser lipo and renuvion techniques. this is by far the worst pain and recovery ever. i would never recommend this for anyone! they didn't have much to do with me after they got my money ($25k not including stay and airfare and 3days extra for a nurse because i couldn't get in and out of bed. for total of 30k)
i went in everyday for first week for massages.  dr. mowlavi only saw me the day after surgery for 2 mins to look at his work.  i tried to set up a post op a week after because i was very unhappy with results.  he knew of my disappointment because my massage therapist told him.  he didn't come to the office for our appointment time.  so i rescheduled for the next day at 3pm for video chat.  again 3pm came and no dr.  we called his office several times and they said he was with other consultations and would call me. we waited until 5:30pm dr never called in, and then the office was closed.  i was beyond furious this is 2 appt he's missed and not a single call from anyone in the office to reschedule or anything.  so i called claudia and she acted like he'd get back to me and she'd be in it first thing.  she's a huge liar,  she's never had this surgery done and tells all the new clients how you could hop on a plane in a week no problem.  so instead the next day i got an email from their assistant mimi with my before and after video and said if i had any questions to email them. that was last week on feb 4th. i have yet to have a post op appt or even a scheduled appt with dr.  he doesn't care and has completely disregarded me as a patient. now i'm still in tons of pain,  my swelling will not subside and i have to go to drs to have my stomach drained of the fluid because it's moving like a waterbed which is called a seroma. it's been a nightmare.  his office has done nothing but lie and avoid me. i was told he does this with all his patients.  i'm still laid up in bed and i have children and a job i can't do.  
here is a pic of my supposed small c-section scar i have to live with. 
 pay attention and do not sign the arbitration agreement clause.  you legally don't have too!
notice that dr. mowlavi never post before and healed after results."
4,756,4.0,0.4051,"visit, insurance, medical, medication, charge, virtual, place, month, provider, year","i've been here 3 or 4 times over the past few years, i tend to get strep throat (or something similar) about once a year and it's not worth a trip to my primary physician (very simple diagnosis and treatment).  i've had no problem with the care received, but i do have a problem with the billing practices -- which seem to have changed significantly in the past year.

i have a high deductible insurance plan and i pay out of pocket at the ""negotiated rate"" until i hit my deductible.  in the past i've paid about $100 out of pocket for a routine visit to get a quick strep test and get a prescription for antibiotics (whether or not strep test was a strong positive).

this year i got a statement for $564.90, minus 1) insurance adjustment of $182.81 and 2) ""insurance pending"" of $175.00.  so total due is $207.90.  but the statement isn't itemized at all.  i called the number on the bill to request an itemized statement, but either no answer, voicemail full, or no callback after leaving voicemail.  their payment center is not staffed to handle anything by phone.

so i logged onto my insurance site to see the claim and the non-discounted billed amount is:  1) $321.90 for medical visit, 2) $68 for laboratory services, and 3) $175 for laboratory services.  i was also billed separately by the lab for about $75, but after my insurance discount i paid about $5.  this was for 5 minutes with the nurse (temp, bp, swab) and less than 5 minutes with the doctor.  (in the past i've also been seen by nurse practitioner or mid-level provider, doctor was not necessary for this).

i called my insurance to ask if these charges are reasonable and they seemed to imply it was normal.  they also confirmed they're not paying anything since i didn't meet my deductible (which is expected).  so i hope i don't get billed separately for $175 ""insurance pending"".

also, on each visit they send the throat swab to the lab and promise to call me with results, but they never call.  seems like a pointless step unless you don't get better on the antibiotics.

and...  i paid the invoice, but since they don't answer the phone you can only pay by mail.  there is no option to pay online.  hard to believe given the amount of revenue they're bringing in.

so if i happen to go here again (not likely) i will claim to be uninsured and pay cash...  which would have been $175.00 per their website.  if you present your insurance card they see $$$$.  

more likely i'll end up at minuteclinic or telemedicine."
5,514,5.0,0.4732,"doctor, give, test, back, day, hour, wait, covid, check, nurse","i am so thankful that i was able to find dr. huang during this pandemic. he may have literally saved my life by making the correct diagnosis and getting me off the wrong medications that was prescribed by other doctors. 

in early february of 2020, i had an endoscopy done by a gastroenterologist, and about a week after, i started noticing some shortness of breath and also felt a swollen lymph node behind my ear.to make a long story short, fast forward to march of 2020, in the midst of the covid pandemic,i had difficulty breathing and a fever which led me to believe that i may have had been infected with covid19. ultimately, after my lab test result tested negative for covid but indicated klebsiella pneumoniae bacteria, i went to see a pulmonologist at ucla where an x-ray of my lungs were taken to rule out pneumonia. although, the pulmonologist from ucla did not listen to my lungs, he prescribed an antibiotic given the bacteria found in my nose, and asthma medication for breathing problems (even though i had tested negative for asthma couple of years ago by this same doctor) after my breathing condition did not improve, i reached out to a different pulmonologist in glendale who provided telemedicine consults. the second doctor prescribed more asthma medication and ultimately told me to take a repeated x-ray and repeat covid test after my condition did not improve. after the chest xray came out clean for the second time, the doctor in glendale told me he did not know what the problem was and told me to hang in there or go to urgent care. by this time, i had slept only 5 days out of the last 15 days and lost over 10 pounds because of severe breathing problems, sleep deprivation and no appetite. 

then out of desperation at 6:00 am, after having stayed up all night, i searched for another pulmonologist and fortunately found dr. huang on yelp and reached out to him by email. surprisingly, dr. huang got back to me right away and saw me the same day through zoom video conference. dr. huang patiently listened to my history regarding the onset of symptoms  and complaints and told me that if one of the asthma medication he prescribed did not improve my condition within the next few days, then he would see me to figure out what was going on. after symptoms did not improve, i went in for an evaluation and dr. huang actually listened to my lungs using a stethoscope and also conducted a lung function test himself. after a comprehensive evaluation and a lung function test, dr. huang told me that i likely had some form of upper respiratory infection before which may have caused breathing problems and fever, but at the time of his evaluation, my lungs sounded normal and i should not be having such severe breathing problems. he told me that what may be going on is that the asthma medication that i was prescribed was causing anxiety and panic attachs which was making my breathing problems worse - causing a vicious cycle - breathing problem so take more asthma medicine which causes more anxiety which makes breathing problems worse. 

after i was taken off the medication, my breathing problems improved significantly. although, it took weeks to deal with getting over the psychological component of having had breathing problems and panic attacks, i am now almost fully recovered. 

dr. huang was so patient, kind, and methodical in the manner in which he diagnosed my condition in the midst of the covid pandemic. it was so difficult to find a doctor who was willing to actually listen to my lungs during this covid pandemic and give me a correct diagnosis. i cannot thank dr. huang enough. had i gone several more days without sleep, i'm not sure if i would still be alive today."
6,42,6.0,0.4419,"work, session, pain, therapist, issue, exercise, month, find, year, home","so grateful that my dentist recommended carly and orofacial myology! this is not regular speech therapy.... though, it probably should be something all speech therapists are certified in. actually, dare i share, that it should be something all pediatricians, school admins, teachers, speech therapists, dentists, and orthodontists are taught about and should intern in at the very least.
both of my kids looked completely normal from the outside, but had challenges with how their mouth was forming and (as it turns out) facial/jaw/tongue/etc. neuro-muscular control challenges. the visual observation of teeth was only the tip of the iceberg. without going into lots of details, there were speaking, eating, breathing, tongue and lip ties, drooling, tongue thrust, tooth crowding, cross bite, over bite, under bite, and swallowing challenges. we were looking at orthodontists and surgical options by the time my oldest was 6 years old. all i could foresee was debt, time, lots of therapy, and metal mouths for the next 20 years. looking back now, as i write this, i wonder how i thought some braces and time would fix all this.
carly spoke about orofacial myology at a dental conference my pediatric dentist attended. our pediatric dentist had been our dentist for a couple years and had even consulted orthodontists about my kids. after learning from carly, she recommended this therapy for both kids before i got ortho/surgical quotes.
i am so glad she did. carly did an assessment and found some serious challenges. skeptical as i was, she reviewed results of this type of therapy with me and explained that both kids were having neuro-muscular challenges that could be managed to change the shape of their mouth and teeth, breathing, etc. i saw pictures of results and carly made me feel comfortable with her recommendations. after our consult, i came to the conclusion that with this therapy, my kids might not have to have braces or surgery, and that this would help indefinitely for the rest of their lives, so we started therapy that week.
after only 2 weeks of therapy, all signs of sleep apnea were gone and my son hadn't choked on his food at all. (i hadn't put 2:2 together- that breathing challenges and other issues while sleeping were signs of sleep apnea, until it stopped. neither had the pediatrician.) 
carly is so good with kids and personable, using food, straws, mirrors, even toys to get the kids thru the therapy sessions and want to continue practicing at home.
after 4 months carly showed me a side-by-side picture of the mouths of both kids before therapy and after the 4 months. if it wasn't zoomed in from their full face, i don't think i would have said they were from the same people. after 1 year, our pediatric dentist retook xrays and pulled me aside. she told me she needed to talk to carly asap because she'd never seen such natural, results. she said she never would have said (in comparing last year's xrays to this year's), that they were from the same people.
since the 2nd xrays were taken, my older child has lost all but 4 baby teeth. there's now plenty of room for her adult teeth, and they are coming in and straightening out on their own. for both kids, the apnea, ties, crowding, choking, and cross/under bites are gone. we are still working on the speech part, but that'll come in time, the little one's still pretty young.
thank you carly. i appreciate you and wish orofacial myology was something more people in the us understood, recommended, and used in regular practice."
7,668,7.0,0.6681,"work, make, person, thing, week, start, people, life, back, meeting","i've struggled (unsuccessfully) with aud (alcohol use disorder) for 30-something years. finally, in 2014 i discovered sinclair method (https://www.the-sinclair-method.com/), which turned out to be a lifesaver. my drinking quickly went down to safe levels and i started to have alcohol free days several times a week. for 5.5 years i was a social drinker, a ""normie"" in aa speak. 

some life events led to me developing a serious depression and covid lockdown became the last straw. in the beginning of april i stopped taking my medication; from there, my drinking quickly escalated and turned into a heavy 6 weeks binge ending in er, icu and a 10 days detox. after i got back home on may 24, i wanted to make sure that sinclaire is still working (i still had some meds and started taking them right away); i had 3 drinks on the first day, then it went 1, 1, 0, 1, 0 - amazing, considering my condition before the detox. 

by then, i found an outpatient program (iop) at good sam behavioral. i was surprised to learn that dr cecil a. bradley, who prescribed me naltrexone all these years, is the medical director of this program. the program seemed very useful since a) it is in person, no zoom, b) i could address my underlying emotional issues and c) i could get an extended medical leave, since i was not ready to get back to work yet. on thursday, may 28 i was admitted; i was very open about what i've been doing before, what brought me there and about my intentions (go back on sinclaire, since it works great and aa stopped working for me at some point). everybody seemed to be open-minded, accepting and approving of my course of treatment. some even wrote down the name of my method and said they were curious and want to learn more about it. 

on friday noon dr bradley showed up, took me to his office and told me that their program is based on full abstinence and if i kept up the controlled drinking, i'd have to leave. he said there are alternatives to aa and suggested some other program - he just could remember it's name. he is in his 80s and seems to forget things. i promised to think about it over the weekend and tell him about my decision on monday. after all, at this point i could possibly refrain from drinking for the duration of the program.

however, on monday my case manager handed me a recovery plan with mandatory conditions: attend at least 3 meetings a week, find a sponsor and report progress at each morning session. i told her i don't do aa, and i was told to go talk to dr bradley, and again he gave me a dilemma: full abstinence and meetings or leave the program. ""if you don't want aa, there is this other program - can't remember it's name... rational recovery?"" ""- smart recovery?"" ""- yes, this must be it"". ""- how is it better than aa?"". ""- i don't know. we require full abstinence and meetings"". so i informed him that i'm quitting and went home.

this got me thinking: 1) why did dr bradley prescribe naltrexone all these years and even wrote me another 3 refills on that monday if he disapproves on sinclair method so much? 2) how does a doctor send a patient to some program can't even remember the name of? did he do any research or he really doesn't care? 3) why did they admit me at all, knowing full well my intentions and dr bradley's position and giving me false hope? 4) what kind of doctors put a patient into completely unscientific, faith-based programs with abysmal success rates and force him to abandon something that is proven to work for 80% and this patient in particular?

so i googled dr bradley and discovered that the medical board of california twice has suspended his license, once in 1990 and second time in 2007 (http://www.psychcrime.org/news/index.php?vd=32&t=california+disciplines+psychiatrist+cecil+bradley) he also was known to be sending referrals to life choices and working at red road recovery, two rehabs run by the same person, richard franko, who has no certifications and is a drug addict himself. life choices were reported to california's dhcs for ""making parolees assist in human like slave duties as a condition of not sending these clients back to prison. dhcs investigators heard from people they interviewed that franko had indeed used clients for personal benefit and, in doing so, compromised their sobriety."" (https://www.sanjoseinside.com/news/rehab-owners-who-lost-license-amid-shocking-allegations-deny-charges-get-back-to-business/)

makes you wonder, how does a doctor like cecil bradley ends up a medical director in well-respected hospital like good sam? i would not recommend going to good sam in- or outpatient behavioral programs until they replace him. the rest of the staff seems to be great, but there is nothing they could do to help me under current leadership."
8,519,8.0,0.498,"call, phone, receive, prescription, speak, send, place, order, state, appt","i am so disgusted by the way the owner dr. rhodes speaks to her clients that pay for the service. my experience her had been nothing but unpleasant. she is rude and screams at you. interrupts class sessions with disgusting verbal language and makes unprofessional passes at clients and when i brought it up she got upset and kicked me out of the class that i paid for. this place is absolutely ridiculous and hasn't done what it says and offers. dr. rhodes has given me nothing but stress and anxiety as well as her doing it to others. i am blown away that she has stayed in business so long and nothing has been done to stop her from mistreating people. people with addiction and mental health issues should never go to this place. it's just wrong to be treated this way and this has happened to me multiple times with her and people need to know just how awful she is. i've been in the program since january 2020 and was supposed to have 2 random drug screenings a month, just these past two weeks during a pandemic they now want to have me come into their office which is not clean even though they say it is and i have not used drugs and alcohol, i'm here because of a custody battle and am not about to risk getting sick from going to her establishments and especially not when i am being treated this way. no one deserves to have to spoken to the way she has chosen to speak to me and the way she speaks in a group that she is not even running. i am making sure to call my bank and stop payment on the class tonight because there was no reason for her to lash out yet again on me and kick me off of the virtual zoom class all because i spoke up and asked her to not make inappropriate and unprofessional passes at younger men in the class. i am so disappointed that someone who has the title of dr. would conduct herself in such a matter. i hope no one experiences what i had to and hope that anyone with a drug addiction or mental health problem never has to be treated the way i was and goes somewhere else for help. she is only in it for the money. not to help



i am absolutely blown away. i just received a phone call from dr. rhodes herself who once again was so rude and patronizing and condescending. she terminated me from the program for no real reason other than her saying i'm not progressing which is an absolute insults and a lie. mr. allan and ms. maggie can confirm that, and when she called me she mispronounced my name yet again and i politely corrected her and she stated that it is phonetically spelled a certain way so that is how she is going to pronounce it. she said i am not progressing in the program even though i have attended every single group counceling session and participate and contribute to what the topic is and just finished my last one on one counceling session with ms. maggie and paid dr. rhodes so much money and for what?!? what a scam! ms. maggie who is amazing. i only had a few more group counceling sessions to go. which proves my point how inappropriate and unprofessional she really is. she laughed at me as she proceeded to tell me that she is terminating me from the program and is going to tell my judge who she thinks is a male but my judge is a female all these awful things about me which are absolutely untrue. what a deplorable woman and how disgusting the way to speak to a client and how unprofessional of her to call me on a saturday to insult me and say what she has to say. i waisted so much money for nothing when i have done nothing to this woman ever. she had a personal vendetta out for me and now i have to go find a real counceling center for real help and to be able to get my custody battle resolved. it's sad that i have the intake letter from her that i will happily post to show how she talked so well and highly of me and now wants to switch up her story and belittle me and terminate me. thank you for stealing my money and i will post another yelp review letting everyone know what kind of person and dr. she really is. she doesn't care about anything but herself and money with no regard to people and their lives or helping them. shame on you. you should not be in this profession and i am so disappointed that i thought your program was legitimate and there to actually help people. i hope you get the help and counceling you need because it's becoming quite clear that being stuck in your house is affecting your mental health and affecting your work ethic. i will pray for you and hope you turn your life around because even though you deny it i have and am doing so well and wish you were too."
9,594,9.0,0.6038,"feel, zoom, class, love, home, recommend, amazing, online, continue, good","take this course! my fiancé and i attended the love made simple workshop this past weekend and feel more in love, happier, and closer than we ever have before.  
because of covid, our weekend retreat was moved online. to be honest, we were skeptical a ""zoom"" retreat would be as energetic, safe, and helpful. but, as soon as the workshop started, all our fears were calmed. gal and liron's love and energy burst off the screen and the online setting felt intimate and comfortable. 
gal and liron are loving and sensitive people; all participants were greeted with such warmth and kindness. they created an environment for couples to share, be vulnerable, and feel free of judgement. 
for us a huge highlight was being able to ""break out"" of the large group and speak 1 on 1 with a therapist. each therapist we worked with was zoned in; they truly wanted to help and, most of all, they gave my fiancé and me the encouragement and tools to ""really"" say how we were feeling in a safe way. 
on sunday night, after the workshop had ended, my fiancé and i were laying together. he quietly said to me ""i really liked this weekend."" i was touched because he is a stoic man who so rarely accesses his feelings. i said ""you did? why?"" and he said ""i feel like i know ""how"" i can be better to you now. i have tools and now i don't feel completely lost on how i can be there for you."" 
it absolutely warmed my heart and i have the couples center to thank. if you want a tune up, are struggling, are about to get married, or have been married for many years take this course. i couldn't recommend it more highly."
