,Topic_0,Topic_0,Topic_1,Topic_1,Topic_2,Topic_2,Topic_3,Topic_3,Topic_4,Topic_4,Topic_5,Topic_5,Topic_6,Topic_6,Topic_7,Topic_7,Topic_8,Topic_8,Topic_9,Topic_9
,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value
Word_1,make,0.057007125890736345,appointment,0.12339713807842409,care,0.06629834254143646,time,0.05052334943639292,visit,0.08850457782299084,doctor,0.05158506846745451,work,0.043742644174185955,work,0.03448947778643804,call,0.1602258690665255,feel,0.05301607180129409
Word_2,experience,0.037788814510904774,office,0.08641516446757108,great,0.050148746281342964,question,0.030595813204508857,insurance,0.03662258392675483,give,0.036390921027949726,session,0.04276186739897999,make,0.025526110678098207,phone,0.03935062643373919,zoom,0.043832185347526614
Word_3,time,0.03735694234506586,patient,0.07972495818621074,staff,0.04334891627709307,week,0.02938808373590982,medical,0.03255340793489318,test,0.029075220408928907,pain,0.03393487642212632,person,0.02435697583787997,receive,0.030174695606140816,class,0.0279691087455646
Word_4,family,0.023752969121140142,doctor,0.07526482066530385,easy,0.023161920951976202,day,0.027576489533011273,medication,0.02787385554425229,back,0.027386981804539485,therapist,0.020596312279325225,thing,0.02377240841777085,prescription,0.023645667901888125,love,0.024629513671467335
Word_5,person,0.01986611962858994,time,0.04497305333581119,telehealth,0.022099447513812154,review,0.025563607085346215,charge,0.024415055951169887,day,0.027011817670230726,issue,0.020400156924284034,week,0.02357755261106781,speak,0.022410446444326805,home,0.022542266750156543
Word_6,baby,0.01770675879939538,schedule,0.03177847983646163,provide,0.021886952826179345,answer,0.024355877616747183,virtual,0.0219735503560529,hour,0.023072594259988744,exercise,0.019027069438995684,start,0.02338269680436477,send,0.019057702488088937,recommend,0.022124817365894386
Word_7,due,0.017274886633556467,telemedicine,0.02731834231555473,feel,0.021886952826179345,concern,0.02073268921095008,place,0.020549338758901324,wait,0.022322265991371226,month,0.016673205178501373,people,0.021434138737334373,place,0.014293276866066702,amazing,0.02108119390523899
Word_8,support,0.0166270783847981,wait,0.022300687604534474,good,0.021674458138546536,problem,0.02073268921095008,month,0.01953204476093591,covid,0.019883699118364285,find,0.015888583758336603,life,0.017731878409976618,order,0.014116816657843657,online,0.01857649759966604
Word_9,child,0.016411142301878644,minute,0.022114848541163353,extremely,0.02061198470038249,find,0.02033011272141707,provider,0.01790437436419125,check,0.017820296379666103,year,0.015103962338171833,back,0.016562743569758377,people,0.013410975824951474,continue,0.01857649759966604
Word_10,son,0.016411142301878644,practice,0.02137149228767887,professional,0.019549511262218443,email,0.018719806763285024,year,0.017293997965412006,nurse,0.017632714312511726,home,0.01490780698313064,meeting,0.01636788776305534,state,0.013410975824951474,good,0.014610728449175537
Word_11,option,0.01554739797020082,staff,0.014867125069689648,offer,0.017212069698257542,video,0.01670692431561997,refill,0.01688708036622584,clinic,0.016882386043894203,therapy,0.014515496273048253,meet,0.01597817614964926,appt,0.013410975824951474,pandemic,0.013358380296389062
Word_12,understand,0.015331461887281364,due,0.010964504738896116,service,0.016362090947726306,recommend,0.016304347826086956,care,0.016683621566632757,explain,0.015381729506659163,telehealth,0.01431934091800706,give,0.01558846453624318,treat,0.012881595200282337,group,0.012523481527864746
Word_13,care,0.014683653638522998,issue,0.010592826612153874,make,0.01572460688482788,nice,0.0142914653784219,pay,0.015869786368260426,result,0.014256237103732883,lot,0.012553942722636328,leave,0.01539360872954014,message,0.01270513499205929,couple,0.012106032143602587
Word_14,birth,0.013603973223925718,cancel,0.00966363129529827,friendly,0.01529961750956226,follow,0.013687600644122383,bill,0.012410986775178027,symptom,0.013693490902269742,body,0.012553942722636328,program,0.014809041309431021,today,0.012175754367390153,live,0.01168858275934043
Word_15,situation,0.013388037141006262,health,0.008920275041813789,experience,0.014874628134296642,surgery,0.01288244766505636,service,0.01200406917599186,room,0.013130744700806603,stay,0.011377010592389172,talk,0.01461418550272798,happen,0.011822833950944063,covid,0.011271133375078271
Word_16,daughter,0.01295616497516735,today,0.00873443597844267,super,0.014662133446663833,eye,0.012681159420289856,hour,0.01180061037639878,minute,0.013130744700806603,treatment,0.010003923107100824,good,0.01461418550272798,money,0.01111699311805188,grateful,0.010853683990816114
Word_17,hospital,0.012524292809328439,deal,0.00873443597844267,kind,0.012537186570335741,clear,0.011272141706924315,hard,0.01098677517802645,bad,0.011630088163571563,pt,0.009415457041977247,hope,0.013250194855806703,leave,0.010764072701605789,helpful,0.010644959298685034
Word_18,husband,0.012092420643489527,late,0.008362757851700427,knowledgeable,0.011899702507437314,read,0.010869565217391304,talk,0.009969481180061038,immediately,0.010879759894954042,highly_recommend,0.008042369556688897,point,0.013055339049103663,number,0.010234692076936652,thing,0.00939261114589856
Word_19,give,0.011660548477650615,receptionist,0.007991079724958185,listen,0.011474713132171696,set,0.010466988727858293,facility,0.009766022380467955,sick,0.010317013693490902,physical,0.008042369556688897,open,0.012665627435697584,pharmacy,0.010234692076936652,safe,0.00939261114589856
Word_20,plan,0.011012740228892247,set,0.007805240661587065,issue,0.011262218444538886,morning,0.010466988727858293,horrible,0.009562563580874872,walk,0.009754267492027763,injury,0.007846214201647704,change,0.012665627435697584,hold,0.010058231868713605,virtual,0.00918388645376748
