,doc_num,dominant_topic,topic_contribution,topic_keywords,doc_text
0,59,0.0,0.1557,"feel, make, treatment, amazing, skin, love, comfortable, result, face, happy","lindsay is a powerhouse! when you meet lindsay, you immediately see that she is incredibly passionate about and committed to her work as a psychotherapist and coach. not only does she spend a tremendous amount of time and energy to continue to develop her clinical skills and expertise specific to each client, but she also puts that same level of detail into creating free content for those who otherwise wouldn't be able to afford therapy or coaching. i also admire that lindsay sees the immense benefit of providing accessible services via telehealth to busy moms, professionals and students. i highly recommend lindsay for individuals, couples and families struggling with a wide variety of issues from anxiety, to depression to relationship issues. call her today."
1,91,1.0,0.1344,"pain, back, week, walk, day, foot, start, hand, leave, give","this hospital was a circus from the time i was in the emergency room. i was one of the chair spots in the hallway. security people watching the mental patients on hold were aggravating them by turning lights on to those who didnt want them on.  playing on the rolling chairs. staff people were even going to the point of take fellow employees belongings and hiding them.
young brown hair nurse comes on and she sits at computer with her cell phone video chatting her girlfriend and asking security if they wanted to say hi to her friend. people in main er room was coming out to get help for other patients because no one was checking on them.
i was admitted and the railing of bed had dried blood on them. i took a i.v sponge to clean of the blood cause my head was near the top.  t.v's in rooms didnt work you got to stay at walls.  food was awful same three menus items repeat for the whole week.  one night i didnt even get a tray when kitchen was called they said they was closed and couldn't cook anything. 
maybe the ceo should be a patient there or his family members and see how patients are treated.  the nurses were good but not enough staff to cover patients rooms. my dog gets treated better at the vet than a human at this hospital.  stay away if at all possible."
2,489,2.0,0.1087,"call, appointment, phone, day, schedule, week, receive, message, appt, leave","my hip has been bothering me lately to the point where it was difficult to walk straight so i thought i should see a physical therapist but wasn't sure how i could with covid-19. i contacted christi at kintsugi pt and she scheduled a telehealth session. i didn't even know that physical therapy was possible through telehealth, but thought i would give it a shot. glad i did because i am able to walk straight with no pain. the session was surprisingly good. christi was able to diagnose my symptoms by asking me to do this and that and making me point out the part of my body that hurt. then she was able to teach me how to perform various stretches to help release the pain. and this was all done on my iphone in the comfort of my home. i guess physical therapy can be done through telehealth! i got great results after just one session! i highly recommend anyone needing physical therapy but not able to get to the clinic, especially in these times, to give telehealth a try. and i highly recommend seeing christi at kintsugi pt."
3,628,3.0,0.125,"make, baby, feel, experience, son, child, daughter, husband, kid, give","covid dream team... we selected megan peterson as our doula before the pandemic started. she came recommended from a friend and learned that she partnered with rachel wilson to provide co-doula care. my partner and i were on the fence about obtaining doula services because i work in healthcare and we had attended so many newborn/birthing courses. i was very fearful of having a c-section so we explored the option. on our first meeting with megan and rachel we immediately knew we had to work with them. the empathy, warmth, candid conversations and ""space holding"" were exactly what we needed. the relationship and expectations changed quickly because of coronavirius. we had some hard conversations as in person birth support was taken off the table. changing our support plan to virtual was hard but both rachel and megan showed up. we prepped with zoom calls; private yoga; they dropped off a birth care package full of essential oils, candles, tea, postpartum sitz bath, etc.; the big day came and my husband received support via text, facetime and phone calls. i ended up not having a c-section and believe it was through their support we felt empowered to advocate our birth plan.

after birth support has also been amazing. they provided a lactation consultant to support breastfeeding which was initially very stressful. also had zoom calls, texts and a social distance walk.  i couldn't have been happier with my choice to have not only a doula but to work with megan and rachel. truly recommend!"
4,143,4.0,0.1362,"insurance, pay, charge, bill, receive, send, money, company, visit, cost","the first time i contacted dawnita, i was in a lot of pain and wanted to make sure the baby was latching correctly.  baby was 6 weeks old.  we did a video conference, and she said that i might have had thrush and suggested i get treatment for it.  i had no idea it might have been any other issue other than latching, but after taking oral medication for thrush, my nipples began feeling a lot better.  i am so glad i contacted a professional like dawnita who was able to assess the whole situation and suggest the correct treatment.

the second time i contacted her was 2 weeks later for an in-person consultation.  i was desperate because baby was screaming when she came near my boobs.  i suspected it was because baby was used to the bottle's fast flow, and now i also think it was because i was forcing baby to nurse at my boobs, which caused even further breast aversion.  dawnita made a few adjustments to my position, and baby stayed on longer than before.  she also offered guidance on paying attention the baby's cues and working with baby from there, since it was not an issue that can easily be fixed overnight.  i am writing this a week later to say that i have gained baby's trust and she is now happily nursing at my breasts.  

i was at first hesitant to spend money on the consultations, but now i am super glad i did.  dawnita has drastically improved the quality of life for me and baby, and i am glad i did not take any chances on letting the issues go on further during these crucial early months.  i'd highly suggest reaching out to her if you have any issues.  you will be in good hands with dawnita's expertise and support."
5,270,5.0,0.1278,"doctor, care, test, clinic, urgent, blood, result, symptom, visit, medical","i love taking classes from sarah reed. she is great at giving her students modifications so that they get the workout they really want without hurting themselves. i've heard other students ask her for advice on how to get in certain poses without exasperating an old injury and she was so thoughtful, informative and kind.  taking her gentle yoga classes on zoom are the only thing getting me thru this shelter in place order! i've also taken her pilates classes and am equally impressed."
6,743,6.0,0.1674,"work, make, client, good, life, change, start, plan, group, person","i didn't even want to leave them one star, but i was forced to put something... so one it is.  i'm am absolutely appalled by this place.   my mother called to get her blood pressure medicine renewed and they are making her come in for yet another visit.  with the current covid-19 pandemic and all the closures of businesses and even doctors offices trying to limit exposures by handling most things via phone or video chat, dr sobel is still making my mom come in for her prescription.  ok so let's have a normally healthy 62 year old come into a office, full of sick people and a highly infectious virus circulating the world, come in just to take a blood pressure and re prescribe her usual medication she's been on for years.  i mean she's not looking for narcotics or anything questionable.... it's blood pressure medication!!!  she has a blood pressure cuff she would be more than happy to take for him over the phone or even keep a log for a few days and read it back to him, but no, he's only worried about his cash cow ""bring the patient in, that's how we get paid"" mentality. i've noticed over the last few years that they no longer care about the human as a whole, it's now all about getting those visits and all those tests, so they can get paid for every little thing. me, my fiancé and my mom will be looking for a new pcp who actually cares about keeping people healthy and not just making a quick buck during a scary time.  i highly recommend looking into a different option if you are thinking about going here."
7,723,7.0,0.145,"place, massage, area, good, lot, offer, clean, nice, service, price",i scheduled my appointment in early march and the earliest appointment they had for a new patient was march 30. due to covid 19 i got a phone call on the thursday before my monday appointment telling me that it had to be rescheduled to april 27. i received a call today from kayla letting me know that my appointment was to be moved to may 27. i told her that i was extremely frustrated because this is a psychiatrist office. i told her i am fine but what about the people that aren't fine. just because we are new patients they cant be seen ( i know that there are video chatting with their other patients). kayla said the covid 19 was messing everything up and that they needed to be careful that they don't get the virus and die. many times i told her i know it wasn't her fault however i am just expressing my frustration and that mental health is extremely important. i said i have been trying to get in since the beginning of march and now i keep on getting pushed back. she said that kissimmee doesn't have a lot of psychiatrist and that maybe i should go somewhere else. i said what time is my appointment and she said the same time 11. i said ok and what's your name? (as i always do when i make an appointment or talk to someone over the phone) kayla hangs up on me. so i call back and no answer when i hear the answering machine and hear the name kayla i automatically remember that its the same girl that gave me my 1st appointment. she is the receptionist. finally i speak with someone else at the office that was extremely nice and i start telling her what happened and how she hung up on me. that is horrible customer service especially when i am calling for help. i said i just need to make sure that its kayla that i was speaking with and she told me yes that's who you spoke with and she will not make the appointment. i said ok so now you are refusing my service and she said i guess she is. i told her that it was fine i will contact headquarters. i will gladly fine a different place to go to. no one should ever be spoken to like this especially for the type of office that it is. i am sure all of the calls are recorded so they can go back and listen to the calls. i never yelled at her or called her out of her name. i was just voicing my frustration. i worry about how many people have also had to deal with this type of treatment while trying to get help. instead of listening to patients that are trying to be seen she is more worried about catching and dying from covid 19. this is completely unacceptable.
8,563,10.0,0.1659,"care, recommend, highly, good, kind, wonderful, professional, team, excellent, knowledgeable","yesterday i had an urgent medical problem that i needed help with right away. i called the office during covid-19 pandemic, was helped right away, was scheduled with a video conference call with dr. klein in the morning, then was scheduled to come in that afternoon to take care of my problem. thank you so much for helping me the same day of my medical crisis. words cannot thank you enough. i am grateful!"
9,261,11.0,0.1739,"nurse, hospital, care, day, home, facility, family, mom, stay, room","i agree with all the people who say the front desk help and the phone system is terrible. the office staff is rude in person, and even worse over the phone. and this new online telehealth system is bs. i had an appointment the other day at a certain time, but they said i was late, but the earlier time was never confirmed by them. and of course the first thing out of their mouth was that i'd have to pay a fee for missing the appointment. some compassion by these blood suckers. and i swear to god--and i'm sure you'll agree with me--there's a front desk girl there with a bad attitude--you know the one i'm talking about--and she will sit there and purposely make you wait an extra minute or two just to exert her power over you. i'll look through the glass and can see she isn't doing a damn thing in there. the overall mood and attitude there is not a happy and uplifting mood. being a mental health facility you'd think they would try to lighten our moods. what they don't realize is that people like us who seek mental health improvement have that extra sensory perception thing where we are way more in tune with behavior signals and perceptions than the average happy-go-lucky kind of person is. i can read minds, and i'm sure you probably think you can too. i can read people like books and can predict things. the people in this office need to realize most of us are like this, so it would behoove them to treat us with kid gloves and lots of compassion. i don't have any issues with my therapist or my shrink. they're very professional."
