,Topic_0,Topic_0,Topic_1,Topic_1,Topic_2,Topic_2,Topic_3,Topic_3,Topic_4,Topic_4,Topic_5,Topic_5,Topic_6,Topic_6,Topic_7,Topic_7,Topic_8,Topic_8,Topic_9,Topic_9,Topic_10,Topic_10,Topic_11,Topic_11,Topic_12,Topic_12,Topic_13,Topic_13,Topic_14,Topic_14,Topic_15,Topic_15,Topic_16,Topic_16,Topic_17,Topic_17,Topic_18,Topic_18,Topic_19,Topic_19
,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value
Word_1,staff,0.1228171818739727,wait,0.13557644167311456,care,0.22638684999483097,nurse,0.06817396910183501,issue,0.058691395455335006,year,0.10005198713424092,baby,0.03403137101760552,doctor,0.12225164038218027,pain,0.09279122991342309,feel,0.15055715699350342,place,0.06388255497587221,people,0.04415612152277217,work,0.042931044884169885,insurance,0.06899315987023982,call,0.19965414127112302,appointment,0.16217139510671524,service,0.0743253925329295,time,0.18798890274368013,surgery,0.07528484419946326,massage,0.03967286775434408
Word_2,recommend,0.10318308420560227,hour,0.07710163397205406,patient,0.12443295771735759,hospital,0.05236034044773943,treatment,0.033409919939362355,work,0.08455305857639785,son,0.027640827882456313,test,0.053018467661037016,back,0.06889909676578623,make,0.11209396377403949,bad,0.055039098032657156,wife,0.0153047603792438,therapist,0.02891605333011583,pay,0.05824598994583337,phone,0.051148745063770006,office,0.14762412155127538,customer,0.047316131501651676,question,0.06900405144777774,procedure,0.045350089189580084,treatment,0.03535366096299244
Word_3,highly,0.06812924600773347,minute,0.0731380759485989,staff,0.05376615320996588,home,0.02912148212956354,problem,0.02809623067569915,find,0.06608283283389053,child,0.027372351850043934,give,0.030460129257182327,week,0.020703529047653952,good,0.07067934431871961,review,0.052477432460545044,put,0.012650358878133986,session,0.02482127775096525,charge,0.03125257535006031,day,0.04467034648555173,doctor,0.09503920484122853,prescription,0.04560205024088666,visit,0.051275192109384776,eye,0.03686904398412265,skin,0.03362514922403502
Word_4,friendly,0.06747692188847833,room,0.04818472835404245,medical,0.04658740824976739,day,0.026573496343026425,doctor,0.024637990114800955,good,0.05669978909284564,daughter,0.026648280126265092,result,0.022644674308079395,walk,0.018174636140770965,great,0.06139482855053134,give,0.05228163636586132,woman,0.011368923670701662,therapy,0.01642811896718147,bill,0.03104280138151142,back,0.026499858043059044,time,0.06363872982821447,pharmacy,0.041799452492490494,explain,0.045748137153804005,result,0.03406881257332026,place,0.0322614073484547
Word_5,great,0.06745117225219194,time,0.043246400558311714,family,0.02635790344257211,room,0.02375306026907344,medication,0.023339176022865445,life,0.0421772042756248,husband,0.025387256337661493,blood,0.021592198523244916,foot,0.01733167183847664,amazing,0.0578195585767758,rude,0.03929382875184069,man,0.011239254631854344,body,0.014772864382239383,money,0.029263468612569957,send,0.02259143317515274,make,0.05033185840707965,location,0.034360672652083105,answer,0.04085101976536983,process,0.01885837337490157,face,0.02547171375513994
Word_6,professional,0.052559299266564524,check,0.03611578899458377,provide,0.022615527757676005,mom,0.02369933767718862,year,0.02194956337739037,change,0.03656005781983711,experience,0.02150655732370074,check,0.020087487049614366,month,0.015678321564411433,love,0.05270834229660543,star,0.03856367248208262,happen,0.010278178226280101,physical,0.014557945222007722,visit,0.02339728942064925,speak,0.02258774598188113,schedule,0.0455207248828735,store,0.024396535226034067,concern,0.03721809215209972,follow,0.015326948109341603,area,0.02092038068709378
Word_7,helpful,0.0435168853239948,walk,0.031200218469801103,treat,0.021689238085392328,stay,0.022847450863015064,health,0.020279659544901858,thing,0.028216756763610698,kid,0.01720280516775684,clinic,0.019824368103405744,start,0.015605020320733664,experience,0.04607408682183883,people,0.02526585438481275,leave,0.010175205754254289,client,0.013389086631274132,company,0.022670572458176316,leave,0.022314893679782014,patient,0.030013664757938572,line,0.022062555645235103,listen,0.034521441607807776,surgeon,0.013880630594436498,facial,0.016472675421143387
Word_8,knowledgeable,0.034255599472990776,long,0.0240392638781424,urgent,0.02091595161790551,facility,0.02242534478392006,find,0.016008179765344955,ago,0.02131049844249927,give,0.01688144749259657,back,0.019807923169267706,hand,0.015600948029418232,comfortable,0.03712945833154068,horrible,0.022651160703723798,lie,0.010026467739105894,exercise,0.01231449083011583,month,0.020310615312001318,receive,0.02209366208348543,follow,0.016129294638209266,employee,0.01845133590168163,make,0.028627642178203298,consultation,0.013523068764362737,offer,0.013293374452845204
Word_9,nice,0.029230128791097494,sit,0.02089117473032634,physician,0.020862193735139048,mother,0.01830405452075611,condition,0.014369858038435422,hard,0.018043339518252557,make,0.0155187282371701,day,0.01855810817477676,give,0.01377248922878947,happy,0.019691950264595793,talk,0.020122127814058977,treat,0.009797640023492978,learn,0.009430049469111969,receive,0.020119571162072865,week,0.021758127495768945,appt,0.01608049193128579,order,0.018268278679658183,thing,0.02433457451169052,remove,0.012494576309319105,good,0.01260114073484547
