,dominant_topic,topic_keywords,doc_count_all,doc_pct_all,doc_count_t1,doc_pct_t1,doc_count_t2,doc_pct_t2,doc_count_diff,doc_pct_diff
0,0.0,"test, covid, result, day, back, time, clinic, blood, work, lab",13,0.015186915887850467,1.0,0.010416666666666666,12,0.015789473684210527,11.0,51.57894736842107
1,1.0,"call, phone, day, speak, receive, answer, number, email, leave, back",9,0.010514018691588784,1.0,0.010416666666666666,8,0.010526315789473684,7.0,1.0526315789473717
2,2.0,"people, bad, thing, leave, treat, give, talk, happen, run, guy",29,0.03387850467289719,1.0,0.010416666666666666,28,0.03684210526315789,27.0,253.68421052631578
3,3.0,"appointment, office, time, make, schedule, week, visit, cancel, call, doctor",3,0.0035046728971962616,,,3,0.003947368421052632,,
4,4.0,"feel, place, face, skin, treatment, good, massage, start, facial, back",480,0.5607476635514018,59.0,0.6145833333333334,421,0.5539473684210526,362.0,-9.866190900981273
5,5.0,"insurance, pay, prescription, charge, money, pharmacy, company, month, bill, send",15,0.017523364485981307,4.0,0.041666666666666664,11,0.014473684210526316,7.0,-65.26315789473685
6,6.0,"doctor, virus, symptom, care, sick, urgent, give, cough, bad, flu",110,0.12850467289719625,10.0,0.10416666666666667,100,0.13157894736842105,90.0,26.315789473684198
7,7.0,"nurse, hospital, mom, home, mother, family, stay, care, facility, give",11,0.012850467289719626,2.0,0.020833333333333332,9,0.011842105263157895,7.0,-43.1578947368421
8,8.0,"wait, room, hour, minute, check, back, sit, time, walk, leave",5,0.005841121495327103,,,5,0.006578947368421052,,
9,9.0,"service, review, time, work, due, business, close, situation, offer, write",21,0.02453271028037383,,,21,0.02763157894736842,,
10,10.0,"doctor, year, issue, visit, practice, medical, find, medication, health, problem",5,0.005841121495327103,1.0,0.010416666666666666,4,0.005263157894736842,3.0,-49.473684210526315
11,11.0,"rude, people, woman, person, place, lady, front, walk, make, hand",17,0.01985981308411215,4.0,0.041666666666666664,13,0.017105263157894738,9.0,-58.94736842105262
12,12.0,"surgery, question, procedure, eye, follow, make, time, explain, experience, day",56,0.06542056074766354,4.0,0.041666666666666664,52,0.06842105263157895,48.0,64.2105263157895
13,13.0,"patient, care, staff, medical, facility, health, covid, provide, treat, concern",6,0.007009345794392523,,,6,0.007894736842105263,,
14,14.0,"order, time, day, make, good, place, wife, find, work, thing",23,0.026869158878504672,1.0,0.010416666666666666,22,0.02894736842105263,21.0,177.8947368421053
15,15.0,"mask, wear, store, employee, customer, line, people, glove, cvs, item",7,0.008177570093457943,1.0,0.010416666666666666,6,0.007894736842105263,5.0,-24.210526315789465
16,16.0,"staff, great, clean, friendly, nice, covid, check, helpful, safe, easy",8,0.009345794392523364,2.0,0.020833333333333332,6,0.007894736842105263,4.0,-62.10526315789473
17,17.0,"time, make, baby, husband, experience, daughter, son, child, feel, give",4,0.004672897196261682,1.0,0.010416666666666666,3,0.003947368421052632,2.0,-62.10526315789473
18,18.0,"feel, care, good, make, amazing, experience, love, team, great, kind",4,0.004672897196261682,,,4,0.005263157894736842,,
19,19.0,"pain, work, session, month, week, start, therapist, year, plan, body",30,0.035046728971962614,4.0,0.041666666666666664,26,0.034210526315789476,22.0,-17.894736842105253
