,topic_prev_all,topic_prev_t1,topic_prev_t2,topic_prev_pct_diff
Topic_0,0.047328168320548133,0.04460543248159582,0.04767209284757372,6.875082686942228
Topic_1,0.043858531923964945,0.043668263286398244,0.043882565857131225,0.4907513022157033
Topic_2,0.05486787892042076,0.049952237217318014,0.0554888020829179,11.083717515019337
Topic_3,0.03378041618232325,0.031060953358532317,0.03412392727585471,9.861171619450658
Topic_4,0.10286400973150772,0.11286908338870899,0.1016002109537559,-9.984020509978185
Topic_5,0.0441489834911901,0.046006592361164174,0.04391433816024604,-4.547726952897034
Topic_6,0.0695668569338318,0.06906712907778124,0.06962998045249084,0.8149337929997555
Topic_7,0.04813038731242949,0.048185302370070855,0.048123450673569525,-0.128362163271903
Topic_8,0.03851386423564852,0.03900887059195047,0.03845133711695773,-1.429247928823108
Topic_9,0.047333384903097915,0.048202903351240466,0.04722355099385887,-2.03172898164523
Topic_10,0.041475304330696315,0.041250335722562044,0.04150372141803962,0.6142633533500742
Topic_11,0.048430310231290324,0.052351246080069226,0.04793503412407612,-8.435734173812559
Topic_12,0.061282094382015755,0.061471860865960355,0.0612581238787806,-0.34769890510685547
Topic_13,0.04255377274879147,0.04041366618340664,0.04282410199915583,5.96440769518428
Topic_14,0.051812795544616194,0.05042934636410235,0.05198754702004948,3.0898688329149473
Topic_15,0.044562037777748184,0.04207059808026012,0.04487674595006243,6.6700926486685175
Topic_16,0.04368042399719996,0.04201018647921064,0.043891401367893323,4.477996996308571
Topic_17,0.03849974858821561,0.039393423915470405,0.03838686328372022,-2.5551488845195087
Topic_18,0.043407163511376724,0.04423669458631299,0.043302380638753225,-2.1120790246585157
Topic_19,0.05390386693308756,0.053745874237884565,0.05392382390511327,0.33109456260974307
