,Topic_0,Topic_0,Topic_1,Topic_1,Topic_2,Topic_2,Topic_3,Topic_3,Topic_4,Topic_4,Topic_5,Topic_5,Topic_6,Topic_6,Topic_7,Topic_7,Topic_8,Topic_8,Topic_9,Topic_9,Topic_10,Topic_10,Topic_11,Topic_11,Topic_12,Topic_12,Topic_13,Topic_13,Topic_14,Topic_14,Topic_15,Topic_15,Topic_16,Topic_16,Topic_17,Topic_17,Topic_18,Topic_18,Topic_19,Topic_19
,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value
Word_1,test,0.11902979487947297,call,0.2237728439812717,people,0.06421440180437162,appointment,0.1519735045069653,feel,0.03163929784824462,insurance,0.056056657980891295,doctor,0.050130338881090836,nurse,0.08461363562542631,wait,0.13676518350113673,service,0.048774483946970495,doctor,0.1360825424121168,rude,0.03332761283679423,surgery,0.04794216933201487,patient,0.18175102887896163,order,0.05621398282048494,mask,0.09593261446691358,staff,0.06507576039611332,time,0.04739131998130236,feel,0.060303083086570286,pain,0.04674267100977199
Word_2,covid,0.08058841143883815,phone,0.06286059507627247,bad,0.04431324422037215,office,0.1338432122370937,place,0.029374292185730465,pay,0.05472038484666266,virus,0.04144108014170176,hospital,0.07054925780361841,room,0.07486196817148424,review,0.04146006962759785,year,0.04762062237507854,people,0.030066929809507464,question,0.03839465339107307,care,0.11140033064828168,time,0.0411003588126563,wear,0.05673363704893317,great,0.0539443803283571,make,0.035417640501959655,care,0.039888521163560356,work,0.03680781758957655
Word_3,result,0.06015122024255128,day,0.035916024769672254,thing,0.02719824869813261,time,0.07293089319857962,face,0.027746319365798414,prescription,0.043094808578873524,symptom,0.037831695742263215,mom,0.029882742716081462,hour,0.070477427736278,time,0.032457713542216125,issue,0.03915473395284236,woman,0.026463016989874723,procedure,0.03283663518259624,staff,0.09866685426852861,day,0.03928817367982313,store,0.0455245649110157,clean,0.04359480287405532,baby,0.03444680162525619,good,0.0325030482494339,session,0.01817589576547231
Word_4,day,0.04203473573888307,speak,0.03392236822232291,leave,0.022853162625626058,make,0.049030319584812895,skin,0.019889580973952437,charge,0.030366806975345762,care,0.032818661854154135,home,0.02744664955987917,minute,0.06063657031503735,work,0.030171959067412175,visit,0.036939052217335226,person,0.026154110176763345,eye,0.03256384901285505,medical,0.03703964261845299,make,0.032546844985683734,employee,0.035790370685982106,friendly,0.04169613938423737,husband,0.03027579015497465,make,0.03100505138477617,month,0.014169381107491857
Word_5,back,0.041885012726456054,receive,0.029632985953783417,treat,0.019967494775946133,schedule,0.042372302649549304,treatment,0.01829699886749717,money,0.02832899044564709,sick,0.03151527304324577,mother,0.02553025627700003,check,0.04348814550178629,due,0.028765340929071282,practice,0.031449452693541456,place,0.02560494250900978,follow,0.022607153817301464,facility,0.03250202258257413,good,0.02692907107390091,customer,0.030513585264330897,nice,0.03205390715163248,experience,0.02959260724173888,amazing,0.02672008360912733,week,0.013778501628664496
Word_6,time,0.03743075310675251,answer,0.024830086089714546,give,0.019536303028292814,week,0.02830510789401803,good,0.01543035107587769,pharmacy,0.028061735818801364,urgent,0.029175857228794868,family,0.022801831942053465,back,0.031049041896719715,business,0.027604880964940043,medical,0.029299910711333046,lady,0.022687489274068988,make,0.02134551778224844,health,0.030004572795384994,place,0.026421659236707622,line,0.024253547900757105,covid,0.030937046275268977,daughter,0.025529466757757722,experience,0.025570458108343495,start,0.01247557003257329
Word_7,clinic,0.032939062733942204,number,0.02214167044253134,talk,0.018972436896746162,visit,0.025778475826276973,massage,0.014510192525481313,company,0.024019509587759738,give,0.02914243700287414,stay,0.019261376555039466,sit,0.027703799935043846,close,0.021310264795864543,find,0.029134561328086245,front,0.019804359018362794,time,0.021072731612507247,covid,0.025431777410390797,wife,0.0236671378348012,people,0.023368621153026778,check,0.027995979300845093,son,0.0249901118262558,love,0.025117575335307438,therapist,0.012410423452768729
Word_8,blood,0.027361880521036084,email,0.02211146352514726,happen,0.016849646754452885,cancel,0.02171537831193663,start,0.011749716874292186,month,0.022750050110242535,cough,0.021255263685582514,care,0.016630395946340987,time,0.02633972068853524,situation,0.019446495762562858,medication,0.017956943020602533,walk,0.019598421142955208,explain,0.01987929211988952,provide,0.017165570368285907,find,0.02225363343119133,glove,0.02143489233391236,helpful,0.027921521909087525,child,0.024594584876487722,team,0.020797770423271206,year,0.012019543973941367
Word_9,work,0.027212157508609072,leave,0.01999697930826159,run,0.016584297986666226,call,0.019871619776017483,facial,0.011678935447338619,bill,0.022516202311752522,bad,0.019651092841387607,facility,0.015461071231363888,walk,0.024326079896070153,offer,0.017301403101592994,health,0.016237309434835808,make,0.019049253475201647,experience,0.01578749957377161,treat,0.015617855007210947,work,0.021963683809938024,cvs,0.019796139097374717,safe,0.027400320166784557,feel,0.020099960447305023,great,0.02041456192300993,plan,0.011107491856677525
Word_10,lab,0.023207066926186556,back,0.017912702008760006,guy,0.016153106239012904,doctor,0.017891286533733952,back,0.01139580973952435,send,0.02131355649094675,flu,0.01540672414945525,give,0.015266183778867704,leave,0.0235790841182202,write,0.017160741287758907,problem,0.014616885479017164,hand,0.018671700703621074,day,0.015003239335765677,concern,0.014034964297020648,thing,0.020695154216954805,item,0.01773131001933729,easy,0.022858419269572987,give,0.01704361583546079,kind,0.02034488765023515,body,0.011074918566775244
Word_11,testing,0.020100314418326097,information,0.017550219000151034,wrong,0.015688745895386248,due,0.016730401529636712,end,0.010475651189127973,refill,0.013897240595977817,fever,0.015206202793930887,emergency,0.014649040179296456,arrive,0.02299447872685937,understand,0.016457432218588457,treatment,0.01355864942623764,talk,0.017470396430410158,answer,0.013946192928018549,lack,0.01118576101867811,problem,0.019644086839911565,manager,0.014158827963685228,professional,0.02200215926436097,kid,0.01589299198159002,wonderful,0.018603030830865702,home,0.010814332247557004
Word_12,give,0.019613714627938313,send,0.01679504606554901,job,0.01545656572357292,appt,0.015979240644632613,offer,0.010227916194790488,fill,0.013462951827353511,pain,0.013635452175656707,day,0.012570240686003833,car,0.02185774602143553,open,0.0155782958821254,condition,0.011243758060782432,horrible,0.017367427492706367,feel,0.013400620588536161,require,0.009391818213795772,week,0.01808560762567504,location,0.011962898626724788,super,0.021443728826179217,birth,0.013735572255582324,excellent,0.015920571329036754,life,0.010488599348534203
Word_13,place,0.015758347057942806,hold,0.015979459296178826,literally,0.015091711167866265,today,0.01447691887462442,put,0.009803227633069083,cover,0.013429544998997796,feel,0.012432324042510528,die,0.010881216097703577,door,0.01864241636895096,continue,0.01483982135949643,refer,0.010946129170938193,put,0.015239402780161318,concern,0.012377672452006683,assistant,0.009215941468219071,food,0.016998296545975136,pharmacy,0.01061912097276392,pandemic,0.01913554968169465,thing,0.013088346337780015,recommend,0.015328340010451141,continue,0.010293159609120521
