,Topic_0,Topic_0,Topic_1,Topic_1,Topic_2,Topic_2,Topic_3,Topic_3,Topic_4,Topic_4,Topic_5,Topic_5,Topic_6,Topic_6,Topic_7,Topic_7,Topic_8,Topic_8,Topic_9,Topic_9,Topic_10,Topic_10,Topic_11,Topic_11,Topic_12,Topic_12,Topic_13,Topic_13,Topic_14,Topic_14,Topic_15,Topic_15,Topic_16,Topic_16,Topic_17,Topic_17,Topic_18,Topic_18,Topic_19,Topic_19
,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value
Word_1,feel,0.13751987281399047,life,0.044171779141104296,issue,0.0632427843803056,prescription,0.05441055234954658,patient,0.1203576341127923,pain,0.09267879813796022,doctor,0.07516466485858195,check,0.04238998788857489,call,0.19485409475996235,visit,0.17835178351783518,care,0.18982630272952852,baby,0.03313131313131313,appointment,0.19934640522875818,zoom,0.08484848484848485,back,0.07349298100743187,session,0.09276520195295163,people,0.06060606060606061,call,0.10179640718562874,recommend,0.052742616033755275,week,0.042482452899889174
Word_2,make,0.06359300476947535,work,0.04212678936605317,time,0.05730050933786078,medication,0.03833470733718054,doctor,0.05845942228335626,exercise,0.04104951333051206,give,0.041456799690042616,nurse,0.03794913201453371,wait,0.06463759021022905,time,0.11931119311193111,staff,0.09636062861869313,give,0.03191919191919192,office,0.13435003631082063,great,0.0632034632034632,give,0.07225433526011561,telehealth,0.085219707057257,place,0.05785123966942149,insurance,0.06736526946107785,month,0.039662447257383965,person,0.041374214998152935
Word_3,love,0.04689984101748808,find,0.03844580777096115,extremely,0.041171477079796265,refill,0.034212695795548226,medical,0.055020632737276476,body,0.027084214980956412,day,0.02983339790778768,facility,0.03108599111828825,doctor,0.047066206463759024,doctor,0.06806068060680606,covid,0.041770057899090156,support,0.03111111111111111,schedule,0.06209150326797386,class,0.05800865800865801,test,0.06440957886044592,work,0.07723035952063914,talk,0.0440771349862259,phone,0.04940119760479042,year,0.039240506329113925,start,0.03546361285555966
Word_4,experience,0.03457869634340222,plan,0.03721881390593047,make,0.03904923599320883,bad,0.031327287716405604,make,0.04573590096286107,follow,0.018620397799407534,symptom,0.02828361100348702,room,0.028259991925716592,day,0.042045811107624724,virtual,0.05453054530545305,family,0.035153019023986765,child,0.030707070707070707,phone,0.03231663035584604,good,0.04329004329004329,find,0.05491329479768786,easy,0.04837993786063027,make,0.026367571822117276,charge,0.04491017964071856,week,0.0379746835443038,work,0.03509420022164758
Word_5,couple,0.023052464228934817,month,0.031492842535787324,service,0.03862478777589134,state,0.030502885408079144,office,0.04332874828060523,pt,0.018620397799407534,eye,0.02402169701666021,minute,0.02624142107387969,minute,0.038908064010040794,experience,0.033210332103321034,professional,0.03143093465674111,pandemic,0.028282828282828285,patient,0.029411764705882353,amazing,0.032034632034632034,time,0.04046242774566474,therapist,0.0461606746560142,happen,0.024006296733569462,pay,0.04154191616766467,son,0.032067510548523206,meeting,0.030291835980790542
Word_6,start,0.02066772655007949,year,0.031083844580777096,concern,0.03225806451612903,order,0.025556471558120363,health,0.040233837689133425,injury,0.017774016081252644,sick,0.018597442851607904,place,0.025837706903512312,appointment,0.03545654220269846,follow,0.025420254202542025,due,0.030603804797353185,birth,0.025454545454545455,telemedicine,0.029048656499636893,set,0.024242424242424242,result,0.040049545829892653,helpful,0.03506435863293387,hope,0.023612750885478158,receive,0.02694610778443114,surgery,0.0270042194092827,good,0.026967122275581824
Word_7,anxiety,0.017488076311605722,change,0.026584867075664622,friendly,0.030560271646859084,pharmacy,0.023907666941467436,practice,0.038170563961485555,physical,0.016927634363097757,put,0.017822549399457575,staff,0.020589422688736373,hour,0.033887668653906494,fact,0.016400164001640016,great,0.029363110008271298,hospital,0.024242424242424242,email,0.023238925199709513,home,0.024242424242424242,covid,0.037985136251032205,continue,0.030181979582778518,speak,0.023219205037386857,appt,0.02694610778443114,kid,0.02362869198312236,meet,0.026228297007757664
Word_8,ease,0.015500794912559618,program,0.026175869120654397,kind,0.030135823429541596,med,0.023083264633140973,review,0.031292984869325996,excellent,0.01608125264494287,medication,0.017822549399457575,hour,0.020589422688736373,time,0.032318795105114526,hard,0.015990159901599015,physician,0.029363110008271298,daughter,0.024242424242424242,cancel,0.01888162672476398,move,0.02207792207792208,today,0.03014037985136251,highly_recommend,0.028406569019085663,woman,0.02046438410074774,bill,0.02245508982035928,job,0.02067510548523207,back,0.023642408570373107
Word_9,team,0.013513513513513514,live,0.020040899795501024,person,0.029711375212224108,problem,0.021022258862324814,provider,0.030261348005502064,issue,0.015658061785865426,antibiotic,0.01743510267338241,happy,0.019781994348001614,receive,0.031063696266080954,person,0.013530135301353014,understand,0.027708850289495452,thing,0.023434343434343436,due,0.017429193899782137,provide,0.017316017316017316,walk,0.02477291494632535,offer,0.02174877940523746,client,0.01770956316410862,horrible,0.017964071856287425,procedure,0.017721518987341773,leave,0.022903583302548946
Word_10,share,0.012718600953895072,home,0.019222903885480574,super,0.02801358234295416,contact,0.019373454245671887,year,0.023039889958734527,run,0.01523487092678798,explain,0.017047655947307245,leave,0.019781994348001614,message,0.02259177910260433,worth,0.013120131201312012,provide,0.02729528535980149,husband,0.02303030303030303,receptionist,0.014161220043572984,forward,0.01471861471861472,information,0.022708505367464906,therapy,0.020861074123391034,center,0.01652892561983471,today,0.016092814371257484,sleep,0.01729957805907173,thing,0.02216475803472479
Word_11,online,0.01232114467408585,level,0.018404907975460124,treatment,0.027589134125636672,happen,0.016075845012366034,read,0.019944979367262722,video,0.01523487092678798,prescribe,0.016272762495156915,day,0.018974566007266856,send,0.02008158142453718,line,0.012710127101271012,good,0.026881720430107527,make,0.01818181818181818,fine,0.014161220043572984,begin,0.013852813852813853,answer,0.021469859620148638,home,0.015978695073235686,absolutely,0.016135379771743407,paperwork,0.014595808383233533,close,0.016455696202531647,reach,0.02105652013298855
Word_12,incredibly,0.010731319554848967,time,0.015541922290388548,option,0.026740237691001697,terrible,0.015251442704039572,deal,0.01891334250343879,friend,0.013542107490478206,immediately,0.01588531576908175,home,0.018167137666532097,long,0.01882648258550361,quick,0.012300123001230012,member,0.01695616211745244,grateful,0.01696969696969697,speak,0.014161220043572984,group,0.01341991341991342,spend,0.02023121387283237,online,0.015534842432312472,money,0.014167650531286895,company,0.014221556886227544,highly,0.015189873417721518,finally,0.01773180642777983
Word_13,recommend,0.010333863275039745,learn,0.013496932515337423,situation,0.025891341256366725,nice,0.01483924154987634,treat,0.01685006877579092,movement,0.013118916631400761,infection,0.015110422316931422,drive,0.017763423496164714,return,0.015061186068402886,book,0.011480114801148012,primary,0.015301902398676593,parent,0.014141414141414142,reschedule,0.014161220043572984,continue,0.012987012987012988,question,0.018992568125516102,convenient,0.015534842432312472,treat,0.013774104683195593,request,0.01309880239520958,include,0.015189873417721518,show,0.01736239379386775
Word_14,weekend,0.010333863275039745,workout,0.012678936605316974,listen,0.02504244482173175,send,0.01483924154987634,leave,0.016506189821182942,shoulder,0.012272534913245875,bad,0.015110422316931422,sit,0.016148566814695196,late,0.014119861939127707,save,0.01066010660106601,compassionate,0.014061207609594707,experience,0.013737373737373737,review,0.011256354393609296,thankful,0.011688311688311689,clinic,0.017753922378199834,safe,0.014647137150466045,real,0.012593467138921684,refuse,0.012724550898203593,assistant,0.014345991561181435,send,0.01736239379386775
Word_15,safe,0.009936406995230525,gym,0.011860940695296524,question,0.0233446519524618,show,0.014014839241549877,medicine,0.015474552957359009,relief,0.011002962336013541,clinic,0.015110422316931422,arrive,0.015744852644327817,number,0.013806087229369313,initial,0.00984009840098401,knowledge,0.01282051282051282,video,0.01292929292929293,girl,0.010167029774872912,yoga,0.011255411255411256,blood,0.01610239471511148,difficult,0.013315579227696404,rude,0.012593467138921684,expect,0.011601796407185628,problem,0.013924050632911392,day,0.01625415589213151
Word_16,create,0.009538950715421303,recovery,0.011451942740286299,process,0.02037351443123939,lie,0.013602638087386645,note,0.014099037138927097,massage,0.011002962336013541,high,0.014335528864781092,immediately,0.014937424303593056,set,0.011923438970818953,make_sure,0.00984009840098401,team,0.01282051282051282,question,0.011717171717171718,issue,0.010167029774872912,virtual,0.009956709956709957,explain,0.0152766308835673,approach,0.012427873945849977,switch,0.012199921290830381,inform,0.011601796407185628,consult,0.013080168776371307,write,0.014776505356483192
Word_17,face,0.009538950715421303,lose,0.011042944785276074,answer,0.01867572156196944,literally,0.012778235779060182,refer,0.013411279229711142,painful,0.010579771476936098,clear,0.012010848508330105,clean,0.014937424303593056,confirm,0.011295889551302165,reason,0.00943009430094301,wonderful,0.01240694789081886,pregnancy,0.011717171717171718,virus,0.010167029774872912,strong,0.009956709956709957,figure,0.013625103220478944,lot,0.011984021304926764,stress,0.012199921290830381,copay,0.011601796407185628,lot,0.012236286919831224,suggest,0.014407092722571112
Word_18,bring,0.009141494435612083,goal,0.011042944785276074,discuss,0.01697792869269949,thing,0.01236603462489695,current,0.013067400275103164,treatment,0.010579771476936098,emergency,0.01162340178225494,wait,0.014937424303593056,pm,0.010982114841543772,rush,0.008610086100861008,manner,0.008271298593879239,labor,0.011717171717171718,psychiatrist,0.010167029774872912,quarantine,0.009523809523809525,lab,0.011147811725846408,future,0.011096316023080338,choose,0.011806375442739079,finally,0.010853293413173653,area,0.012236286919831224,open,0.014037680088659032
Word_19,part,0.009141494435612083,healthy,0.011042944785276074,knowledgeable,0.01697792869269949,realize,0.01236603462489695,require,0.011004126547455296,muscle,0.010579771476936098,lose,0.01084850833010461,door,0.014937424303593056,morning,0.010668340131785378,pleasant,0.008610086100861008,handle,0.008271298593879239,amazing,0.01090909090909091,answer,0.00907770515613653,instruction,0.009523809523809525,negative,0.010734929810074319,progress,0.010208610741233911,unprofessional,0.011806375442739079,business,0.010479041916167664,day,0.012236286919831224,phone,0.013298854820834873
Word_20,helpful,0.009141494435612083,training,0.0098159509202454,recommend,0.015280135823429542,speak,0.01236603462489695,cover,0.009284731774415406,experience,0.010579771476936098,telemedicine,0.01084850833010461,hold,0.014129995962858296,link,0.010354565422026984,service,0.008610086100861008,past,0.008271298593879239,consultation,0.01090909090909091,worry,0.00907770515613653,wonderful,0.008658008658008658,lady,0.00990916597853014,detail,0.009320905459387484,group,0.011019283746556474,cost,0.010479041916167664,small,0.01181434599156118,completely,0.011821204285186553
