,fac_id,rev_id,rev_rating,review,user,rev_created_time,rev_url,rev_is_selected,fac_name,fac_is_closed,review_count,fac_rating,fac_updated_time,phone,business_url,fac_url,address,city,state,country,postal_code,latitude,longitude,cat1,cat2,cat3,cat4,cat5,cat6
15652,xLPzulLDV-k0z0PyG1_Rhg,mamHVFGx1dXIWKhRLIibWA,1,"doctors are decent. front desk, office personnel and billing process are horrible. good place for employees to pass the buck to the next person when you have a question or complaint that's it's someone else's department. three previous visits only one was without incident.  had a 3:30 appt today and i'm still sitting here waiting after walk-ins and later appointments have been seen. no updates or contacts that i didn't have to ask myself. no common sense that if it's after hours for your workplace you're not going to get a call from them.  chastised for not giving information they didn't ask. won't see me apparently without talking to my employer when it's after business hours so i'm sitting in the middle of a flu season (their words) waiting room of coughing patients probably taking in the germs that will get me the flu where i will have to come back and go into the same crap routine as i've done twice before with no real assessment except i must have allergies for the first time in my life and for an injury i had an appt for two hours ago. today, if i could give them a zero, i would. and these people are actually taking care if people in an urgent care capacity that are depending on them to have some wits about them. i'm glad i'm not sitting here with something life or death because i'd probably be dead. oh, but they made sure i signed off on their coronavirus paperwork alright. probably to protect their own health. 

look at that one star in the review and think zero stars. don't be real sick because if you are pick a different place than the hunters creek loop advent centra care.",John T.,2020-02-26,https://www.yelp.com/biz/adventhealth-kissimmee-kissimmee?adjust_creative=upenn&hrid=mamHVFGx1dXIWKhRLIibWA&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,AdventHealth Kissimmee,False,31,2.5,2020-05-29T13:15:11,14078464343.0,http://www.AdventHealth.com,https://www.yelp.com/biz/adventhealth-kissimmee-kissimmee?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,2450 N Orange Blossom Trl,Kissimmee,FL,US,34744.0,,,Hospitals,Emergency Rooms,,,,
28998,yR20PHrJjDPRx6baHEgaIg,od4o9Q99AIZYvbENlSdtRQ,1,"dr mathur is my daughter's pediatrician, she ordered blood works to be done which is right across her office. but first we had to check in with this nasty ugly front desk b*tch. it's been over a year and they still haven't gotten any better. 

it's the flu season and with the whole coronavirus situation, we showed up with face masks. but we didn't have any kids size masks and dr mathurs staff actually gave us one during our visit, my daughter dropped it by accident so we went to the front desk and ask for one. the lady asked if my baby has any flu like symptoms and i said no just for precautions. with her sh*t face acting like we were there to steal, she said it's only for anyone who has a flu. ok, i understand so i said thanks and went back to our seats. 

this ugly lowlife is clearly against us asians with face masks. because when the nurse called my daughter, me and my mom got up to head over. the ugly nasty lowlife dare to yelled at my mom to not come along. she yelled not once, not twice but three times. my mom doesn't speak english, by the time i turned around bitch got up from her seat and screamed so loud the whole lobby and surrounding office staff and patients looked over. her reason was theres no space for my mom. bitch there's an other person also in the lab, and her family is standing right by the door! if they can stand there, why can't my mom stand right outside just like other patients families. 

i just wanted to tell her to go to hell if my daughter weren't there with us. how can anyone so  be still living in this society. 

the whole check-in experience was terrible from start to finish. fire her already.",Jo H.,2020-02-29,https://www.yelp.com/biz/st-jude-heritage-medical-group-diamond-bar?adjust_creative=upenn&hrid=od4o9Q99AIZYvbENlSdtRQ&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,St Jude Heritage Medical Group,False,50,3.0,2020-02-29T14:03:29,19098601144.0,http://www.sjhmg.com/,https://www.yelp.com/biz/st-jude-heritage-medical-group-diamond-bar?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,1514 Valley Vista Dr,Diamond Bar,CA,US,91765.0,,,Hospitals,,,,,
53779,7SaKIxQ3Dx2HFtApUXUuDg,mpOqtpWrHTS5y7BHtzcGYQ,1,"if i could give this place zero stars i would. the first time i went was when i broke my ankle. made us wait over four hours just to get an x-ray and we had to share a room with another patient. the next time was even worse. my girlfriend came in with abdominal pains and they made us wait three hours just to see a doctor. the doctor than told her she needed an ultrasound, which we waited two hours for and than another two for the results. after that they made her get a cat scan, which took up another two hours to get and another two for the results. than after all this doctor mchue came in for no more than thirty seconds to tell her nothing was wrong. they definitely just added procedures in order to rack up her hospital bill bordering on malpractice considering how much radiation a cat scan gives. after all this we had to wait another hour just so a nurse could come in for five seconds to take out her iv. when i went to complain to dr mchue, and told him we'd been at the hospital for almost 12 hours and we just need the iv to be taken out so we could go home, he rudely told me ""people are dying."" i understand that it's an emergency room but there were atleast ten people talking or sitting at their computers, one of which is capable of removing an iv, or dr mchue should've just done it himself when he came to see us. his attitude was not one any dr should have and it was clear he got stuck with the graveyard shift and was not happy about it. terrible terrible doctor. don't go unless you're literally dying because they will not help you. go to a different hospital if you can and definitely hope to god you don't get dr mchue, because i've never encountered a more rude or dismissive dr in my life. fuck this p",Shiva T.,2020-02-03,https://www.yelp.com/biz/mount-sinai-west-new-york-4?adjust_creative=upenn&hrid=mpOqtpWrHTS5y7BHtzcGYQ&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Mount Sinai West,False,237,2.0,2020-06-16T19:49:34,12128579990.0,http://www.mountsinai.org/locations/west,https://www.yelp.com/biz/mount-sinai-west-new-york-4?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,1000 Tenth Avenue,New York,NY,US,10019.0,,,Hospitals,,,,,
56564,YxjoBpI6BCqW1WuhHxL4Tw,sTaS9H-Ka95c8w7b9hTkGw,5,"i will say, i haven't received my bill yet which i'm slightly nervous for - but i trust they'll have a great billing department. we were on vacation in wa when we were transported by ambulance to tacoma children's hospital. from the er to the last day we were here people were amazing. my daughter was have severe trouble breathing due to a severe case of croup, virus and bacterial infection. they were fast and efficient about getting her started on the meds she needed right away. dr. mccabe & dr. williams were the ones who were assigned to us, they were absolutely amazing! after thinking about it, i was so happy that we were in wa when this happened and not at our home (ca). because i can guarantee the care we received wouldn't have been able to compare to out in la.",Justyna G.,2019-12-07,https://www.yelp.com/biz/mary-bridge-childrens-hospital-tacoma-4?adjust_creative=upenn&hrid=sTaS9H-Ka95c8w7b9hTkGw&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Mary Bridge Children's Hospital,False,52,3.5,2020-01-27T12:44:23,12534031400.0,http://www.marybridge.org,https://www.yelp.com/biz/mary-bridge-childrens-hospital-tacoma-4?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,317 Martin Luther King Jr Way,Tacoma,WA,US,98405.0,,,Hospitals,,,,,
83967,NpLrHH6RD_oTHZXoWdDhLQ,XE9ewKJqLZCa-zwVkFWQHA,3,"it's never fun when you end up in the er. check in ran smoothly, but of a wait since lots of sick kiddos but it's that time of year with the flu and all. very grateful that people were wearing their face masks and all. 

once i got a bed it went pretty quickly, had my xrays and meds and the cool app that tells you the progress of the tests was so awesome! i really do like that new feature. 

but the bad happened as i was leaving :( i was given a  hospital gown to wear because i had a lot of x rays to take,  i mean i sprained my entire body from the fall i had. miracle i didn't break anything. anyway, the hospital gown had dry blood in the inside. i was not bleeding so this grossed me out  and my husband. immediately told the doctor and my nurse. they just said they'd wash it again, my husband said  they should throw it away. i was too drugged on percocet and muscle relaxers to argue. 

other than that i'm healing and feel better.  i do wish that the tree given to me at the end with my diagnosis was just given to me via  a link in that cool  app.",Cynthia P.,2020-01-30,https://www.yelp.com/biz/banner-thunderbird-medical-center-glendale-2?adjust_creative=upenn&hrid=XE9ewKJqLZCa-zwVkFWQHA&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Banner Thunderbird Medical Center,False,208,2.0,2020-06-27T22:34:39,16028655555.0,http://www.BannerHealth.com/Thunderbird,https://www.yelp.com/biz/banner-thunderbird-medical-center-glendale-2?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,5555 W Thunderbird Rd,Glendale,AZ,US,85306.0,,,Hospitals,,,,,
85737,bdNKT-Z3b-AcjweoREZBBA,XyOCooDvn_5GWG6pXV8BpA,1,"this hospital is hamstrung by its own policies. they cannot logically solve problems that require a creative solution.  my wife broke her jaw in a fall &  required a maxillo-facial surgeon to examine her. my wife & i just spent 7 hours in the er before the methodist personnel figured out there was no specialist to see her at this hospital. rather than giving us a referral to an appropriate specialist, their policy required us to go to another er in their system ( we are now in our 2nd er getting exposed to another environment filled with viruses and other potential sources of infection)
stay out of their system if you can",Ken C.,2020-02-05,https://www.yelp.com/biz/methodist-le-bonheur-germantown-hospital-germantown?adjust_creative=upenn&hrid=XyOCooDvn_5GWG6pXV8BpA&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Methodist Le Bonheur Germantown Hospital,False,35,3.5,2020-02-06T03:45:50,19015166000.0,http://www.methodisthealth.org,https://www.yelp.com/biz/methodist-le-bonheur-germantown-hospital-germantown?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,7691 Poplar Ave,Germantown,TN,US,38138.0,,,Hospitals,,,,,
91091,gYsKqN8Gu-9SexqsK37Q7w,KHR_1fxEeRf4rXCvvGTkow,1,"went in to see what's was wrong with me and three of my kids we all can not keep anything down and all of our temperature were above 100. they didn't do much but say it was a virus. only got our blood pressure, height, and weight done so how do they know if that is the problem. my daughter is two years old and cannot even walk without shaking. 

- 0 stars",Grumps V.,2020-03-07,https://www.yelp.com/biz/bakersfield-memorial-hospital-bakersfield-5?adjust_creative=upenn&hrid=KHR_1fxEeRf4rXCvvGTkow&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Bakersfield Memorial Hospital,False,86,3.0,2020-06-17T03:28:55,16613274647.0,http://www.dignityhealth.org,https://www.yelp.com/biz/bakersfield-memorial-hospital-bakersfield-5?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,420 34th St,Bakersfield,CA,US,93301.0,,,Hospitals,,,,,
119079,uoU041nNjpv5Qy8PNBbhYQ,0urraRz2RUOIw1SKf35S2g,1,"stay away!!!! 
i am so disappointed in hoag 
this is the second time they have not treated my family properly and made us feel like they were annoyed we went there... 

so here is the story:

my brother went in a few nights ago having difficulty breathing 
they treated him with a breathing treatment   and sent him home with medicine and told him he has the cold he has to let his body fight it 

well it didn't work he got worse and went back and the nurse and doctor both had the nerve to tell him 
why are you back there is nothing we can do for you .... 

obviously something isn't right if he needed to go back to er

we don't just go back fun and wanna waste our money 

well today he called my mother and i because he had trouble again and couldn't get up he was so weak 

we said don't go back to hoag and we took him to irvine urgent care with dr. v and his team 

let me tell you my brother was not diagnosed properly from the hospital  

thank you to dr.v team they took their time and evaluated him 
they made sure he didn't have the crazy virus going around, they made sure he had proper breathing treatments done and just geniuly took the time to treat him! 

thank god he is ok now 
and do yourselves a favor stay away from this hospital !!!!


shame on hoag for not caring 
and they are suppose to be the best
very disappointed ...",Ashley T.,2020-01-31,https://www.yelp.com/biz/hoag-hospital-irvine-irvine-2?adjust_creative=upenn&hrid=0urraRz2RUOIw1SKf35S2g&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Hoag Hospital Irvine,False,290,2.5,2020-06-26T09:11:22,19497644624.0,http://www.hoag.org,https://www.yelp.com/biz/hoag-hospital-irvine-irvine-2?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,16200 Sand Canyon Ave,Irvine,CA,US,92618.0,,,Hospitals,,,,,
131067,T1s7B4njBUnKILoS1BAnMA,uvj0ajQBcC3Ydw8NvNpBQQ,1,"update: still visiting as part of my ministry. with all the worries of flu and coronavirus, they still have empty hand sanitizing stations, dirty bathrooms, and no soap in some dispensers. really? this is sad. when do they plan on correcting this? this is my third update in only a couple of years, and still, they have not fixed the problem. please be aware of this. your health could be at risk! too no avail, i mentioned to staff before. is it apathy, laziness, or lack of concern? sad!",Travis P.,2020-03-11,https://www.yelp.com/biz/texas-health-harris-methodist-hospital-fort-worth-fort-worth-4?adjust_creative=upenn&hrid=uvj0ajQBcC3Ydw8NvNpBQQ&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Texas Health Harris Methodist Hospital Fort Worth,False,63,3.0,2020-05-17T20:46:16,18172502000.0,http://www.TexasHealth.org,https://www.yelp.com/biz/texas-health-harris-methodist-hospital-fort-worth-fort-worth-4?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,1301 Pennsylvania Ave,Fort Worth,TX,US,76104.0,,,Hospitals,,,,,
131073,T1s7B4njBUnKILoS1BAnMA,uGmFimvuzEhzVMzz5XNlmA,1,"i'm in my late 40s. i am a former soldier. i have been to emergency rooms around the world. i was a paramedic for years. this was the wooooorst medical experience i have ever had. i have had my face reconstructed. i have been shot. i was unfortunate enough to experience the worse pain i have ever had in my life for the second time, another kidney stone. i knew exactly what it was. i told these assholes exactly what it was. i'm have insurance out the whazoo. but yet, these assholes let me roll around their nasty ass floor in pain for hours without once attempting to manage my pain. i didn't want any narcotics. i wanted toradol to open my vessels. i walked out twice because they refused to move with any sense of urgency to get me relief. listen to what i said, i walked out twice because they were disinterested in helping me in my severe distress. like i wanted to be in the emergency... i should not have been in this emergency room thinking i should shoot myself to get more expedited care. i didn't go through with it because they still probably wouldn't give me the toradol.... i walked out in severe pain, went to north richland hills emergency room, was in a bed in 10 minutes, got a shot of toradol in another 15 minutes, and past the stone in my urine sample within the hour...i pray to the lord that something replaces the triage nurse and doctor in harris methodist er, to include the corona virus.",T S.,2020-02-11,https://www.yelp.com/biz/texas-health-harris-methodist-hospital-fort-worth-fort-worth-4?adjust_creative=upenn&hrid=uGmFimvuzEhzVMzz5XNlmA&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Texas Health Harris Methodist Hospital Fort Worth,False,63,3.0,2020-05-17T20:46:16,18172502000.0,http://www.TexasHealth.org,https://www.yelp.com/biz/texas-health-harris-methodist-hospital-fort-worth-fort-worth-4?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,1301 Pennsylvania Ave,Fort Worth,TX,US,76104.0,,,Hospitals,,,,,
