,fac_id,rev_id,rev_rating,review,user,rev_created_time,rev_url,rev_is_selected,fac_name,fac_is_closed,review_count,fac_rating,fac_updated_time,phone,business_url,fac_url,address,city,state,country,postal_code,latitude,longitude,cat1,cat2,cat3,cat4,cat5,cat6
505165,Kj_6Io7tjIcD_TnVX0Nqaw,5gdmtuPAJGLXrjF8TbKAwQ,1,"i am very disheartened with dr. eric duwell @ aurora medical center. his ""care"" of a close friend of mine (a geriatric woman with chronic asthma and sinus congestion) is sorely lacking. she requested a telemedicine appointment after becoming hypoxic to the point she lost consciousness due to severe sinus inflammation and likely needing a change to medication previously prescribed.

dr. duwell and his team refused to care for her and refused to have a telemedicine exam. instead they reccomended a patient of his with multiple risk factors for covid-19 (age, lung disease) seek care at a location that is high risk for contracting the disease (urgent care). they say #inthistogether i say, #outofthisalone.

they say they have a ""clean clinic"" but how can any clinic be clean when 40% of people transmitting the covid-19 are asymptomatic and will be allowed entrance due to lack of symptoms? dr. duwell is setting a hard line on not prescribing medications on a telemedicne exam even if the medication was previously taken without adverse events due to clinic policy. what about #firstdonoharm instead of #protocolswithoutthought",Katie K.,2020-05-20,https://www.yelp.com/biz/duwell-eric-md-oshkosh?adjust_creative=upenn&hrid=5gdmtuPAJGLXrjF8TbKAwQ&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Duwell Eric MD,False,2,3.0,2020-05-20T09:37:58,19203038700.0,,https://www.yelp.com/biz/duwell-eric-md-oshkosh?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,414 Doctors Ct,Oshkosh,WI,US,54901.0,,,Family Practice,Hospitals,,,,
718178,UtWngqS-WloIY_A53W5K-Q,VLS5GqTvQrHk6j4hQL2IeA,1,"i'm very disappointed with the er medical staff at mercy gilbert. i've heard all great things about them. however when i was checked in at this hospital on tuesday, march 24, i had a completely different experience. 

it all started when i was told by the covid 19 hotline, that i could go to the banner urgent care on higley, to get tested. i waited a good hour before getting called back. (no it wasn't busy) appointment was @ 11:30, i checkin 11:15, called by 12:16pm. once i entered the back room, my legs gave out on me and i ended up collapsing. the nurse helped me to the room and onto the bed. at this point my fever was 102.6 and my body started to have convulsions. the banner urgent care called 911 and i was sent to this hospital. i wasn't tested  for covid 19 with banner urgent care.

i was asked a list of questions by the emt about where i work and have i traveled lately. told them i was a flight attendant based in jfk/nyc. also told them i started experiencing symptoms on monday night march 23. during this time my body was in so much pain and i had this excruciating headache unlike nothing i felt before in my life. 

we quickly arrived (which felt like forever) and i was taken to a room where i was met by er dr. kent first,  then by nurse rene a little later. and i was asked again the same list of questions from each. i just wanted to pop my head off from body at this point because the pain was so unbearable. 

here is where everything went downhill. 
dr.kent said she was going to run a flu and strep test on me. i asked her what will happen when they came back negative. (which i knew were both negative because i have had the flu and strep before and my body has never reacted like this, plus i got the flu shot back in october 2019).

dr. kent became very short with me and slightly raised her voice and seemed very irritated because i wanted to know about getting tested for covid 19 (which the next day my doctor now tested me and i was indeed positive). she was so concerned about state regulations and not admitting me to the hospital, that she sent me home with antibiotics after my xrays showed i had  community-acquired pneumonia and i was told i could return back to work after 3 days if symptoms improved. and when she told me about the pneumonia, dr. kent stood by the curtain and quickly walked away. really?!? 

so i knew something was off with my body and this was not normal, i don't have any underlying health issues. never in my 10 years of flying as a flight attendant have i had pneumonia. i'm in my early 30s and pretty healthy. i went to my doctor now and nurse john shipp was the only one who believed me enough to test me on wednesday, march 25, and by friday (yes two days later) i had a video chat with my doctor now and was positive for covid 19. later on that day i ended up collapsing yet once again experiencing hypoxia (lack of oxygen to the brain) and was admitted to banner baywood hospital. where i spent the next 6 days on antibiotics, blood thinners, and malaria medication hydroxychloroquine. 
if it wasn't for me taking the initiative to find help, i more than likely wouldn't be here today and my child would be motherless.",Shawntele R.,2020-04-09,https://www.yelp.com/biz/mercy-gilbert-medical-center-gilbert?adjust_creative=upenn&hrid=VLS5GqTvQrHk6j4hQL2IeA&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Mercy Gilbert Medical Center,False,216,3.0,2020-06-16T20:28:07,14807288000.0,https://www.dignityhealth.org,https://www.yelp.com/biz/mercy-gilbert-medical-center-gilbert?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,3555 S Val Vista Dr,Gilbert,AZ,US,85297.0,,,Hospitals,,,,,
1224551,i8XNvS70Lk8h7OWn20F56g,6l4pUGY1MwGrDjeSxGJb4g,5,"my brother was rushed to the emergency due to a ruptured aneurysm. a first, the ambulance dropped him off at alvarado hospital and they  assessed my brothers condition. they learned he was loosing a lot of blood internally, and therefore, they requested to transfer him to scripps mercy, since they have one of the biggest blood banks in the county. my brother to this day is still confined at the same hospital and his first two weeks since he was transferred to scripps mercy at hillcrest has been a tough reide for him and our family. during my brother's hospitalization at this hospital (scripps mercy), we had experience very poor patient care from the day he was admitted. we can't get any information from sicu regarding hi condition. we have been passed around to different icu nurses rather than the designated nurse for my brother to obtain info on is condition, specifically how his surgery went. currently, my brother is still in the icu and the attending surgeon and doctors haven't had a chance to notify us, as a courtesy to us, to let us know any specifics regarding my brothers condition and how his surgery went. i've contacted the hospital and most of the nurses from sicu have been impolite, rude and most of all sarcastic. no family has to endure this type of treatment, especially during covid since not any family member is allowed to visit your family member that has been hospitalized regardless of what they're in for. i have to request for a zoom call so our worried mother could see her son at the hospital since we all are not allowed to see him due to covid. regardless of any policies any institutions have to adhere to, they have to talked about or find ways for us top see our love ones. you see this on tv every day where our love ones are left alone in their rooms in a state of loneliness. but on a different note, i'm also writting this review to recognize nicole s. and with the rest of the er team at alvarado hospital, as a caring rn, who contacted me, checking on my brother regarding his well being. we felt her sincerity and utmost patient care considering that my brother is no longer in their care. if given the choice, our family would have had a better patient care experience with alvarado hospital than scripps mercy. i also want to recognize cathy gomez , patient relations coordinator who had been very helpful to us and always willing to assist when needed. to the whole alvarado hospital team.... you guys rock!!! god bless you all and thank you very much for your 'beyond the call of duty' patient care. your employer should recognize your excellence!!!",Jact D.,2020-06-15,https://www.yelp.com/biz/alvarado-hospital-medical-center-san-diego-7?adjust_creative=upenn&hrid=6l4pUGY1MwGrDjeSxGJb4g&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Alvarado Hospital Medical Center,False,168,2.5,2020-06-21T06:37:22,16192873270.0,http://www.alvaradohospital.com,https://www.yelp.com/biz/alvarado-hospital-medical-center-san-diego-7?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,6655 Alvarado Rd,San Diego,CA,US,92120.0,,,Hospitals,,,,,
1256144,_hmAkjAdwLMMoEYFV6xQmQ,h0G7UIAC33sf8PDubhMWzg,1,"never coming back here again!!!!! never!!!! 
went in with acute severe abdominal pain, unable to stomach anything at all. could it have been a heart attack because the pain radiated to neck, shoulders, and arms? after blood work up and a ct scan, their only findings were low potassium (3.0) and inflammation in the stomach. they administered a gi cocktail to try to numb the pain. it was not at all effective. they didn't seem to care my potassium was low. they didn't seem to care i was quite uncomfortable and in a lot of pain. they didn't seem to care i have been unable to keep anything down for the past couple days...day 3, and i'm still unable to eat or drink anything at all. they discharged me home at 2 am in continued severe pain. told to follow up with gi for an endoscopy. the severe pain continues today. and terrifying i don't know the cause of this pain, i can't stomach anything. i'm still heavily nauseated. will my potassium drop further? the er doctor spent a total of a few seconds with me only talking from the hallway. the doctors only questions (not pertaining to the reason why i visited) were ""do you have short of breath? do you have a cough? what hurts? okay, i'll order a cat scan."" he then left to never be seen again. he did not do any assessment or show he cared at all. i was just another body occupying space in his er and my presence irritated him. my daughter called and asked to speak to him, and was told he was in the room talking to me and he would call her back. well, she called me immediately after to try to catch him in my room so she can talk to him and i explained to her i haven't been seen yet. don't lie to patients family members when they call to get information. covid pandemic policies make it hard not to be with loved ones and these lies aré unnecessary!!! this was a waste of a visit!! i feel uncared for and i'm back to square one. nick, the nurse, told me to go home and take ibuprofen or tylenol. not good advice nick when i'm unable to stomach anything at all. ibuprofen should be taken with food. if i didn't know any better,  i would've taken ibuprofen and i'm sure created an ulcer and even more pain on top of what i have!!!! i will never visit this place again!!! i have many options, your facility will never be one of those options!!!!

update- contacted my gi doctor and was told they are only doing virtual visits. if it's a real medical emergency, go to the er. back to square 1!!! you see how the system fails you!?! really disheartening. not sure what to do next.",May Z.,2020-06-12,https://www.yelp.com/biz/silver-cross-hospital-new-lenox?adjust_creative=upenn&hrid=h0G7UIAC33sf8PDubhMWzg&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Silver Cross Hospital,False,117,2.5,2020-06-12T08:33:44,18153001100.0,http://www.silvercross.org/find-a-physician,https://www.yelp.com/biz/silver-cross-hospital-new-lenox?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,1900 Silver Cross Blvd,New Lenox,IL,US,60451.0,,,Hospitals,Rehabilitation Center,,,,
1596457,LWzULZ9ZZSqOZlrCpCW3FQ,JtxUU8U_KGqD64u9JKxXmg,1,"i've had aud (alcohol use disorder) for about 40 years. i've tried everything: hypnosis, acupuncture, years on antabuse, 6 months and then 7 years sober in aa in 2000s. each relapse turned into a several weeks long binge, forcing me to seek help again. finally, in 2014 i discovered sinclair method (https://www.the-sinclair-method.com/), which turned out to be a lifesaver. my drinking quickly went down to safe limits and i started to have alcohol free days several times a week. for 5.5 years i was a social drinker, a ""normie"" in aa speak - until covid struck. 

i live alone, the lockdown made me seriously depressed. all my routines and nearly all social contacts were broken and it felt like a solitary confinement. at some point in april, i stopped taking my medication as prescribed by the sinclair method. from there, my drinking quickly escalated and turned into a heavy 6 weeks binge. by may 13 i had to go to er and then to a 10 days detox in holister; spent the first night in icu nearly having a heart attack. after i got back home on sunday may 24, i wanted to make sure that sinclaire is still working (i still had some meds left from my last refill); i had 3 drinks on the first day, then it went 1, 1, 0, 1, 0 - amazing, considering my condition before the detox. 

in the meantime, my gf discovered the intensive outpatient program (iop) at good sam behavioral. i was surprised to learn that dr cecil a. bradley, who prescribed me naltrexone all these years, is the medical director of this program. the program seemed very useful since a) it is in person, no zoom, b) i got a double diagnosis and could address my underlying emotional issues and c) i could get an extended medical leave, since i was not feeling up to getting back to work immediately. on thursday, may 28 i was there and talked to marcella (admissions) dr khan (sp? md), nurse diane and some other people. i was very open about what i've been doing before, what brought me there and about my intentions (go back on sinclaire, since it works great and aa stopped working for me at some point). everybody seemed to be open-minded, accepting and approving of my course of treatment. some even wrote down the name of my method and said they were curious and want to learn more about it.

thursday and friday sessions were pretty nice, with meditation, some cbt and open discussions on topics suggested by patients themselves. and then, on friday noon dr bradley showed up, took me to his office and told me that their program is based on full abstinence and if i keep up the  controlled drinking, i have to leave. he said there are alternatives to aa and suggested some other program - he just could remember it's name. he is in his 80s and seems to forget things. i promised to think about it over the weekend and tell him about my decision on monday. after all, at this point i could easily refrain from drinking for the duration of the program.

however, on monday my case manager handed me a recovery plan with mandatory conditions: attend at least 3 meetings a week, find a sponsor and report progress at each morning session. i told her i don't do aa, and i was told to go talk to dr bradley, and again he gave me a dilemma: full abstinence and meetings or leave the program. ""there is this other program - can't remember it's name... rational recovery?"" ""- smart recovery?"" ""- yes, this must be it"". ""- i researched it, and it has about the same success rate as aa - which is in single digits - whereas sinclair method has success rate near 80%"". ""- i don't care. this program requires full abstinence and meetings"". so i informed him that i'm quitting and went home.

there are several things that really upset and anger me. 
1) why did dr bradley prescribe my medicine all these years and even wrote me another 3 refills on that monday if he disapproves on sinclair method so much? 
2) how does a doctor refer a patient to some program the name of which he can't even remember? does he know anything about it? or he just doesn't care?
3) why did they admit me at all, knowing full well my intentions, knowing dr bradley's views and giving me false hopes? 
4) what kind of doctors put a patient into completely unscientific, faith-based programs with abysmal success rate and force him to abandon something that is proven to work for 80% and this patient in particular?

so i googled dr bradley and discovered that the medical board of california twice has suspended his license, once in 1990 and second time in 2007 (5 years probation). he also was known to be sending referrals to and working at a couple of shady rehabs ran by an uncertified drug addict.

makes you wonder, how does a doctor like cecil bradley ends up a medical director at well-respected hospital like good sam? i would not recommend going to good sam in- or outpatient behavioral programs until they replace him. the rest of staff seems to be ok, but there is nothing they could do to help me under current leadership.",Sergey Z.,2020-06-02,https://www.yelp.com/biz/good-samaritan-hospital-mission-oaks-campus-los-gatos-2?adjust_creative=upenn&hrid=JtxUU8U_KGqD64u9JKxXmg&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Good Samaritan Hospital - Mission Oaks Campus,False,29,3.0,2020-06-02T11:13:09,14085592011.0,http://www.goodsamsanjose.com,https://www.yelp.com/biz/good-samaritan-hospital-mission-oaks-campus-los-gatos-2?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,15891 Los Gatos-Almaden Rd,Los Gatos,CA,US,95032.0,,,Hospitals,,,,,
2724528,Xlq5p3QsroF4p2t928Hzeg,VSe8ej7yE9f-pYkji8HK7w,5,"this review is specifically for the echn birthing center at manchester hospital. i had my son in december and still think about what amazing care i received throughout my two day stay at the hospital. my heart goes out to all of the incredible nurses and hospital staff as they work bravely and tirelessly during this horrifying coronavirus pandemic. the nurses were so incredibly supportive, helpful and caring as my husband and i navigated the first few days of parenthood and all the accompanying challenges. 

a few things to note:
-the hospital/echn has excellent prenatal and postpartum programming, from their pregnancy/infant care class and prenatal fitness to their new mothers' group that meets weekly (currently virtually on zoom!). they've also got a remarkable doula program (shannon made a huge difference in my birth experience, she's amazing). 
-delivery & recovery are in the same room which i found to be a total asset. plus, the room is huge with plenty of room for nurses, bags, partners, visitors, etc without feeling cramped. 

i live in the hartford area but my midwife practice only delivers at manchester hospital, which is how i ended up here. it really made all the difference in having such a supportive experience.",Emily C.,2020-04-01,https://www.yelp.com/biz/manchester-memorial-hospital-manchester?adjust_creative=upenn&hrid=VSe8ej7yE9f-pYkji8HK7w&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,True,Manchester Memorial Hospital,False,25,2.0,2020-04-01T14:45:29,18606461222.0,http://www.echn.org/location/manchester-memorial-hospital,https://www.yelp.com/biz/manchester-memorial-hospital-manchester?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,71 Haynes Street,Manchester,CT,US,6040.0,,,Hospitals,,,,,
2848333,s4jD-qvyt_vH0IY-ZsBbig,H0PT3s-QCSEVy54ckdeWtA,1,"i agree with both reviews of janny k and tina k. i am giving one star for there were times, not many, that i could speak into my father's ear over the phone- briefly. my father passed away due to their negligence!! families need to be with their loved one's during recovering; 1 for advocacy and the other for support and love!! my father, prior to being transferred here from icu, was alert and fully cognizant.  he just needed long term recovery for he still required a ventilator and had a trach and g-tube. please keep in mind that this occurred during the covid-19 epidemic, therefore, visitation was not allowed. this was very difficult for us and the only updates that we could get were via telephone. as far as zoom/face time, the client advocate informed me that unfortunately we could only see my father 2x per week via zoom for only 10 to 15min. there was not enough man power to see your loved one daily.  this was not so pleasing to our ear but 2x was better then none. i unfortunately never got to see my father for our face time appointment; he passed away prior to the first scheduled zoom meeting. 
the first morning and afternoon of admittance, everything seemed normal as far as updates. however, the first alarming news was when i spoke to the case manager who stated that my father was not responding. my father was responding and following commands/nodding yes or no to questions prior to the transfer.  also, the case manager stated that he had an occupational therapy evaluation and that he was not following simple commands. this was also alarming, for prior to that day he was receiving physical therapy at icu and following commands. the day shift nurse that day did me the favor of placing me in my father's ear via telephone so that he can hear my voice. however, the night shift nurse stated that they were too busy. this particular nurse mentioned that he had 9 patients during his shift; 9 patients? how can one nurse be in charge of 9 patients? are patients being constantly moved and cleaned?  every time i would call to speak to someone, it seemed as though they were overwhelm or too busy. we received contradicting information as well. the following day, i inquired about the medication/antibiotics that my father was receiving and the day shift nurse stated that he was not receiving any- what? he had pneumonia- why was he not receiving the antibiotics that were administered to him? she stated that my father's white blood counts were okay and he was fighting a fever therefore he did not have an infection- what?? if your body has a fever, your body is fighting an infection! she informed me that my father was only being administered tylenol for the fever. i called the house supervisor immediately and asked to speak to the doctor in charge. the house supervisor seemed overwhelmed as well when i spoke to her. she indicated that if she had time, she would do her best to call the doctor and inform him. i never spoke with the doctor. i called the number that they provided and never heard from him. i called the night shift nurse that day and he stated that he was receiving antibiotics. i asked, "" which one is it- either he is receiving or not""? what was there plan of care for my father?  the following day my father passed away. we live about 86 miles away from baldwin park, therefore when we arrived, my father was already deceased. the doctor was not present when we arrived and we demanded for him to come back and speak to us as to what occurred. the doctor did finally return and sat with my family and i, alongside with the head nurse and house supervisor. the  doctor used the term ""supposedly"" my father threw up and they stopped administering food to him. "" supposedly""- what really occurred? the doctor looked at the staff nurse and supervisor when informing us of the incident-as though trying to make sure that they were on the same page. 
conclusion- my father did not receive the proper care that he needed here. he needed constant care for his vent settings as well as for his trach and g-tube. when we walked in to see my father's body, the staff kept to themselves as though scared to speak to us. as we walked the hallways, many of the patients looked as though they were already near death. i deeply regret sending my father here. the room in which my father was in, was not what we expected. there was no chart on the walls explaining who was the nurse, etc. the family pictures, that we asked the nurses to place on his wall, were not displayed. they were tucked away/shoved away in the closet. the room, although shared with two other patients, felt lonely. my brother mentioned as he was mourning my father's dead body that day( they only allowed two family members at a time), that a staff member walked in to ask,"" where are they taking his body."" seriously- we just received the news that my father passed and you see us mourning his body- no empathy here ! please do not send your loved one here!",Monica F.,2020-06-09,https://www.yelp.com/biz/kindred-hospital-baldwin-park-baldwin-park-3?adjust_creative=upenn&hrid=H0PT3s-QCSEVy54ckdeWtA&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Kindred Hospital Baldwin Park,False,46,2.5,2020-06-09T14:32:47,16263882700.0,http://www.khbaldwinpark.com,https://www.yelp.com/biz/kindred-hospital-baldwin-park-baldwin-park-3?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,14148 Francisquito Ave,Baldwin Park,CA,US,91706.0,,,Hospitals,Occupational Therapy,Physical Therapy,,,
3016302,R5hlviLotv1qxiEkQUPlTA,tPrgVPnHZ5Ge77v8xFdAWQ,1,"during covid-19, right after the travel ban, i was on quarantine for 14 days since i arrived from europe on vacation.  during that time, i fell ill and after a few days under virtual care, my doctor advised me to go to the er.  i chose memorial hermann sugar land thinking i would get good care.  i was totally wrong.

once in the er, which was set up efficiently because of the virus, the er doctor immediately explained to me that they will not send my covid-19 test off to be tested unless i was admitted to the hospital.  his main concern was not diagnosing my problem but explaining that i would have to go somewhere else to get tested for covid-19.

i was advised to go the the er by my doctor because i was coughing excessively, barely able to breath, experiencing pain in my back when breathing and coughing, wheezing and extreme shortness of breath even with using an inhaler.  my temp stayed below 100.4 so it wasn't considered a fever.

the er began to run tests:  chest x-rays, ct scan, urine-analysis, blood-work, i.v., etc.

i waited about 45 minutes for all the test results to return and during that time, i suffered and tried to breath over and over in spite of the difficulties i was experiencing.  finally, the er doctor returned (dr. b. parker) and said that my lungs were clear and that the covid-19 swab would not be sent to the lab because i'm not being admitted to the hospital.  i stated that i understood about the swab but i didn't understand what was going on with my breathing so i asked him again about my lungs.  dr. parker repeated that my lungs were ""all clear"" and that there was no sign of the virus in my lungs. 

i asked the doctor what was he diagnosing me as having. since we know there's no sign of covid-19 in my lungs, what is it then and what was he going to give me to help me breath.   dr. parker turned the paper around and it read, ""cough - adult"".  i asked, ""so you're diagnosing me as having a cough?""  he replied yes.  i was dumbfounded.  i came to the er with a cough and shortness of breath and now the dr. was telling me that i had a cough.  wow!  

i asked him what was he going to do about helping me?  he stated that he was calling in prescriptions to my pharmacy to take but to act like i had covid-10 and still isolate.  he stated that he believed it was just an allergy infection and that these meds would clear it up.  i informed him that i don't typically suffer with allergies and that i had been taking zyrtec because the virtual doctor i spoke to recommended it but i wasn't getting any better.  he reemphasized again that the test would not be sent and that if i wanted a covid-19 test, i needed to go to another site.  i asked about an antibiotic to clear up the infection and he said the meds he prescribed would clear up the infection.  i later learned that the meds were regular over-the-counter stuff that i had already been using that wasn't effective:  tylenol, mucinex and claritin-d.

i believe dr. parker's only concern was covid-19 and not finding the real source of my problems.  i asked my discharge nurse again about my lungs being ""all clear"" and she said well they are not all clear and that they had a haze over them.  i asked what does a haze mean.  she informed me that the doctor believes the haze is possibly from a bacteria infection from allergies so he's prescribed some meds to help.  i again said i don't suffer with allergies but ok the pollen is high so i guess.  

i was discharged and walked to my car still struggling to breath just the same way as i walked into the hospital.   

that was saturday, march 21st. fast forward to wednesday, march 25th and i was not feeling any better, in fact, i felt worse. i called my doctor both the 25th and 26th and left messages. her nurse called my back on the 27th and informed me to stop taking all allergy meds immediately and that she had reviewed the labs and x-rays and they believe that haze over my right lung is pneumonia.

pneumonia?!!  so i had pneumonia in the right lung for an additional 6 days without any treatment?!  why would dr. parker say i was ""all clear"" and ignore the haze?  i had to take additional time from work to heal whereas if dr. parker would have just taken the time to explore my results for something more than covid-19, he could have treated me correctly and i could have returned back to work without taking additional time.  

lastly, once i got the bill, i saw that i was billed $273.50 for a pregnancy test!!!  the admitting nurse asked if there was anyway i could be pregnant, i immediately answered no and explained why i couldn't be.  so why would you give me, a 49 yr old woman with a valid reason a pregnancy test?  especially for $273.50.  over billing???   yes!

i will never go back to memorial hermann sugar land emergency room.  the care of the treating physician was below sub-par and i could have saved way more time and money going to another facility.",Rhonda T.,2020-04-19,https://www.yelp.com/biz/memorial-hermann-sugar-land-hospital-sugar-land?adjust_creative=upenn&hrid=tPrgVPnHZ5Ge77v8xFdAWQ&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Memorial Hermann Sugar Land Hospital,False,35,3.0,2020-04-19T08:46:47,12817255000.0,http://www.memorialhermann.org,https://www.yelp.com/biz/memorial-hermann-sugar-land-hospital-sugar-land?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,17500 West Grand Pkwy South,Sugar Land,TX,US,77479.0,29.564696253826998,-95.69023792206998,Hospitals,,,,,
3461590,lX4oRhL0pHw32qJC7NuXbQ,FoSvqmDUx81kdlrZwOu2oA,1,"i do not recommend honorhealth to anybody. please read my full review as this is serious stuff. first and foremost, they did not take me seriously. i have been having health issues for months but was told it was ""just anxiety"" despite bloodwork, reoccurring infections, physical symptoms like swelling in my abdomen and lymph nodes & more proving it is not anxiety, besides the only anxiety i currently have is over my health because i have no clue what is wrong with me and haven't for months (not the other way around). was told i needed to get on cymbalta - by my nurse practitioner, who met me about 4 times in my life, didn't ask me about my history at all, and as a note my previous therapist said i did not need medication - instead of doing further medical testing. (then continues to treat me like i'm just overly anxious while i am anxious about my health since i have had 4 months of hell and no answers!)

then at the honorhealth virginia g piper cancer care center, where i went for hematology after the hospital found i had low iron, they scheduled me for an iron iv just a week after i started iron supplements for anemia, telling me my iron supplements ""weren't working"" without re-testing my blood levels. well, thank god i ended up going to the hospital for dizziness and chest pain, and they tested my iron levels and found out my iron pills were indeed working, my hemoglobin was at a normal level again and that iron iv could have given me iron poisoning which can be deadly! i hate to sound dramatic but honestly why wouldn't they test instead of just assuming?! besides it was a $4,000 procedure i was going to pay up front for, makes me wonder what their intentions actually were.

then there was the time i made an appointment for my husband to see a doctor at honorhealth for bloodwork he needed after his emergency surgery, his appointment was at 11:30am, we arrived at 11:20 and the woman at the reception desk (downstairs in suite 100, i want that clear as the ladies upstairs are very sweet) were extremely rude to him, saying his appointment was at 11:15 even though i had mychart pulled up that clearly said 11:30 as did the text and email confirmations for the appointment. she said because we didn't get there 15 mins early he didn't get to see the doctor. i have never had that experience and all of his paperwork was filled out already so what the hell was the point of that? she just took the most rude and inconsiderate attitude with him and was looking at him and talking to him like he was beneath her. i did not appreciate that at all and we walked out and i found him a new doctor. i should never have gone back after that but i did and i regret it. 

it's almost impossible to get through to the office to speak with your doctor about test results etc. i had an telemedicine appointment 2 weeks ago to ask for a referral as i had been to the honorhealth urgent care for swelling and pain in my lower abdomen/pelvis and they said i needed a ct scan. they called me the morning before my appointment and said it was canceled because they were only doing telemedicine. it was a telemedicine appointment. i couldn't get through. i ended up reaching out to the head manager who was very sweet and put me through the to someone who transferred me over to alexis, my doctor's assistant, who was extremely rude to me and was actually trying to argue with me over why i went to urgent care, saying i didn't go for swelling. like are you serious?! the doctor felt where i was swollen and said i needed a ct scan asap. not to mention all of the issues with scheduling with radiology we ran into because she gave me false information. 

i ended up getting a new doctor, but was going to go for my ultrasound anyway, but thankfully i looked at honorhealth's website before i went and found out they do coronavirus testing at thur facilities! that is great but no one informed me of that. i don't know where they do it and the urgent care and radiology at del lago share a waiting room so i just didn't go to my appointment. 

i will never come back here and i don't recommend it to anyone.",Annalise B.,2020-04-04,https://www.yelp.com/biz/honorhealth-medical-group-del-lago-primary-care-peoria?adjust_creative=upenn&hrid=FoSvqmDUx81kdlrZwOu2oA&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,HonorHealth Medical Group - Del Lago - Primary Care,False,30,3.0,2020-05-18T12:08:14,16235613030.0,http://www.honorhealth.com,https://www.yelp.com/biz/honorhealth-medical-group-del-lago-primary-care-peoria?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,10230 W Happy Valley Pkwy Ste 100 & Ste 200,Peoria,AZ,US,85383.0,,,Doctors,Hospitals,,,,
4124737,ZhzQjsO42sVLRt9T27zDGw,fOFhj8dZaxVlPykZGsxjgA,2,"will not be going back. during covid i had a land line phone conversation with a dermatologist in wake forest and my insurance company was billed 119 i was billed 29.82 which is more than the 20 per cent copay 

very pricey phone conversation. i called billing and had to make it short because i was afraid they will charge me another 119  the doctor has nothing to do i was told that it is duke hospital that does the billing. will pay it because i understand they have a phone bill to pay but just want to express disappointment with the principle not so much the amount because that is what typically one pays for lunch

not a fan of telemedicine, i think is just another easy way to squeeze a dime or two out of patients by duke the giant on their quest for a money making alternative",Victor M.,2020-06-16,https://www.yelp.com/biz/duke-university-hospital-durham?adjust_creative=upenn&hrid=fOFhj8dZaxVlPykZGsxjgA&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Duke University Hospital,False,57,3.0,2020-06-16T06:18:18,19196848111.0,https://www.dukehealth.org,https://www.yelp.com/biz/duke-university-hospital-durham?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,2301 Erwin Rd,Durham,NC,US,27710.0,,,Hospitals,,,,,
