,name_t1,count_t1,name_t2,count_t2,name_covid_t1,count_covid_t1,name_covid_t2,count_covid_t2,name_tele_t1,count_tele_t1,name_tele_t2,count_tele_t2,name_merge_t2,count_merge_t2
0,Hospitals,5982,Emergency Rooms,607.0,Hospitals,163.0,Emergency Rooms,181.0,Hospitals,3.0,Hospitals,12.0,Hospitals,4.0
1,Emergency Rooms,727,Hospitals,556.0,Emergency Rooms,17.0,Medical Centers,130.0,Medical Centers,1.0,Occupational Therapy,4.0,Occupational Therapy,4.0
2,Medical Centers,589,Medical Centers,536.0,Medical Centers,14.0,Hospitals,127.0,,,Rehabilitation Center,2.0,Rehabilitation Center,2.0
3,Doctors,329,Doctors,243.0,Doctors,7.0,Doctors,72.0,,,Doctors,2.0,Physical Therapy,2.0
4,Diagnostic Imaging,102,Occupational Therapy,87.0,Urgent Care,3.0,Occupational Therapy,41.0,,,Physical Therapy,2.0,,
5,Urgent Care,96,Diagnostic Imaging,82.0,Diagnostic Imaging,3.0,Physical Therapy,26.0,,,,,,
6,Pediatricians,88,Pediatricians,79.0,Occupational Therapy,2.0,Rehabilitation Center,19.0,,,,,,
7,Physical Therapy,78,Physical Therapy,71.0,Pediatricians,2.0,Pediatricians,18.0,,,,,,
8,Cardiologists,62,Surgeons,48.0,Physical Therapy,2.0,Diagnostic Imaging,16.0,,,,,,
9,Obstetricians & Gynecologists,59,Urgent Care,47.0,Internal Medicine,2.0,Surgeons,14.0,,,,,,
10,Rehabilitation Center,56,Rehabilitation Center,46.0,Laboratory Testing,1.0,Obstetricians & Gynecologists,12.0,,,,,,
11,Occupational Therapy,52,Obstetricians & Gynecologists,46.0,Rehabilitation Center,1.0,Cardiologists,11.0,,,,,,
12,Orthopedists,51,Counseling & Mental Health,41.0,Weight Loss Centers,1.0,Urgent Care,11.0,,,,,,
13,Surgeons,40,Orthopedists,33.0,Obstetricians & Gynecologists,1.0,Orthopedists,8.0,,,,,,
14,Community Service/Non-Profit,38,Cardiologists,33.0,Emergency Medicine,1.0,Community Service/Non-Profit,5.0,,,,,,
15,Counseling & Mental Health,35,Community Service/Non-Profit,27.0,Surgeons,1.0,Counseling & Mental Health,4.0,,,,,,
16,Family Practice,33,Midwives,20.0,Family Practice,1.0,Walk-in Clinics,4.0,,,,,,
17,Psychiatrists,21,Family Practice,18.0,,,Family Practice,4.0,,,,,,
18,Oncologist,19,Psychiatrists,16.0,,,Emergency Pet Hospital,3.0,,,,,,
19,Emergency Medicine,16,Emergency Pet Hospital,10.0,,,Hospice,2.0,,,,,,
20,Internal Medicine,15,Hospice,8.0,,,Urologists,2.0,,,,,,
21,Veterinarians,11,Radiologists,7.0,,,Oncologist,2.0,,,,,,
22,Midwives,11,Oncologist,5.0,,,Midwives,2.0,,,,,,
23,Hospice,9,Walk-in Clinics,5.0,,,Pharmacy,2.0,,,,,,
24,Weight Loss Centers,9,Internal Medicine,4.0,,,CPR Classes,2.0,,,,,,
25,Diagnostic Services,8,Laboratory Testing,4.0,,,Gastroenterologist,2.0,,,,,,
26,Laboratory Testing,8,Pharmacy,4.0,,,Educational Services,1.0,,,,,,
27,Sports Medicine,7,Weight Loss Centers,4.0,,,Speech Therapists,1.0,,,,,,
28,Skilled Nursing,7,Home Health Care,4.0,,,Trainers,1.0,,,,,,
29,Walk-in Clinics,7,Neurologist,4.0,,,Radiologists,1.0,,,,,,
30,Addiction Medicine,7,Pet Groomers,4.0,,,Emergency Medicine,1.0,,,,,,
31,CPR Classes,7,Dermatologists,3.0,,,Psychiatrists,1.0,,,,,,
32,Emergency Pet Hospital,6,Ear Nose & Throat,3.0,,,,,,,,,,
33,Ophthalmologists,5,Emergency Medicine,3.0,,,,,,,,,,
34,Optometrists,5,Retirement Homes,3.0,,,,,,,,,,
35,Gastroenterologist,5,Speech Therapists,3.0,,,,,,,,,,
36,Speech Therapists,5,Lawyers,2.0,,,,,,,,,,
37,Colleges & Universities,4,Podiatrists,2.0,,,,,,,,,,
38,First Aid Classes,4,Urologists,2.0,,,,,,,,,,
39,Nutritionists,4,Childbirth Education,2.0,,,,,,,,,,
40,Radiologists,4,CPR Classes,2.0,,,,,,,,,,
41,Sleep Specialists,3,Diagnostic Services,2.0,,,,,,,,,,
42,Dermatologists,3,Blood & Plasma Donation Centers,2.0,,,,,,,,,,
43,Psychologists,3,Ophthalmologists,2.0,,,,,,,,,,
44,Educational Services,3,Gastroenterologist,2.0,,,,,,,,,,
45,Laser Eye Surgery/Lasik,3,Plastic Surgeons,2.0,,,,,,,,,,
46,Retirement Homes,3,Lactation Services,2.0,,,,,,,,,,
47,Pet Groomers,3,Optometrists,2.0,,,,,,,,,,
48,Pharmacy,2,First Aid Classes,2.0,,,,,,,,,,
49,Behavior Analysts,2,Trainers,2.0,,,,,,,,,,
50,Home Health Care,2,Psychologists,1.0,,,,,,,,,,
51,General Dentistry,2,Addiction Medicine,1.0,,,,,,,,,,
52,Prenatal/Perinatal Care,1,Educational Services,1.0,,,,,,,,,,
53,Drugstores,1,Sports Medicine,1.0,,,,,,,,,,
54,Pediatric Dentists,1,Cosmetic Surgeons,1.0,,,,,,,,,,
55,Neurologist,1,,,,,,,,,,,,
56,Blood & Plasma Donation Centers,1,,,,,,,,,,,,
57,Ear Nose & Throat,1,,,,,,,,,,,,
58,Lactation Services,1,,,,,,,,,,,,
59,Education,1,,,,,,,,,,,,
60,Hotels,1,,,,,,,,,,,,
61,Spine Surgeons,1,,,,,,,,,,,,
62,Pain Management,1,,,,,,,,,,,,
63,Fertility,1,,,,,,,,,,,,
64,Eyewear & Opticians,1,,,,,,,,,,,,
65,Child Care & Day Care,1,,,,,,,,,,,,
