,Topic_0,Topic_0,Topic_1,Topic_1,Topic_2,Topic_2,Topic_3,Topic_3,Topic_4,Topic_4,Topic_5,Topic_5,Topic_6,Topic_6,Topic_7,Topic_7,Topic_8,Topic_8,Topic_9,Topic_9
,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value
Word_1,wait,0.0878817824558178,patient,0.052811901273526425,make,0.06883760242293335,nurse,0.10550031075201989,doctor,0.0590924755887421,patient,0.05117028763422552,hospital,0.19721676984246816,staff,0.08248101384872211,call,0.04492205516096301,doctor,0.06957385223215229
Word_2,hour,0.08209040976259968,care,0.028874112476050942,feel,0.05193341628906158,day,0.06337121548432922,care,0.04925904652498564,people,0.03813934482054076,bad,0.056746690824903114,surgery,0.047847452446450826,pay,0.02741905728253851,pain,0.061017092391878476
Word_3,room,0.08156183209615517,mom,0.025357827115969796,nurse,0.05183950414387341,test,0.028855544703897718,medical,0.02865020103388857,walk,0.02756021703103362,place,0.04262922140017112,good,0.04551973854365051,insurance,0.026611936168250163,give,0.026452008197587206
Word_4,time,0.050812400891687544,family,0.02229234757128367,time,0.029535369661681497,night,0.026125366243452013,year,0.023641585295807007,talk,0.023768984539944152,work,0.036111530524938346,care,0.04507300557240601,bill,0.025735633244165668,back,0.021508102512095666
Word_5,call,0.04495208328545492,mother,0.021435816522033135,experience,0.028337989810532246,stay,0.022218769422001242,appointment,0.023136128661688685,rude,0.022452269063996912,give,0.031783179827872564,great,0.043568220827161365,receive,0.024236694031915876,home,0.018655849232004394
Word_6,emergency,0.03808057362167628,life,0.01864082046658402,baby,0.026107576362313055,room,0.020731599041108054,procedure,0.01893164847788627,place,0.021771209335058685,treat,0.030147465901655845,nice,0.02165479297453622,visit,0.024098330412323586,medication,0.013669687942363356
Word_7,check,0.03277181531955967,staff,0.014876591908035613,care,0.02270326109924166,blood,0.01995471899138773,work,0.017553130384836302,horrible,0.016141115575836,people,0.02584428003422417,clean,0.01953868942653594,month,0.02220736094456231,med,0.013247131900868353
Word_8,minute,0.03189851308804265,medical,0.01160824974642173,child,0.019838940671002277,husband,0.01986593269999112,health,0.017507179781734637,hear,0.014529274217348861,experience,0.025743620715687754,professional,0.018033904681291294,send,0.021123512591089383,symptom,0.010563901037375083
Word_9,back,0.030220853538023118,die,0.010706638115631691,son,0.019439814053952526,bed,0.019066856077421646,treatment,0.015462377943710512,leave,0.01446116824445504,star,0.021490764507524285,friendly,0.01669370576755778,service,0.01884051286781662,send,0.010563901037375083
Word_10,long,0.021740629237239444,facility,0.01066155753409219,give,0.01859460474725894,discharge,0.015515404421557312,week,0.015117748420448019,person,0.013462280642012305,wife,0.01796768835874981,food,0.0165056076744022,charge,0.018725209851489715,put,0.009549766537787075
Word_11,leave,0.018936869441316388,live,0.01043615462639468,daughter,0.018524170638367806,admit,0.015027079818875966,issue,0.01481906950028719,question,0.013144452768507798,review,0.014973073632291509,helpful,0.013754673062001834,money,0.011576422839221475,start,0.009422999725338574
Word_12,sit,0.01861512651391538,transfer,0.00994026822946016,thing,0.01180945225741319,give,0.014805114090384444,provide,0.014106835152211374,woman,0.011101273581693114,time,0.013589008002415824,kind,0.013543062707201806,information,0.011438059219629185,show,0.008746910058946568
Word_13,finally,0.014915082848803806,condition,0.009421841541755889,stay,0.011668584039630924,put,0.01411702033206073,find,0.01295807007466973,job,0.0110558695997639,terrible,0.013538678343147616,wonderful,0.01330794009075733,contact,0.010769301724933124,severe,0.00771164775728381
Word_14,answer,0.013536184588513777,state,0.009173898343288628,amazing,0.010987720987016647,time,0.01305158483530143,follow,0.012268811028144744,employee,0.010511021816613317,staff,0.0111731843575419,excellent,0.01213232700853495,phone,0.010400332072687021,wrong,0.007606008746910059
Word_15,arrive,0.01066347987957622,speak,0.008790713400202863,birth,0.010072077571431925,floor,0.013029388262452278,make,0.012062033314187249,door,0.010329405888896456,run,0.010795711913030349,team,0.010980226187957019,system,0.009547089751867908,stop,0.007563753142760559
Word_16,result,0.009399489807643692,lack,0.008587850783275104,hard,0.009743385063273307,home,0.012230311639882802,schedule,0.010614589316484778,front,0.009035392403913824,good,0.010393074638884696,visit,0.010251346076979145,office,0.008601605017987271,arm,0.007415858528237307
Word_17,drive,0.009353526532300692,change,0.008317367294038093,delivery,0.009320780409926514,leave,0.012185918494184498,center,0.008845491097070649,unprofessional,0.008604054575586278,guy,0.010242085661080074,service,0.010227833815334698,cost,0.008532423208191127,head,0.0073102195178635565
Word_18,urgent,0.009077746880242685,friend,0.0077989406063338216,labor,0.009156434155847205,thing,0.011320252153067567,physician,0.008225157955198162,face,0.00851324661172785,absolutely,0.008103075142181287,parking,0.01011027250711246,time,0.007563877871045107,problem,0.007162324903340306
Word_19,busy,0.00871004067749868,hospital,0.007596077989406064,check,0.00885121968398563,bring,0.010676551540442156,day,0.008156232050545664,stand,0.00851324661172785,negative,0.007952086164376667,amazing,0.008793585855023395,number,0.007379393044922055,bad,0.006908791278443303
Word_20,pm,0.008342334474754671,concern,0.007460836244787558,deliver,0.008358180921747706,morning,0.010321406374855723,facility,0.008087306145893165,attitude,0.00812731276532952,understand,0.00775076752730384,facility,0.008605487761867814,cover,0.007125726409002859,feel,0.0068031522680695525
