,doc_num,dominant_topic,topic_contribution,topic_keywords,doc_text
0,0,4.0,0.1138,"nice, time, visit, lot, good, question, check, helpful, parking, friendly",urgent care wait is always very short staff are super helpful nice and friendly here got me an xray fast after hours once
1,1,18.0,0.0804,"wait, hour, room, emergency, minute, sit, time, check, long, back","waiting for urgent care suck!
i understand the waiting but not when other that come after get call-in first!"
2,2,18.0,0.079,"wait, hour, room, emergency, minute, sit, time, check, long, back",this place it's horrible i arrived at 3:00 they said waiting time 1:00 hour by 5:30they had not call me i asked why they said it will one hour or more not sure when that was the answer of the nurse. i when to complain at the reception she did not care about my problem. i'm paying $420 at month to have this ripe of treatment
3,3,5.0,0.0854,"hospital, bad, experience, star, horrible, give, time, emergency, terrible, absolutely","i just moved to the area and have a new physician.  i saw him yesterday after having passed out in a store and getting an ambulance to st margaret's er. i was there 7 hours. they took an ekg and gave me one bag of fluids.  doc was shocked that they did not take at least a ct scan since i am post-stroke and this was my 3rd episode of syncope.  doc said avoid them if possible, but ok for imaging. he said he would never admit me there for anything overnight, especially surgery."
4,4,18.0,0.1921,"wait, hour, room, emergency, minute, sit, time, check, long, back","i was sent to the emergency room by my doctor. i had a very bad migraine and a blood pressure of 190/120. doc was concerned about a possible stroke and wanted my blood pressure to be brought down. i arrived at the emergency room at 1:30 pm. they immediately took my blood pressure which was 190/124. they immediately gave me an ekg, urine test, head ct scan and blood test. at 2:15, they then sent me back to the emergency room waiting area where i remained until 8 pm when i gave up and went to a real hospital. if i wanted to wait for freaking hours to see if i would have a stroke i would've done that at home in comfort where there's food. i was given no medication to bring the pressure down i was just told ""we're busy, the wait is longer than usual."" yeah, i believe the long wait is usual and so is their incompetence. if you are not good at the abcs of heathcare then you shouldn't be in operation. thank god for the university of chicago, a real hospital. fransiscan health hospital is a piece of shit."
5,5,11.0,0.1273,"call, appointment, phone, speak, time, day, information, answer, office, schedule","someone close to my heart was admitted here into the psychiatric ward. however, i would not recommend that your loved one ends up here. it is extremely hard to contact the patient as you are told incorrect phone hours and are given the run around. if you are lucky enough to reach them, they can't identify the patient you are looking for. in my opinion, that is horrible being that it is a ward and the nurses should be aware of who is on their unit. after repeating the patients name several times, the man who answered the phone, hung up on me. i kept calling, but did not have any success. this man kept hanging up on me. i was extremely frustrated with how i was being treated so i put in a call to the nurses station. a nurse picked up and was able to identify who my loved one was, but told me ""____ is sleeping"". this seems to be their go-to when they don't feel like getting the patient. 
secondly, according to the patient, the nurses assumed he left the building and ""couldn't"" find him, however he was in his bed the whole time. this seems extremely unprofessional to me. also, apparently the food is not great. this person described this facility as jail, granted it's not supposed to be an all-inclusive resort, but they should have their ish together. 

overall, our family is not impressed with this facility and would not recommend it to anyone!"
6,6,12.0,0.1132,"life, make, year, work, treatment, save, fact, die, part, real","felt like a sheep when i was here as a minor. you get zero one on one counseling. a lot of the support groups, other then like arts n crafts, were you just sitting there having to watch a movie abt mental health. i feel like thats lazy of the staff. many kids that go there might have adhd and other problems effecting their learning and if youre making them watch old mental health movies created before the 90s,, do you really think youre making them care? staff also picked favorites of the minors. its also unsanitary but i wont get into that"
7,7,4.0,0.1469,"nice, time, visit, lot, good, question, check, helpful, parking, friendly","i was at summit oaks on christmas eve morning. after reading these reviews i was extremely discouraged, but i was also desperate for immediate help with my 13 year old son. i decided to go there in person instead of letting these really bad reviews guide me. i wanted to see for myself what it was like. the location is very nice. every staff member was courteous, empathetic, supportive and professional. there are inspirational letters posted in the waiting area along with coffee and tea. we got a five hour evaluation and excellent direction on what to do immediately to help with my son's behavioral issues. he did not get admitted, but if they had admitted him i would not have been worried. i believe he would have been in good hands. we also were given free lunch and the food was fine. fresh turkey sandwich, graham crackers, an orange and an apple juice. if you are considering going here and you are local, i recommend you go talk to them. i am glad i did."
8,8,18.0,0.0995,"wait, hour, room, emergency, minute, sit, time, check, long, back","my grandson has not been feeling well for the past few days. we had brought him to the er late at night and was checked in quickly. the hospital was very clean. the staff was kind when checking in. he was then taken in to do his vitals shortly after and then to his room to wait to see the doctor on duty. we were then greeted by dr. richard tan who had listened to our concerns and went straight into running tests on him. dr. tan's assist, sgt calderon was very kind and very helpful while we were waiting for the tests to be complete and to wait for the results. dr. tan was very thorough in assisting my grandson. he had even stayed in contact with the pediatrician on call as well which had made us feel better with some of our concerns. once all of the concerns were met, dr. tan had informed us that my grandson's medicine would be available in the pharmacy at 1:20 a.m. when we had completed our visit. we were pleasantly surprised and happy that we were able to obtain his medication right away so that we could give it to him. overall, oir visit to this hospital was awesome! mahalo to everyone who assisted us with our visit."
9,9,11.0,0.1546,"call, appointment, phone, speak, time, day, information, answer, office, schedule","is this place even open?  no one answers the phone, fax number doesn't work.  left on hold by an answering machine for 20 minutes then hung up on. no answer, time after time.  if this is government healthcare we should all be terrified.  i was trying to forward medical records for one of their patients from another hospital. shocking disregard for patient care."
10,10,18.0,0.1551,"wait, hour, room, emergency, minute, sit, time, check, long, back","by far the worst experience ive ever had in an er room in all of long island ! came here for chest pains, and waited threee hours to be seen . once i was seen it took another 1.5 hours just to get my blood drawn . then another 1.5 hours for the results . all of this for the pa to come back and tell me all of the blood work came back great, but my ekg didn't look normal . why wait 6 hours later to tell me this , when the first thing the lady did at registration was take my ekg ... 

worst 6 hour experience ever."
11,11,5.0,0.147,"hospital, bad, experience, star, horrible, give, time, emergency, terrible, absolutely","after bringing my 87 year old mother to south nassau mount sinai, she was  was mistreated and misdiagnosed, . living in long beach, mount sinai was the closest hospital to long beach since long beach  hospital closed. mount sinai also ruined beth israel medical center when mount sinai took over beth israel medical center. all the good doctors left every hospital mount sinai took over. in long beach  we are only left with north shore lij on long island, columbia or nyu. if you have a serious health issue the joint commission should do a better job of inspecting hospitals and patient care. furthermore the people of the south shore deserve a better medical facility than mount sinai.
""mount sinai the best of the worst hospitals."""
12,12,15.0,0.0937,"pay, insurance, bill, charge, service, month, visit, receive, send, money","a quick review. i went to visit the emergency room on 11/20/19 for trouble breathing.  i went into triage where they attempted to take my blood pressure but the cuff blew off my arm after over-inflating, tearing the velcro and flying across the room( because she wasn't paying attention).  the ""other one"" meanwhile was taking my complaint down on a paper towel (because the computer was down). well, i did walk out of there.  i thought i'd be safer leaving and going elsewhere if my symptoms got worse.  best part... they billed my insurance $1,617.00 and me personally $827.00.  there you go. incompetence, insurance fraud, and thievery.  go to south nassau. they have it all!!"
13,13,4.0,0.1324,"nice, time, visit, lot, good, question, check, helpful, parking, friendly","went here to visit our friends who got a baby girl. campus is no doubt big enough with many departments and enough outside parking too. however not so clear indication about which way to go to visit any department. we had to ask multiple places to reach to the labor ward. atleast staff on the counters were welcoming and helpful on asking them questions.

also, our friends told that medical staff were just fine. they didn't had doctor available and with just 1 nurse my friend did delivery. i would say little bit of carelessness from staffs end."
14,14,19.0,0.2072,"nurse, baby, make, child, son, daughter, experience, feel, give, time","just delivered my baby on 1/18/20. although my delivery was unexpected and fast (checked into l&d at 8:26pm and had my baby at 8:57pm) the delivery team was quick to act and bring her into the world. poor doctor barely had time to get ready before he had to come catch baby. 

this was my second time delivering a baby at this hospital and i've never had anything negative to say about their maternity ward. everyone is always available if i needed anything and weren't pushy when it came to certain things (bottle/breast feeding, vaccines, etc) 

cary, the night nurse was such a sweetheart. she made sure she we were well taken care of before she left her shift. another nurse told me she even waited to go home so she could be the one to help us give our baby her first bath, and did this while off the clock. the whole team we encountered were just wonderful!

absolutely would recommend having your baby at this hospital!"
15,15,18.0,0.0873,"wait, hour, room, emergency, minute, sit, time, check, long, back","i had my endo surgery done here, they took really good care of me. the wait time was unnecessarily long, not sure why they make you arrive 2 hours before they'll even call you up. one of the nurses didn't know the medication she was giving and all the nurses had never heard of my form of birth control. i'm really glad my surgery was smooth, 30 minutes in-out, and i'm delighted they didn't kill me like all these horror stories you hear."
16,16,18.0,0.1384,"wait, hour, room, emergency, minute, sit, time, check, long, back","twice in the past 6 months i've had to use their emergency room for intestinal blockage pain that was 10/10. pain so bad i couldn't walk, keep my eyes open and was vomiting continuously. first time after two hours of waiting with no treatment my family had to take me elsewhere in hopes of care. the second time i arrived by ambulance and they left me in an er room for four hours without care, pain meds to alleviate the excruciating discomfort. i honestly thought each time i was dying and the doctors and nurses each time showed zero concern for my emergencies. 

please consider an alternative er room as i would hate to see anyone ever experience what i went through. they truly have no concern for your well being or pain. it's just another annoying day at the office for this team and er staff. 

it's very sad to see people who choose a career in caring for people when in pain and distress, completely disregard their medical needs and show zero obligation to help. 

do you research and please consider a different er room ahead of time as when the emergency comes that is not the time to research and abrazo arrowhead is not where you want to go. i swear on my life."
17,17,18.0,0.155,"wait, hour, room, emergency, minute, sit, time, check, long, back",the average wait in the emergency room is listed as 24 minutes. i've been sitting in a patient waiting room for almost 3 hours. apparently  all the beds in the er are full. i went to the bathroom 2 hours ago and there was indeed a patient in every single room. all of them appeared to be  sleeping and they were all alone. no doctors or nurses to be found. can't really turn  beds over when no one is working. i'm dizzy and nauseous and i only feel worse since being here. other patients  are coughing and germ ridden and we are all stuck  together in a  cubicle which could actually serve as  another  patient room!  if you have any other option do not come here. they are slow to work but spend  plenty of time laughing  and talking with each other. not a word said to me in almost 3 hours. not really professional or compassiomate.
