,Topic_0,Topic_0,Topic_1,Topic_1,Topic_2,Topic_2,Topic_3,Topic_3,Topic_4,Topic_4,Topic_5,Topic_5,Topic_6,Topic_6,Topic_7,Topic_7,Topic_8,Topic_8,Topic_9,Topic_9,Topic_10,Topic_10,Topic_11,Topic_11,Topic_12,Topic_12,Topic_13,Topic_13,Topic_14,Topic_14,Topic_15,Topic_15,Topic_16,Topic_16,Topic_17,Topic_17,Topic_18,Topic_18,Topic_19,Topic_19
,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value
Word_1,doctor,0.27108024091703903,day,0.10032739830470466,walk,0.05811248460520914,surgery,0.09184088138348309,nice,0.04990505866887385,hospital,0.40313199105145414,patient,0.05497875323082315,nurse,0.20721001737890468,husband,0.04067160764937323,care,0.2442069422112929,staff,0.22783184310625895,call,0.16859711297432795,life,0.044367015098722415,leave,0.03514246947082768,test,0.07192426122524014,pay,0.05440651596961655,people,0.10000468845234188,pain,0.1244720282734247,wait,0.16403568977350722,nurse,0.06868435599778884
Word_2,time,0.05381775791723334,mom,0.05036552002511548,wife,0.032568535328194134,feel,0.05589921885582697,time,0.03841472320950387,bad,0.06850608998260005,review,0.03863845446182153,room,0.08056681966044293,back,0.02616890840882057,medical,0.05608625744821716,good,0.06288593587906931,appointment,0.04343504192237877,make,0.024576074332171894,place,0.02971506105834464,blood,0.04131623695941909,insurance,0.05280497849363961,place,0.07553096722771813,give,0.07960520644772003,hour,0.1532258064516129,baby,0.051225354707941775
Word_3,issue,0.03880901496017097,mother,0.042651477777279456,leave,0.02463166537426447,make,0.052377297150855644,visit,0.03471444568868981,experience,0.05070842654735272,facility,0.03460813948394445,patient,0.07530858696136536,leave,0.022554671058651294,patient,0.04814149248084744,great,0.043669416588450326,phone,0.03466159564353012,year,0.024436701509872243,woman,0.021438263229308006,result,0.03364125189576727,bill,0.05106616637686465,rude,0.04641567818463126,medication,0.03215240065511594,room,0.11427590940288264,make,0.04606596646397641
Word_4,find,0.028414610452690888,night,0.03937749473023277,back,0.022031656251425443,great,0.04375310425791303,lot,0.03349724913579045,star,0.02724335073328362,medical,0.025233276383230384,bed,0.03774341606880264,head,0.020221429224997714,receive,0.03447460512626502,care,0.038630637751321445,speak,0.027573688304952892,work,0.022903600464576075,thing,0.01727725011307101,covid,0.023714325106852337,charge,0.03706415301546628,work,0.03638239017300389,back,0.027411430049133694,emergency,0.06219972546328072,child,0.03892574166206007
Word_5,year,0.025840295317660772,nurse,0.03632775709736736,minute,0.021438671714637595,good,0.03932812570551316,good,0.02507424898972686,horrible,0.027193636589609743,write,0.016471722083497613,floor,0.02682589902410766,put,0.019672431146490987,health,0.027806677385794003,food,0.03462925455713086,time,0.026795747255596854,treatment,0.0175609756097561,lie,0.01700587969244686,symptom,0.02297899719656234,service,0.032762880937128216,bad,0.03530404613437104,med,0.027023532454098786,minute,0.03920727522306108,son,0.038096554265708495
Word_6,problem,0.02287740431319215,admit,0.035565322689151004,door,0.021073758153537382,experience,0.03670926084797038,question,0.024879497541262962,give,0.025801640566741238,provide,0.015946028825513645,thing,0.016443117508132436,hand,0.018574434989477535,treatment,0.021469781518963397,love,0.02939287654991849,day,0.024548362001901632,save,0.014959349593495935,refuse,0.01483491632745364,feel,0.019072567673146745,month,0.03253408986913151,job,0.029584134277275072,home,0.02189466425308163,sit,0.03633321894303363,daughter,0.03611571770775751
Word_7,week,0.021614532737517,stay,0.0351616809436247,sign,0.01965971810427405,kind,0.027498081004199214,check,0.022980670918739957,time,0.02535421327367636,physician,0.013054715906601832,hear,0.015329085156632949,arm,0.016058193796321712,treat,0.021375200983637568,facility,0.02628068962110359,information,0.024461924107528742,fact,0.01124274099883856,make,0.013930348258706468,sick,0.018199365779677373,visit,0.03006314633476709,patient,0.029584134277275072,finally,0.017627790707697613,time,0.032772820864790664,experience,0.029205822738161046
Word_8,listen,0.01923450553720614,family,0.03148405615105171,front,0.01810883546959814,team,0.02727231679234208,helpful,0.022493792297580213,emergency,0.023763360676112354,state,0.01292329259210584,talk,0.013858562452653624,break,0.014822948119681581,lack,0.020098363756738864,nursing,0.02381069999506002,answer,0.023035698850376006,die,0.010963995354239257,security,0.01383989145183175,lab,0.016407003998345514,receive,0.029285256703578292,treat,0.025176989075906042,send,0.01672269631928282,check,0.03084248455730954,feel,0.028745163073521283
Word_9,make,0.018748785700408006,home,0.026371260707718527,question,0.017789536103635453,amazing,0.026730482683884952,parking,0.02093578070986903,terrible,0.0168530947054437,case,0.011477636132649932,sister,0.013190143041753933,fall,0.014182450361423736,family,0.017544689302941455,clean,0.022625104974559107,office,0.02100440833261302,part,0.010220673635307782,man,0.013613749434644957,time,0.01580955007123489,send,0.02448064427564748,give,0.020769843874537015,severe,0.0156452029997414,long,0.028869251887439946,give,0.02791597567716971
