,fac_id,rev_id,rev_rating,review,user,rev_created_time,rev_url,rev_is_selected,fac_name,fac_is_closed,review_count,fac_rating,fac_updated_time,phone,business_url,fac_url,address,city,state,country,postal_code,latitude,longitude,cat1,cat2,cat3,cat4,cat5,cat6
16,_kfFCfql_qAoXxlYeBN32Q,an1s0rpYzNvDEXyZXP8Qsg,1,"i just moved to the area and have a new physician.  i saw him yesterday after having passed out in a store and getting an ambulance to st margaret's er. i was there 7 hours. they took an ekg and gave me one bag of fluids.  doc was shocked that they did not take at least a ct scan since i am post-stroke and this was my 3rd episode of syncope.  doc said avoid them if possible, but ok for imaging. he said he would never admit me there for anything overnight, especially surgery.",Shirley M.,2019-12-05,https://www.yelp.com/biz/franciscan-health-hammond-hammond?adjust_creative=upenn&hrid=an1s0rpYzNvDEXyZXP8Qsg&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Franciscan Health - Hammond,False,10,2.0,2020-06-27T02:35:29,12199322300.0,https://www.franciscanhealth.org,https://www.yelp.com/biz/franciscan-health-hammond-hammond?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,5454 S Hohman Ave,Hammond,IN,US,46320.0,,,Hospitals,,,,,
19,_kfFCfql_qAoXxlYeBN32Q,K25JvhikSR_aNv9Wn0N6UA,1,"i was sent to the emergency room by my doctor. i had a very bad migraine and a blood pressure of 190/120. doc was concerned about a possible stroke and wanted my blood pressure to be brought down. i arrived at the emergency room at 1:30 pm. they immediately took my blood pressure which was 190/124. they immediately gave me an ekg, urine test, head ct scan and blood test. at 2:15, they then sent me back to the emergency room waiting area where i remained until 8 pm when i gave up and went to a real hospital. if i wanted to wait for freaking hours to see if i would have a stroke i would've done that at home in comfort where there's food. i was given no medication to bring the pressure down i was just told ""we're busy, the wait is longer than usual."" yeah, i believe the long wait is usual and so is their incompetence. if you are not good at the abcs of heathcare then you shouldn't be in operation. thank god for the university of chicago, a real hospital. fransiscan health hospital is a piece of shit.",Salina B.,2020-02-04,https://www.yelp.com/biz/franciscan-health-hammond-hammond?adjust_creative=upenn&hrid=K25JvhikSR_aNv9Wn0N6UA&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Franciscan Health - Hammond,False,10,2.0,2020-06-27T02:35:29,12199322300.0,https://www.franciscanhealth.org,https://www.yelp.com/biz/franciscan-health-hammond-hammond?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,5454 S Hohman Ave,Hammond,IN,US,46320.0,,,Hospitals,,,,,
46,D3MN24Ps5oI8wL8uM8AeaA,KX87JqCq_TD43DvBzX-wCA,1,"someone close to my heart was admitted here into the psychiatric ward. however, i would not recommend that your loved one ends up here. it is extremely hard to contact the patient as you are told incorrect phone hours and are given the run around. if you are lucky enough to reach them, they can't identify the patient you are looking for. in my opinion, that is horrible being that it is a ward and the nurses should be aware of who is on their unit. after repeating the patients name several times, the man who answered the phone, hung up on me. i kept calling, but did not have any success. this man kept hanging up on me. i was extremely frustrated with how i was being treated so i put in a call to the nurses station. a nurse picked up and was able to identify who my loved one was, but told me ""____ is sleeping"". this seems to be their go-to when they don't feel like getting the patient. 
secondly, according to the patient, the nurses assumed he left the building and ""couldn't"" find him, however he was in his bed the whole time. this seems extremely unprofessional to me. also, apparently the food is not great. this person described this facility as jail, granted it's not supposed to be an all-inclusive resort, but they should have their ish together. 

overall, our family is not impressed with this facility and would not recommend it to anyone!",Julia A.,2020-02-29,https://www.yelp.com/biz/summit-oaks-hospital-summit?adjust_creative=upenn&hrid=KX87JqCq_TD43DvBzX-wCA&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Summit Oaks Hospital,False,28,2.0,2020-03-16T13:39:59,19085227000.0,http://www.summitoakshospital.com/,https://www.yelp.com/biz/summit-oaks-hospital-summit?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,19 Prospect St,Summit,NJ,US,7901.0,,,Hospitals,,,,,
47,D3MN24Ps5oI8wL8uM8AeaA,0CUakbjKXJVxWKvc_TEErw,1,"felt like a sheep when i was here as a minor. you get zero one on one counseling. a lot of the support groups, other then like arts n crafts, were you just sitting there having to watch a movie abt mental health. i feel like thats lazy of the staff. many kids that go there might have adhd and other problems effecting their learning and if youre making them watch old mental health movies created before the 90s,, do you really think youre making them care? staff also picked favorites of the minors. its also unsanitary but i wont get into that",Breanna H.,2019-12-17,https://www.yelp.com/biz/summit-oaks-hospital-summit?adjust_creative=upenn&hrid=0CUakbjKXJVxWKvc_TEErw&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Summit Oaks Hospital,False,28,2.0,2020-03-16T13:39:59,19085227000.0,http://www.summitoakshospital.com/,https://www.yelp.com/biz/summit-oaks-hospital-summit?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,19 Prospect St,Summit,NJ,US,7901.0,,,Hospitals,,,,,
53,D3MN24Ps5oI8wL8uM8AeaA,P9aHgJ7qx66-6jyzfvki8g,5,"i was at summit oaks on christmas eve morning. after reading these reviews i was extremely discouraged, but i was also desperate for immediate help with my 13 year old son. i decided to go there in person instead of letting these really bad reviews guide me. i wanted to see for myself what it was like. the location is very nice. every staff member was courteous, empathetic, supportive and professional. there are inspirational letters posted in the waiting area along with coffee and tea. we got a five hour evaluation and excellent direction on what to do immediately to help with my son's behavioral issues. he did not get admitted, but if they had admitted him i would not have been worried. i believe he would have been in good hands. we also were given free lunch and the food was fine. fresh turkey sandwich, graham crackers, an orange and an apple juice. if you are considering going here and you are local, i recommend you go talk to them. i am glad i did.",Tara B.,2019-12-26,https://www.yelp.com/biz/summit-oaks-hospital-summit?adjust_creative=upenn&hrid=P9aHgJ7qx66-6jyzfvki8g&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,True,Summit Oaks Hospital,False,28,2.0,2020-03-16T13:39:59,19085227000.0,http://www.summitoakshospital.com/,https://www.yelp.com/biz/summit-oaks-hospital-summit?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,19 Prospect St,Summit,NJ,US,7901.0,,,Hospitals,,,,,
77,9s4FPPLuvd1c9pKr5QXnGQ,q0riBkozOuIqIpUNhev1vQ,3,"i stayed here for over a week after suffering a heart attack. i came here of my own volition as it was not only the closest to me at the time, but i had been informed by a sibling that their care was 2nd to none.

after arriving, i was given excellent care by a staff of amazing nurses, technicians, and doctors. the equipment, facility, and policies are in line with any top notch professional organization.

the reason after all of the above extolling of their process, procedure, and policy, that i only gave them 3 stars is the following.
i think it will sum up what i wish i could submit to the medical board as suggested new slogans for the hospital.

i hope you find it amusing, but unfortunately it is super accurate.

overlake hospital... 
- we'll cure ya, from sleeping.
- hope you don't like sleeping!
- you'll wish you were dead.
- sleep deprivation at its finest, in the heart of bellevue!
- sleep is for the weak!
- we give new meaning to the term ""rest home.""
- where noise is just the beginning!
- we teach why deaf people love us!
- don't worry, we won't listen too!
- killing you with noise, one night at a time!
- the sound system will make you forget you are sick!
- reverse psychology in healing therapy.
- after one night, you'll cure yourself!
- the loudest health care facility on the west coast!
- and you thought the 12s were loud!
- in terms of decibel support, we're the best in the northwest!
- we hear ya, we're just tone deaf.

i am still alive, so i guess i can give them credit for that. unfortunately, i almost died again or wished i had from a lack of sleep. the nurses even joked about this repeatedly during my stay.

maybe their staff being so desensitized to the alarm noises that are going off and seemingly being ignored 24/7 isn't a good thing.

thanks overlake, unless i am dying again, i won't be back.",Adam Z.,2020-01-26,https://www.yelp.com/biz/overlake-medical-center-bellevue?adjust_creative=upenn&hrid=q0riBkozOuIqIpUNhev1vQ&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,True,Overlake Medical Center,False,202,3.0,2020-05-20T11:53:32,14256885000.0,http://www.overlakehospital.org,https://www.yelp.com/biz/overlake-medical-center-bellevue?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,1135 116th Ave NE,Bellevue,WA,US,98004.0,,,Medical Centers,,,,,
78,9s4FPPLuvd1c9pKr5QXnGQ,Y-oWwoPJ_IO1ZZnV8jLnYA,1,"i used to be an employee of overlake and was encouraged to have my annual routine wellness exam conducted. 

i set up an appointment with dr. madhavan back in september 2018 to establish care and ended up being falsely billed for treatments that i did not receive from their clinic. in short i was billed for my medical history.  i've had a lot of back and forth communications with the overlake clinic, billing and my insurance and this has yet to be resolved. 

it's now february, 26th 2020 and i am still being billed for almost $600 of services i did not receive. 

there are plenty of other great facilities in the area to visit. i do not recommend establishing a primary care doctor here unless you are prepared to be incorrectly billed for a wellness exam. 

stay away from their primary care facilities. i am disappointed in overlake. this type of treatment is far from their mission to provide excellence. probably because all of their focus is on their new multi-million dollar building rather than their patients.",Clare B.,2020-02-26,https://www.yelp.com/biz/overlake-medical-center-bellevue?adjust_creative=upenn&hrid=Y-oWwoPJ_IO1ZZnV8jLnYA&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Overlake Medical Center,False,202,3.0,2020-05-20T11:53:32,14256885000.0,http://www.overlakehospital.org,https://www.yelp.com/biz/overlake-medical-center-bellevue?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,1135 116th Ave NE,Bellevue,WA,US,98004.0,,,Medical Centers,,,,,
83,9s4FPPLuvd1c9pKr5QXnGQ,vhrOuesrJpiDpNyVR_NhxQ,1,"i was sent to overlake emergency from my neurologist because i was having a lot of pain that the doctor couldn't figure out why. first thing they did was gave me lots of paperwork for me to sign. i told her i'm in such pain that i can't read it before i signed it. i understand the policy, but there was no compassion at all.
"" can't see you if you don't sign it."" was all she said.

then they want to take a couple of mri's which i just did a month ago and it's all in the chart that was transferred from my neurologist. so they said that i need a brain mri. i told them no dye. they administered it to my i v so quickly that i didn't have a chance to refuse it. 

and then there is the big bill from treating physicians that are not in my network even though overlake hospital is in my network. will not recommend overlake hospital em.",EastsideProperty ..,2020-02-09,https://www.yelp.com/biz/overlake-medical-center-bellevue?adjust_creative=upenn&hrid=vhrOuesrJpiDpNyVR_NhxQ&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Overlake Medical Center,False,202,3.0,2020-05-20T11:53:32,14256885000.0,http://www.overlakehospital.org,https://www.yelp.com/biz/overlake-medical-center-bellevue?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,1135 116th Ave NE,Bellevue,WA,US,98004.0,,,Medical Centers,,,,,
91,9s4FPPLuvd1c9pKr5QXnGQ,mskCwQM3icwOskv7ysQbBw,1,"worst in scheduling appointments. overlake tell wrong appt. dates on phone and then it offers ""$5"" gift card to compensate for patient's troubles! we went there for the appointment on dec, 30th only to know that appointment is on jan, 30th and not dec 30th. we confirmed with the scheduler in morning on the appointment date and time before leaving from home but overlake made a mistake and told dec 30 instead of jan 30 on phone! we talked to the manager there, she told us to write an email stating our troubles. then overlake offered us $5 service recovery gift card  which was nothing but insult to us. overlake thinks $5 can compensate for all troubles of a patient! i wrote a long email but in reply got just this ""i thank you for your feedback. once again, my sincerest apology for this great inconvenience to you"". they do not have courtesy to offer even $10 or $20 gift card!",Tanu ..,2020-01-16,https://www.yelp.com/biz/overlake-medical-center-bellevue?adjust_creative=upenn&hrid=mskCwQM3icwOskv7ysQbBw&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Overlake Medical Center,False,202,3.0,2020-05-20T11:53:32,14256885000.0,http://www.overlakehospital.org,https://www.yelp.com/biz/overlake-medical-center-bellevue?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,1135 116th Ave NE,Bellevue,WA,US,98004.0,,,Medical Centers,,,,,
93,9s4FPPLuvd1c9pKr5QXnGQ,PY1nNjVnz1s2nGwrhFwECQ,5,"when giving a review, i'm  not salted by ""appearances"", ""customer service"" or other bs factors. i'm going to rate  this hospital from the patients viewpoint (because that's all what should matters). you're not going to say, sorry son we're not taking you to this hospital because the coffee wasn't good. you're going to go to this hospital because of the medically experienced and dedicated staff that are there to help you. it's like people are complaining about the color variety of balloons at red robbin, then giving the restaurant a bad review (completely irrelevant to the point you went there the food).",Chase R.,2020-01-27,https://www.yelp.com/biz/overlake-medical-center-bellevue?adjust_creative=upenn&hrid=PY1nNjVnz1s2nGwrhFwECQ&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Overlake Medical Center,False,202,3.0,2020-05-20T11:53:32,14256885000.0,http://www.overlakehospital.org,https://www.yelp.com/biz/overlake-medical-center-bellevue?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,1135 116th Ave NE,Bellevue,WA,US,98004.0,,,Medical Centers,,,,,
