,fac_id,rev_id,rev_rating,review,user,rev_created_time,rev_url,rev_is_selected,fac_name,fac_is_closed,review_count,fac_rating,fac_updated_time,phone,business_url,fac_url,address,city,state,country,postal_code,latitude,longitude,cat1,cat2,cat3,cat4,cat5,cat6
18439,UtWngqS-WloIY_A53W5K-Q,VLS5GqTvQrHk6j4hQL2IeA,1,"i'm very disappointed with the er medical staff at mercy gilbert. i've heard all great things about them. however when i was checked in at this hospital on tuesday, march 24, i had a completely different experience. 

it all started when i was told by the covid 19 hotline, that i could go to the banner urgent care on higley, to get tested. i waited a good hour before getting called back. (no it wasn't busy) appointment was @ 11:30, i checkin 11:15, called by 12:16pm. once i entered the back room, my legs gave out on me and i ended up collapsing. the nurse helped me to the room and onto the bed. at this point my fever was 102.6 and my body started to have convulsions. the banner urgent care called 911 and i was sent to this hospital. i wasn't tested  for covid 19 with banner urgent care.

i was asked a list of questions by the emt about where i work and have i traveled lately. told them i was a flight attendant based in jfk/nyc. also told them i started experiencing symptoms on monday night march 23. during this time my body was in so much pain and i had this excruciating headache unlike nothing i felt before in my life. 

we quickly arrived (which felt like forever) and i was taken to a room where i was met by er dr. kent first,  then by nurse rene a little later. and i was asked again the same list of questions from each. i just wanted to pop my head off from body at this point because the pain was so unbearable. 

here is where everything went downhill. 
dr.kent said she was going to run a flu and strep test on me. i asked her what will happen when they came back negative. (which i knew were both negative because i have had the flu and strep before and my body has never reacted like this, plus i got the flu shot back in october 2019).

dr. kent became very short with me and slightly raised her voice and seemed very irritated because i wanted to know about getting tested for covid 19 (which the next day my doctor now tested me and i was indeed positive). she was so concerned about state regulations and not admitting me to the hospital, that she sent me home with antibiotics after my xrays showed i had  community-acquired pneumonia and i was told i could return back to work after 3 days if symptoms improved. and when she told me about the pneumonia, dr. kent stood by the curtain and quickly walked away. really?!? 

so i knew something was off with my body and this was not normal, i don't have any underlying health issues. never in my 10 years of flying as a flight attendant have i had pneumonia. i'm in my early 30s and pretty healthy. i went to my doctor now and nurse john shipp was the only one who believed me enough to test me on wednesday, march 25, and by friday (yes two days later) i had a video chat with my doctor now and was positive for covid 19. later on that day i ended up collapsing yet once again experiencing hypoxia (lack of oxygen to the brain) and was admitted to banner baywood hospital. where i spent the next 6 days on antibiotics, blood thinners, and malaria medication hydroxychloroquine. 
if it wasn't for me taking the initiative to find help, i more than likely wouldn't be here today and my child would be motherless.",Shawntele R.,2020-04-09,https://www.yelp.com/biz/mercy-gilbert-medical-center-gilbert?adjust_creative=upenn&hrid=VLS5GqTvQrHk6j4hQL2IeA&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Mercy Gilbert Medical Center,False,216,3.0,2020-06-16T20:28:07,14807288000.0,https://www.dignityhealth.org,https://www.yelp.com/biz/mercy-gilbert-medical-center-gilbert?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,3555 S Val Vista Dr,Gilbert,AZ,US,85297.0,,,Hospitals,,,,,
29364,i8XNvS70Lk8h7OWn20F56g,6l4pUGY1MwGrDjeSxGJb4g,5,"my brother was rushed to the emergency due to a ruptured aneurysm. a first, the ambulance dropped him off at alvarado hospital and they  assessed my brothers condition. they learned he was loosing a lot of blood internally, and therefore, they requested to transfer him to scripps mercy, since they have one of the biggest blood banks in the county. my brother to this day is still confined at the same hospital and his first two weeks since he was transferred to scripps mercy at hillcrest has been a tough reide for him and our family. during my brother's hospitalization at this hospital (scripps mercy), we had experience very poor patient care from the day he was admitted. we can't get any information from sicu regarding hi condition. we have been passed around to different icu nurses rather than the designated nurse for my brother to obtain info on is condition, specifically how his surgery went. currently, my brother is still in the icu and the attending surgeon and doctors haven't had a chance to notify us, as a courtesy to us, to let us know any specifics regarding my brothers condition and how his surgery went. i've contacted the hospital and most of the nurses from sicu have been impolite, rude and most of all sarcastic. no family has to endure this type of treatment, especially during covid since not any family member is allowed to visit your family member that has been hospitalized regardless of what they're in for. i have to request for a zoom call so our worried mother could see her son at the hospital since we all are not allowed to see him due to covid. regardless of any policies any institutions have to adhere to, they have to talked about or find ways for us top see our love ones. you see this on tv every day where our love ones are left alone in their rooms in a state of loneliness. but on a different note, i'm also writting this review to recognize nicole s. and with the rest of the er team at alvarado hospital, as a caring rn, who contacted me, checking on my brother regarding his well being. we felt her sincerity and utmost patient care considering that my brother is no longer in their care. if given the choice, our family would have had a better patient care experience with alvarado hospital than scripps mercy. i also want to recognize cathy gomez , patient relations coordinator who had been very helpful to us and always willing to assist when needed. to the whole alvarado hospital team.... you guys rock!!! god bless you all and thank you very much for your 'beyond the call of duty' patient care. your employer should recognize your excellence!!!",Jact D.,2020-06-15,https://www.yelp.com/biz/alvarado-hospital-medical-center-san-diego-7?adjust_creative=upenn&hrid=6l4pUGY1MwGrDjeSxGJb4g&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Alvarado Hospital Medical Center,False,168,2.5,2020-06-21T06:37:22,16192873270.0,http://www.alvaradohospital.com,https://www.yelp.com/biz/alvarado-hospital-medical-center-san-diego-7?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,6655 Alvarado Rd,San Diego,CA,US,92120.0,,,Hospitals,,,,,
30277,_hmAkjAdwLMMoEYFV6xQmQ,h0G7UIAC33sf8PDubhMWzg,1,"never coming back here again!!!!! never!!!! 
went in with acute severe abdominal pain, unable to stomach anything at all. could it have been a heart attack because the pain radiated to neck, shoulders, and arms? after blood work up and a ct scan, their only findings were low potassium (3.0) and inflammation in the stomach. they administered a gi cocktail to try to numb the pain. it was not at all effective. they didn't seem to care my potassium was low. they didn't seem to care i was quite uncomfortable and in a lot of pain. they didn't seem to care i have been unable to keep anything down for the past couple days...day 3, and i'm still unable to eat or drink anything at all. they discharged me home at 2 am in continued severe pain. told to follow up with gi for an endoscopy. the severe pain continues today. and terrifying i don't know the cause of this pain, i can't stomach anything. i'm still heavily nauseated. will my potassium drop further? the er doctor spent a total of a few seconds with me only talking from the hallway. the doctors only questions (not pertaining to the reason why i visited) were ""do you have short of breath? do you have a cough? what hurts? okay, i'll order a cat scan."" he then left to never be seen again. he did not do any assessment or show he cared at all. i was just another body occupying space in his er and my presence irritated him. my daughter called and asked to speak to him, and was told he was in the room talking to me and he would call her back. well, she called me immediately after to try to catch him in my room so she can talk to him and i explained to her i haven't been seen yet. don't lie to patients family members when they call to get information. covid pandemic policies make it hard not to be with loved ones and these lies aré unnecessary!!! this was a waste of a visit!! i feel uncared for and i'm back to square one. nick, the nurse, told me to go home and take ibuprofen or tylenol. not good advice nick when i'm unable to stomach anything at all. ibuprofen should be taken with food. if i didn't know any better,  i would've taken ibuprofen and i'm sure created an ulcer and even more pain on top of what i have!!!! i will never visit this place again!!! i have many options, your facility will never be one of those options!!!!

update- contacted my gi doctor and was told they are only doing virtual visits. if it's a real medical emergency, go to the er. back to square 1!!! you see how the system fails you!?! really disheartening. not sure what to do next.",May Z.,2020-06-12,https://www.yelp.com/biz/silver-cross-hospital-new-lenox?adjust_creative=upenn&hrid=h0G7UIAC33sf8PDubhMWzg&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Silver Cross Hospital,False,117,2.5,2020-06-12T08:33:44,18153001100.0,http://www.silvercross.org/find-a-physician,https://www.yelp.com/biz/silver-cross-hospital-new-lenox?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,1900 Silver Cross Blvd,New Lenox,IL,US,60451.0,,,Hospitals,Rehabilitation Center,,,,
34568,ju8N7IgceGJyF8LIGeh-HQ,SnmeAVIq8BnGycRc6s87gA,1,"my husband had a video chat with dr rama and she told us he needed to go get his blood drawn.  i asked any time we can go, her answer yes!  so three week to his visit to the doctor we went to get his blood drawn but needless to say the girl at the drawn station told us they cannot do it until two or one week to doctor visit.  wth! they could not let him get his blood draw three week but two week is ok. are you kidding me...... i was so pissed. it's getting to the point that i'm sick of them getting rid of there doctor.  this makes doctor number three.  we were happy with our last one now we start over.  i'm getting to the point i will go outside to start getting a doctor.  

just talk to your drawn station they need to draw when people show up for this is not the safe place to be or keep coming back too.  not only it's scary cause of the virus but i don't see anyone wipe down the chairs people sit in.  i will not sit in those dirty chair.  i'll stand.  the hospital should be spotless at all time and that means chair also.  i done and so over it!!",Shirley M.,2020-05-18,https://www.yelp.com/biz/st-davids-north-austin-medical-center-austin-3?adjust_creative=upenn&hrid=SnmeAVIq8BnGycRc6s87gA&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,St David's North Austin Medical Center,False,194,3.0,2020-06-01T17:31:25,15129011000.0,http://www.stdavids.com,https://www.yelp.com/biz/st-davids-north-austin-medical-center-austin-3?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,12221 N Mopac Expy,Austin,TX,US,78758.0,,,Medical Centers,,,,,
38162,pebG13HP_qJDKun9QYKHOA,4wiGl0XfX65mN2iDel_wBw,3,"i am a fan of ucla mostly the thousand oaks office since​ its close to home. i needed to get in with a gi dr. i ended up doing a zoom with a gi and we got the ball rolling coming to find​​ that i need a upper endoscopey and labs done. they got me in with the nutritionist​ and the labs super fast. because​ of covid,​​ they require​ that i have a test done. so that was easy but super painful. the doctor that i really wanted was not available​ until​ july but then i end​ up getting in with her. after the call,​l  have the procedure​ planned. we got a call the day before​ and knew where to go. upon arrival​ at the hospital,​ parking was kinda hard. we got inside because​ of covid​ they would not let my mom come with me. after i have any procedure​ with the​ ​anesthesia​ medicine​ i do not remember​ anything that happend. the whole proscces was kinda rushed for me i was passed to so many different nurses and rooms. now i have had surgey at ucla places before and they were way different and much calmer. they thought that my vitals​ where kinda off. well,​ i am super scared and worried as well as they coverd me with a lot of blakets. i was so scared that i just wanted to cry and run away. the nurses only came in and stayed for a sec and left me with so much confusion. at the other place​,​ they have one nurse that does all preop,​ and then you meet the team. much more relaxed. i finely get to meet my doctor that was the first time i was not scared. they finally​ got me in the room and the anesthesiologist​ could tell i was scared and got me to laugh a little. they all gathered in and start talking. the nurse started getting me in the right position​ and then it made me more scared​ and i started​ to panicked​. thankfully my amazing doctor connolly come over and held my hand as i fell asleep. when i was done it took me along time to wake up and the nurses​ were kinda worried that i was not waking up as fast as everyone​ else. they finally​ got me up and dresses and then i was on the way home. now wating for the results the endoscopy​ it was not horrible​ my throat​ is sore and i have to cough alot and the anesthetic​ is still in me 24 hours later but on the mend. surgery​ is not easy and kinda scary even for adults. just think if you never had done something before would you be scared​ too? i am very happy that my doctor was there and help make it way easier​ for me to get through​ it and made it less scary.",Ahna D.,2020-05-20,https://www.yelp.com/biz/ucla-medical-center-santa-monica-santa-monica-3?adjust_creative=upenn&hrid=4wiGl0XfX65mN2iDel_wBw&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,"UCLA Medical Center, Santa Monica",False,313,3.5,2020-05-20T21:32:24,14242596000.0,http://www.uclahealth.org/,https://www.yelp.com/biz/ucla-medical-center-santa-monica-santa-monica-3?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,1250 16th Street,Santa Monica,CA,US,90404.0,,,Medical Centers,Internal Medicine,,,,
51561,tNm_oVWLju_ql7c4O7kTrA,l_EUo48pCngg-MLF-7RGDw,5,"i was a bit worried coming here for a cardiology appointment right now. when i arrived, the parking attendants were wearing masks and did not remove them to answer questions (win). when i walked in to the main floor, my temperature was taken, masks were available for those who weren't wearing one (mask enforcement=win), and all employees wore masks. social distancing in lines were not enforced and neither was social distancing in the waiting area. i did like that used pens were to be put in a separate container. another patient explained the elevator system to me(before getting in, you select your floor and it tells you which elevator to use). i hate paying for parking when i'm already paying for lab work and the doctor appointment. it was ~$7 for 3.5 hours. 

my appointment itself went smoothly and was on time. the walls were bright and had cute paintings. there were televisions in the blood draw rooms to distract kids when getting their blood taken. my cardiologist was thorough and explained things really well. 

i really want to compliment my team because during the pandemic they were on top of getting my medical records from previous doctors.  they were persistent and it paid off. i appreciate them setting up a telehealth appointment as my initial appointment before my in-person appointment.",Rosanita R.,2020-06-16,https://www.yelp.com/biz/childrens-national-main-hospital-washington-2?adjust_creative=upenn&hrid=l_EUo48pCngg-MLF-7RGDw&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,True,Children's National - Main Hospital,False,72,3.0,2020-06-27T21:39:24,18888842327.0,http://www.childrensnational.org,https://www.yelp.com/biz/childrens-national-main-hospital-washington-2?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,111 Michigan Ave NW,Washington,DC,US,20010.0,,,Pediatricians,,,,,
67358,YjLfyRB6u1VVoA6QPT7qgg,PInfaz5p3CYpwRhUzVUPqA,1,"not sure what's going on here, but my son went for an evaluation. we waited over an hour for the social worker and then they realized they forgot to give us all the forms to fill out.  social worker was nice, seemed competent. he referred us  to the iop. we show up for his first session and find out we were given the ""old"" information and the times were incorrect. made it in for the next one ok. then came back for family night only to be informed it was going to be patients only due to covid-19. that's fine, but we took off work to be there and would have appreciated a heads up. then they switched to telemedicine. ok, no problem with that. first one went fine. second one he didn't get the meeting code. we tried calling, emailing and couldn't get anyone to help him. after three calls and my son emailing he finally got the code an hour into the session. not impressed , especially for a place helping people with mental health needs. you'd think they would have their act together. hoping things improve from here on out.",Kristene O.,2020-03-26,https://www.yelp.com/biz/centennial-peaks-hospital-louisville?adjust_creative=upenn&hrid=PInfaz5p3CYpwRhUzVUPqA&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Centennial Peaks Hospital,False,36,2.0,2020-06-01T18:11:26,13036739990.0,http://www.centennialpeaks.com,https://www.yelp.com/biz/centennial-peaks-hospital-louisville?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,2255 S 88th St,Louisville,CO,US,80027.0,,,Rehabilitation Center,Counseling & Mental Health,Addiction Medicine,,,
68198,Xlq5p3QsroF4p2t928Hzeg,VSe8ej7yE9f-pYkji8HK7w,5,"this review is specifically for the echn birthing center at manchester hospital. i had my son in december and still think about what amazing care i received throughout my two day stay at the hospital. my heart goes out to all of the incredible nurses and hospital staff as they work bravely and tirelessly during this horrifying coronavirus pandemic. the nurses were so incredibly supportive, helpful and caring as my husband and i navigated the first few days of parenthood and all the accompanying challenges. 

a few things to note:
-the hospital/echn has excellent prenatal and postpartum programming, from their pregnancy/infant care class and prenatal fitness to their new mothers' group that meets weekly (currently virtually on zoom!). they've also got a remarkable doula program (shannon made a huge difference in my birth experience, she's amazing). 
-delivery & recovery are in the same room which i found to be a total asset. plus, the room is huge with plenty of room for nurses, bags, partners, visitors, etc without feeling cramped. 

i live in the hartford area but my midwife practice only delivers at manchester hospital, which is how i ended up here. it really made all the difference in having such a supportive experience.",Emily C.,2020-04-01,https://www.yelp.com/biz/manchester-memorial-hospital-manchester?adjust_creative=upenn&hrid=VSe8ej7yE9f-pYkji8HK7w&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,True,Manchester Memorial Hospital,False,25,2.0,2020-04-01T14:45:29,18606461222.0,http://www.echn.org/location/manchester-memorial-hospital,https://www.yelp.com/biz/manchester-memorial-hospital-manchester?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,71 Haynes Street,Manchester,CT,US,6040.0,,,Hospitals,,,,,
71356,s4jD-qvyt_vH0IY-ZsBbig,H0PT3s-QCSEVy54ckdeWtA,1,"i agree with both reviews of janny k and tina k. i am giving one star for there were times, not many, that i could speak into my father's ear over the phone- briefly. my father passed away due to their negligence!! families need to be with their loved one's during recovering; 1 for advocacy and the other for support and love!! my father, prior to being transferred here from icu, was alert and fully cognizant.  he just needed long term recovery for he still required a ventilator and had a trach and g-tube. please keep in mind that this occurred during the covid-19 epidemic, therefore, visitation was not allowed. this was very difficult for us and the only updates that we could get were via telephone. as far as zoom/face time, the client advocate informed me that unfortunately we could only see my father 2x per week via zoom for only 10 to 15min. there was not enough man power to see your loved one daily.  this was not so pleasing to our ear but 2x was better then none. i unfortunately never got to see my father for our face time appointment; he passed away prior to the first scheduled zoom meeting. 
the first morning and afternoon of admittance, everything seemed normal as far as updates. however, the first alarming news was when i spoke to the case manager who stated that my father was not responding. my father was responding and following commands/nodding yes or no to questions prior to the transfer.  also, the case manager stated that he had an occupational therapy evaluation and that he was not following simple commands. this was also alarming, for prior to that day he was receiving physical therapy at icu and following commands. the day shift nurse that day did me the favor of placing me in my father's ear via telephone so that he can hear my voice. however, the night shift nurse stated that they were too busy. this particular nurse mentioned that he had 9 patients during his shift; 9 patients? how can one nurse be in charge of 9 patients? are patients being constantly moved and cleaned?  every time i would call to speak to someone, it seemed as though they were overwhelm or too busy. we received contradicting information as well. the following day, i inquired about the medication/antibiotics that my father was receiving and the day shift nurse stated that he was not receiving any- what? he had pneumonia- why was he not receiving the antibiotics that were administered to him? she stated that my father's white blood counts were okay and he was fighting a fever therefore he did not have an infection- what?? if your body has a fever, your body is fighting an infection! she informed me that my father was only being administered tylenol for the fever. i called the house supervisor immediately and asked to speak to the doctor in charge. the house supervisor seemed overwhelmed as well when i spoke to her. she indicated that if she had time, she would do her best to call the doctor and inform him. i never spoke with the doctor. i called the number that they provided and never heard from him. i called the night shift nurse that day and he stated that he was receiving antibiotics. i asked, "" which one is it- either he is receiving or not""? what was there plan of care for my father?  the following day my father passed away. we live about 86 miles away from baldwin park, therefore when we arrived, my father was already deceased. the doctor was not present when we arrived and we demanded for him to come back and speak to us as to what occurred. the doctor did finally return and sat with my family and i, alongside with the head nurse and house supervisor. the  doctor used the term ""supposedly"" my father threw up and they stopped administering food to him. "" supposedly""- what really occurred? the doctor looked at the staff nurse and supervisor when informing us of the incident-as though trying to make sure that they were on the same page. 
conclusion- my father did not receive the proper care that he needed here. he needed constant care for his vent settings as well as for his trach and g-tube. when we walked in to see my father's body, the staff kept to themselves as though scared to speak to us. as we walked the hallways, many of the patients looked as though they were already near death. i deeply regret sending my father here. the room in which my father was in, was not what we expected. there was no chart on the walls explaining who was the nurse, etc. the family pictures, that we asked the nurses to place on his wall, were not displayed. they were tucked away/shoved away in the closet. the room, although shared with two other patients, felt lonely. my brother mentioned as he was mourning my father's dead body that day( they only allowed two family members at a time), that a staff member walked in to ask,"" where are they taking his body."" seriously- we just received the news that my father passed and you see us mourning his body- no empathy here ! please do not send your loved one here!",Monica F.,2020-06-09,https://www.yelp.com/biz/kindred-hospital-baldwin-park-baldwin-park-3?adjust_creative=upenn&hrid=H0PT3s-QCSEVy54ckdeWtA&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Kindred Hospital Baldwin Park,False,46,2.5,2020-06-09T14:32:47,16263882700.0,http://www.khbaldwinpark.com,https://www.yelp.com/biz/kindred-hospital-baldwin-park-baldwin-park-3?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,14148 Francisquito Ave,Baldwin Park,CA,US,91706.0,,,Hospitals,Occupational Therapy,Physical Therapy,,,
75395,R5hlviLotv1qxiEkQUPlTA,tPrgVPnHZ5Ge77v8xFdAWQ,1,"during covid-19, right after the travel ban, i was on quarantine for 14 days since i arrived from europe on vacation.  during that time, i fell ill and after a few days under virtual care, my doctor advised me to go to the er.  i chose memorial hermann sugar land thinking i would get good care.  i was totally wrong.

once in the er, which was set up efficiently because of the virus, the er doctor immediately explained to me that they will not send my covid-19 test off to be tested unless i was admitted to the hospital.  his main concern was not diagnosing my problem but explaining that i would have to go somewhere else to get tested for covid-19.

i was advised to go the the er by my doctor because i was coughing excessively, barely able to breath, experiencing pain in my back when breathing and coughing, wheezing and extreme shortness of breath even with using an inhaler.  my temp stayed below 100.4 so it wasn't considered a fever.

the er began to run tests:  chest x-rays, ct scan, urine-analysis, blood-work, i.v., etc.

i waited about 45 minutes for all the test results to return and during that time, i suffered and tried to breath over and over in spite of the difficulties i was experiencing.  finally, the er doctor returned (dr. b. parker) and said that my lungs were clear and that the covid-19 swab would not be sent to the lab because i'm not being admitted to the hospital.  i stated that i understood about the swab but i didn't understand what was going on with my breathing so i asked him again about my lungs.  dr. parker repeated that my lungs were ""all clear"" and that there was no sign of the virus in my lungs. 

i asked the doctor what was he diagnosing me as having. since we know there's no sign of covid-19 in my lungs, what is it then and what was he going to give me to help me breath.   dr. parker turned the paper around and it read, ""cough - adult"".  i asked, ""so you're diagnosing me as having a cough?""  he replied yes.  i was dumbfounded.  i came to the er with a cough and shortness of breath and now the dr. was telling me that i had a cough.  wow!  

i asked him what was he going to do about helping me?  he stated that he was calling in prescriptions to my pharmacy to take but to act like i had covid-10 and still isolate.  he stated that he believed it was just an allergy infection and that these meds would clear it up.  i informed him that i don't typically suffer with allergies and that i had been taking zyrtec because the virtual doctor i spoke to recommended it but i wasn't getting any better.  he reemphasized again that the test would not be sent and that if i wanted a covid-19 test, i needed to go to another site.  i asked about an antibiotic to clear up the infection and he said the meds he prescribed would clear up the infection.  i later learned that the meds were regular over-the-counter stuff that i had already been using that wasn't effective:  tylenol, mucinex and claritin-d.

i believe dr. parker's only concern was covid-19 and not finding the real source of my problems.  i asked my discharge nurse again about my lungs being ""all clear"" and she said well they are not all clear and that they had a haze over them.  i asked what does a haze mean.  she informed me that the doctor believes the haze is possibly from a bacteria infection from allergies so he's prescribed some meds to help.  i again said i don't suffer with allergies but ok the pollen is high so i guess.  

i was discharged and walked to my car still struggling to breath just the same way as i walked into the hospital.   

that was saturday, march 21st. fast forward to wednesday, march 25th and i was not feeling any better, in fact, i felt worse. i called my doctor both the 25th and 26th and left messages. her nurse called my back on the 27th and informed me to stop taking all allergy meds immediately and that she had reviewed the labs and x-rays and they believe that haze over my right lung is pneumonia.

pneumonia?!!  so i had pneumonia in the right lung for an additional 6 days without any treatment?!  why would dr. parker say i was ""all clear"" and ignore the haze?  i had to take additional time from work to heal whereas if dr. parker would have just taken the time to explore my results for something more than covid-19, he could have treated me correctly and i could have returned back to work without taking additional time.  

lastly, once i got the bill, i saw that i was billed $273.50 for a pregnancy test!!!  the admitting nurse asked if there was anyway i could be pregnant, i immediately answered no and explained why i couldn't be.  so why would you give me, a 49 yr old woman with a valid reason a pregnancy test?  especially for $273.50.  over billing???   yes!

i will never go back to memorial hermann sugar land emergency room.  the care of the treating physician was below sub-par and i could have saved way more time and money going to another facility.",Rhonda T.,2020-04-19,https://www.yelp.com/biz/memorial-hermann-sugar-land-hospital-sugar-land?adjust_creative=upenn&hrid=tPrgVPnHZ5Ge77v8xFdAWQ&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,False,Memorial Hermann Sugar Land Hospital,False,35,3.0,2020-04-19T08:46:47,12817255000.0,http://www.memorialhermann.org,https://www.yelp.com/biz/memorial-hermann-sugar-land-hospital-sugar-land?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,17500 West Grand Pkwy South,Sugar Land,TX,US,77479.0,29.564696253826998,-95.69023792206998,Hospitals,,,,,
