,Topic_0,Topic_0,Topic_1,Topic_1,Topic_2,Topic_2,Topic_3,Topic_3,Topic_4,Topic_4,Topic_5,Topic_5,Topic_6,Topic_6,Topic_7,Topic_7,Topic_8,Topic_8,Topic_9,Topic_9
,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value
Word_1,hospital,0.20299612441617806,call,0.0444814462416746,pain,0.06059124249833296,patient,0.04599914420196834,nurse,0.09292494987801637,place,0.06692198652110119,doctor,0.12280784461625495,room,0.10477497515498557,staff,0.09773732777145747,patient,0.06066959910659343
Word_2,care,0.053587399383881545,insurance,0.027830637488106564,give,0.04152033785285619,nurse,0.037726429895877905,make,0.062416966593395976,day,0.04282410285742707,test,0.03314161795210258,wait,0.08343192466045148,care,0.07597016812033877,medical,0.02718964377692185
Word_3,family,0.029215939580641954,pay,0.026522359657469078,nurse,0.030228939764392088,people,0.03473113678505206,feel,0.05538781129978985,work,0.039392206112755214,day,0.02764944371110692,hour,0.08168094269083337,good,0.05142207053469852,facility,0.025206828178772477
Word_4,mom,0.027104243267415284,bill,0.02642721217887726,put,0.015203378528561903,call,0.03211619835496601,experience,0.031039397086886158,people,0.030464300813210315,time,0.023642277955874032,emergency,0.04325398703326866,surgery,0.049273163948931865,treatment,0.020511885498096953
Word_5,bad,0.02553910364702375,send,0.022764034253092293,back,0.01453656368081796,rude,0.02184662197499168,time,0.027561052199328487,time,0.029419810499614535,home,0.018244389967942674,minute,0.029955988831574465,great,0.04007078751106055,care,0.015794151833534654
Word_6,life,0.023973964026632218,receive,0.02143196955280685,home,0.014203156256945989,talk,0.018589835021157228,baby,0.026570690113287762,bad,0.027703862127278607,discharge,0.016712238355647748,check,0.0289385263357153,experience,0.024750347617241816,state,0.00995965995852041
Word_7,mother,0.0229056941269999,month,0.020742150333016175,med,0.014136474772171594,treat,0.018470974183426046,child,0.01929998309137902,give,0.020491905200069632,back,0.016617952102583444,back,0.026075434196204627,professional,0.018430034129692834,request,0.009002438635275885
Word_8,treat,0.020918215243963034,service,0.01971931493815414,leave,0.013891975994665481,wife,0.0177340369894927,son,0.018599483079301433,make,0.019024644997637463,explain,0.01562794644540826,time,0.02432445222658653,team,0.015396283655669321,provide,0.00861499190920072
Word_9,admit,0.016073735466560667,appointment,0.018767840152235964,start,0.013114025338964214,person,0.01752008748157657,daughter,0.018527017560810648,thing,0.01875108801074333,result,0.014826513294361682,sit,0.02155600776110927,nice,0.015396283655669321,health,0.008592200925313946
Word_10,year,0.01585014409221902,charge,0.017554709800190294,night,0.013025116692598355,hear,0.016212618266533543,stay,0.014976207154762193,food,0.014224963318494939,week,0.014402225155572318,leave,0.0213903743315508,friendly,0.014562002275312855,refuse,0.008387082070332976
Word_11,love,0.014881248136738547,visit,0.01572312083729781,medication,0.011780395643476329,walk,0.014453477868112014,give,0.014058310587212252,staff,0.013677849344706672,give,0.013647935131057892,bed,0.0204912214282334,kind,0.01360131462520541,lie,0.00825033616701233
Word_12,die,0.013887508695220114,information,0.013772597526165557,stop,0.009713269615470104,leave,0.01409689535491846,good,0.01147370709437426,stay,0.013553505259754793,husband,0.01270507260041486,long,0.017320524348114145,helpful,0.013500189609404627,concern,0.007019623037126513
Word_13,live,0.011278942661234224,time,0.012987630827783064,bad,0.009468770837963991,speak,0.013740312841724908,comfortable,0.011280465711732168,star,0.009325806371390914,visit,0.01230435602489157,floor,0.014291798779045005,wonderful,0.01317153330805208,lack,0.0068828771338058665
Word_14,review,0.010707542482361125,money,0.012012369172216937,hand,0.008935318959768837,woman,0.012123805448580802,amazing,0.01118384502041112,pretty,0.009126855835467906,heart,0.012233641335093344,finally,0.012943069424068903,nursing,0.012084439388193655,case,0.006404266472183604
Word_15,star,0.010707542482361125,year,0.010775451950523311,head,0.008490775727939543,phone,0.011481956924832407,check,0.01118384502041112,kid,0.008181840789833628,find,0.012092211955496888,arrive,0.012564478727935261,excellent,0.012033876880293263,physician,0.005925655810561342
Word_16,transfer,0.01028520321971579,office,0.00884871550903901,finally,0.008379639919982218,employee,0.011363096087101222,day,0.010700741563805889,eat,0.007759070900997239,symptom,0.011432208184046767,area,0.011594340069092803,clean,0.011073189230185817,center,0.005834491875014244
Word_17,medical,0.009813176984994534,contact,0.00834919124643197,point,0.008335185596799289,answer,0.010863880568630248,thing,0.009903620860407256,spend,0.007659595633035737,issue,0.011290778804450311,blood,0.011239411291467513,procedure,0.010972064214385034,medication,0.005720536955580373
Word_18,find,0.009639272582728809,cost,0.008325404376784015,ambulance,0.0078017337186041345,question,0.010863880568630248,delivery,0.009879465687576994,terrible,0.007261694561189724,call,0.011172920988119932,sick,0.010766172921300459,surgeon,0.00912653267602073,management,0.005469836132825854
Word_19,friend,0.009515055152539004,phone,0.008016175071360609,arm,0.00773505223382974,guy,0.009603955688679694,labor,0.009058189811348101,lot,0.007187088110218597,blood,0.009334339053366019,bring,0.010221948795608348,amazing,0.008368095057514853,post,0.005424254165052305
Word_20,condition,0.009341150750273279,schedule,0.007992388201712655,fall,0.007490553456323628,parking,0.00917605667284743,lot,0.00859924152757313,bring,0.007162219293228221,follow,0.009263624363567792,walk,0.009748710425441294,service,0.00831753254961446,report,0.005333090229505208
