,Topic_0,Topic_0,Topic_1,Topic_1,Topic_2,Topic_2,Topic_3,Topic_3,Topic_4,Topic_4,Topic_5,Topic_5,Topic_6,Topic_6,Topic_7,Topic_7,Topic_8,Topic_8,Topic_9,Topic_9
,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value
Word_1,doctor,0.11008174386920981,hospital,0.0964482092435726,nurse,0.053597436644334404,patient,0.04626175197731682,call,0.11585706309324399,patient,0.07277628032345014,staff,0.09025766122884586,nurse,0.10981339777151296,test,0.06973564266180492,wait,0.0687593423019432
Word_2,pain,0.04645776566757493,mom,0.03670679149947986,time,0.03976114185843286,mother,0.032084763468139085,give,0.03294249022892239,hospital,0.07008086253369272,care,0.07729836865375819,thing,0.023358840112766815,covid,0.05986022485566697,hour,0.060198396521266476
Word_3,give,0.037874659400544956,treat,0.036260960023777676,surgery,0.036411302068161955,facility,0.026563199522459335,day,0.03196538246789503,people,0.040272712858728396,feel,0.05198963256593993,put,0.022419116659954358,virus,0.024764509267699786,room,0.058975404266884086
Word_4,emergency,0.032152588555858314,bad,0.03150542428295438,day,0.03233323623652782,visit,0.0234293389046411,care,0.03168620882188721,place,0.038845726970033294,make,0.04970269858210093,wife,0.020673915961874078,symptom,0.02354907323002127,leave,0.03505911129229515
Word_5,back,0.03119891008174387,medical,0.027344330509733988,stay,0.031168074570346635,issue,0.021041635576779585,phone,0.03112786152987158,mask,0.03250356746472174,good,0.03354169842963867,give,0.016915022150624244,work,0.023093284715891827,check,0.03111835847261856
Word_6,walk,0.029564032697547683,life,0.021994352801307772,baby,0.029129041654529567,due,0.02059394120280555,time,0.02680067001675042,employee,0.017440938639606787,experience,0.028205519134014333,day,0.01624379111290106,home,0.022029778182923124,time,0.025546949313765457
Word_7,room,0.02779291553133515,time,0.01887353247139248,make,0.017186134576172445,pay,0.019997015370840174,family,0.022054718034617532,provide,0.015855398763278898,great,0.0269858210093002,son,0.01543831386763324,result,0.021118201154664236,back,0.02513928522897133
Word_8,question,0.020435967302452316,place,0.014266607222469906,due,0.015292746868628021,health,0.019101626622892106,speak,0.021915131211613623,hand,0.015062628825114952,nice,0.01905778319865833,explain,0.014095851792186871,week,0.020510483135824976,minute,0.02391629297458894
Word_9,leave,0.015940054495912806,horrible,0.014117996730569179,night,0.015147101660355374,woman,0.016564691837039246,talk,0.020100502512562814,line,0.014428412874583796,work,0.018295471870712,change,0.013827359377097597,send,0.01929504709814646,blood,0.022013860578883
Word_10,show,0.015395095367847412,med,0.012631891811561897,food,0.015001456452082727,person,0.016415460379047904,hospital,0.018983807928531545,procedure,0.014111304899318219,kind,0.0173806982771764,experience,0.013424620754463686,child,0.01701610452749924,sit,0.02119853240929474
Word_11,door,0.01430517711171662,hope,0.012483281319661168,amazing,0.014273230410719488,insurance,0.014773914341143113,answer,0.014656616415410386,service,0.013635642936419851,job,0.013569141637444732,move,0.013156128339374412,run,0.016560316013369797,long,0.02092675635276532
Word_12,order,0.014168937329700272,treatment,0.012334670827760439,good,0.014273230410719488,concern,0.014773914341143113,understand,0.01340033500837521,face,0.013635642936419851,professional,0.013111754840676932,finally,0.013156128339374412,appointment,0.01610452749924035,daughter,0.019839652126647643
Word_13,point,0.011852861035422343,die,0.012334670827760439,week,0.010923390620448586,receive,0.013281599761229668,update,0.012841987716359575,front,0.013635642936419851,safe,0.012959292575087666,heart,0.012753389716740502,sick,0.01610452749924035,husband,0.016034787335235764
Word_14,arm,0.011580381471389645,end,0.011443007876356071,delivery,0.010632100203903292,bill,0.013281599761229668,rude,0.012144053601340033,pandemic,0.012842872998255907,team,0.012806830309498399,problem,0.012753389716740502,fever,0.015952597994530537,area,0.015083571137382797
Word_15,medication,0.010762942779291552,review,0.011443007876356071,labor,0.009175648121176813,contact,0.012983136845246978,information,0.011864879955332216,covid,0.012050103060091962,love,0.011587132184784266,hear,0.012082158679017317,cough,0.01504102096627165,finally,0.011822258459029759
Word_16,lady,0.010626702997275205,year,0.011145786892554615,start,0.00873871249635887,send,0.012983136845246978,transfer,0.011864879955332216,visitor,0.011098779134295227,friendly,0.0105198963256594,bring,0.012082158679017317,negative,0.012914007900334245,car,0.01114281831770621
Word_17,stop,0.010490463215258856,experience,0.01069995541685243,recovery,0.008593067288086223,find,0.01178928518131622,happen,0.011446119486320492,wear,0.010940225146662439,pandemic,0.010214971794480866,bed,0.011679420056383408,people,0.01017927681555758,turn,0.01073515423291208
Word_18,visit,0.00994550408719346,live,0.010254123941150245,meet,0.008447422079813574,work,0.010147739143411431,discharge,0.011306532663316583,risk,0.01078167115902965,thing,0.0100625095288916,home,0.011410927641294134,find,0.009115770282588878,arrive,0.010191602119853241
Word_19,literally,0.009264305177111716,admit,0.010254123941150245,super,0.00801048645499563,money,0.009849276227428741,number,0.010887772194304857,bring,0.009513239257967338,nursing,0.009757584997713066,morning,0.01114243522620486,today,0.009115770282588878,people,0.01005571409158853
Word_20,body,0.009128065395095367,side,0.009362460989745877,deliver,0.007864841246722983,hold,0.009550813311446053,sister,0.01060859854829704,require,0.00919613128270176,extremely,0.0096051227321238,bad,0.010471204188481676,start,0.009115770282588878,put,0.009919826063323822
