,doc_num,dominant_topic,topic_contribution,topic_keywords,doc_text
0,0,14.0,0.0954,"surgery, day, home, husband, stay, nurse, procedure, admit, surgeon, morning","i just moved to the area and have a new physician.  i saw him yesterday after having passed out in a store and getting an ambulance to st margaret's er. i was there 7 hours. they took an ekg and gave me one bag of fluids.  doc was shocked that they did not take at least a ct scan since i am post-stroke and this was my 3rd episode of syncope.  doc said avoid them if possible, but ok for imaging. he said he would never admit me there for anything overnight, especially surgery."
1,1,18.0,0.2016,"wait, hour, room, emergency, minute, check, long, time, sit, arrive","i was sent to the emergency room by my doctor. i had a very bad migraine and a blood pressure of 190/120. doc was concerned about a possible stroke and wanted my blood pressure to be brought down. i arrived at the emergency room at 1:30 pm. they immediately took my blood pressure which was 190/124. they immediately gave me an ekg, urine test, head ct scan and blood test. at 2:15, they then sent me back to the emergency room waiting area where i remained until 8 pm when i gave up and went to a real hospital. if i wanted to wait for freaking hours to see if i would have a stroke i would've done that at home in comfort where there's food. i was given no medication to bring the pressure down i was just told ""we're busy, the wait is longer than usual."" yeah, i believe the long wait is usual and so is their incompetence. if you are not good at the abcs of heathcare then you shouldn't be in operation. thank god for the university of chicago, a real hospital. fransiscan health hospital is a piece of shit."
2,2,8.0,0.1413,"call, mother, speak, phone, back, information, patient, number, contact, leave","someone close to my heart was admitted here into the psychiatric ward. however, i would not recommend that your loved one ends up here. it is extremely hard to contact the patient as you are told incorrect phone hours and are given the run around. if you are lucky enough to reach them, they can't identify the patient you are looking for. in my opinion, that is horrible being that it is a ward and the nurses should be aware of who is on their unit. after repeating the patients name several times, the man who answered the phone, hung up on me. i kept calling, but did not have any success. this man kept hanging up on me. i was extremely frustrated with how i was being treated so i put in a call to the nurses station. a nurse picked up and was able to identify who my loved one was, but told me ""____ is sleeping"". this seems to be their go-to when they don't feel like getting the patient. 
secondly, according to the patient, the nurses assumed he left the building and ""couldn't"" find him, however he was in his bed the whole time. this seems extremely unprofessional to me. also, apparently the food is not great. this person described this facility as jail, granted it's not supposed to be an all-inclusive resort, but they should have their ish together. 

overall, our family is not impressed with this facility and would not recommend it to anyone!"
3,3,3.0,0.1118,"patient, place, facility, staff, make, lie, member, group, treatment, therapy","felt like a sheep when i was here as a minor. you get zero one on one counseling. a lot of the support groups, other then like arts n crafts, were you just sitting there having to watch a movie abt mental health. i feel like thats lazy of the staff. many kids that go there might have adhd and other problems effecting their learning and if youre making them watch old mental health movies created before the 90s,, do you really think youre making them care? staff also picked favorites of the minors. its also unsanitary but i wont get into that"
4,4,17.0,0.1656,"good, food, lot, nice, thing, place, parking, area, pretty, work","i was at summit oaks on christmas eve morning. after reading these reviews i was extremely discouraged, but i was also desperate for immediate help with my 13 year old son. i decided to go there in person instead of letting these really bad reviews guide me. i wanted to see for myself what it was like. the location is very nice. every staff member was courteous, empathetic, supportive and professional. there are inspirational letters posted in the waiting area along with coffee and tea. we got a five hour evaluation and excellent direction on what to do immediately to help with my son's behavioral issues. he did not get admitted, but if they had admitted him i would not have been worried. i believe he would have been in good hands. we also were given free lunch and the food was fine. fresh turkey sandwich, graham crackers, an orange and an apple juice. if you are considering going here and you are local, i recommend you go talk to them. i am glad i did."
5,5,11.0,0.1701,"nurse, mom, question, night, thing, talk, time, feel, start, answer","i stayed here for over a week after suffering a heart attack. i came here of my own volition as it was not only the closest to me at the time, but i had been informed by a sibling that their care was 2nd to none.

after arriving, i was given excellent care by a staff of amazing nurses, technicians, and doctors. the equipment, facility, and policies are in line with any top notch professional organization.

the reason after all of the above extolling of their process, procedure, and policy, that i only gave them 3 stars is the following.
i think it will sum up what i wish i could submit to the medical board as suggested new slogans for the hospital.

i hope you find it amusing, but unfortunately it is super accurate.

overlake hospital... 
- we'll cure ya, from sleeping.
- hope you don't like sleeping!
- you'll wish you were dead.
- sleep deprivation at its finest, in the heart of bellevue!
- sleep is for the weak!
- we give new meaning to the term ""rest home.""
- where noise is just the beginning!
- we teach why deaf people love us!
- don't worry, we won't listen too!
- killing you with noise, one night at a time!
- the sound system will make you forget you are sick!
- reverse psychology in healing therapy.
- after one night, you'll cure yourself!
- the loudest health care facility on the west coast!
- and you thought the 12s were loud!
- in terms of decibel support, we're the best in the northwest!
- we hear ya, we're just tone deaf.

i am still alive, so i guess i can give them credit for that. unfortunately, i almost died again or wished i had from a lack of sleep. the nurses even joked about this repeatedly during my stay.

maybe their staff being so desensitized to the alarm noises that are going off and seemingly being ignored 24/7 isn't a good thing.

thanks overlake, unless i am dying again, i won't be back."
6,6,6.0,0.1618,"doctor, time, visit, week, appointment, find, month, today, make, issue","i used to be an employee of overlake and was encouraged to have my annual routine wellness exam conducted. 

i set up an appointment with dr. madhavan back in september 2018 to establish care and ended up being falsely billed for treatments that i did not receive from their clinic. in short i was billed for my medical history.  i've had a lot of back and forth communications with the overlake clinic, billing and my insurance and this has yet to be resolved. 

it's now february, 26th 2020 and i am still being billed for almost $600 of services i did not receive. 

there are plenty of other great facilities in the area to visit. i do not recommend establishing a primary care doctor here unless you are prepared to be incorrectly billed for a wellness exam. 

stay away from their primary care facilities. i am disappointed in overlake. this type of treatment is far from their mission to provide excellence. probably because all of their focus is on their new multi-million dollar building rather than their patients."
7,7,8.0,0.1054,"call, mother, speak, phone, back, information, patient, number, contact, leave","i was sent to overlake emergency from my neurologist because i was having a lot of pain that the doctor couldn't figure out why. first thing they did was gave me lots of paperwork for me to sign. i told her i'm in such pain that i can't read it before i signed it. i understand the policy, but there was no compassion at all.
"" can't see you if you don't sign it."" was all she said.

then they want to take a couple of mri's which i just did a month ago and it's all in the chart that was transferred from my neurologist. so they said that i need a brain mri. i told them no dye. they administered it to my i v so quickly that i didn't have a chance to refuse it. 

and then there is the big bill from treating physicians that are not in my network even though overlake hospital is in my network. will not recommend overlake hospital em."
8,8,6.0,0.1725,"doctor, time, visit, week, appointment, find, month, today, make, issue","worst in scheduling appointments. overlake tell wrong appt. dates on phone and then it offers ""$5"" gift card to compensate for patient's troubles! we went there for the appointment on dec, 30th only to know that appointment is on jan, 30th and not dec 30th. we confirmed with the scheduler in morning on the appointment date and time before leaving from home but overlake made a mistake and told dec 30 instead of jan 30 on phone! we talked to the manager there, she told us to write an email stating our troubles. then overlake offered us $5 service recovery gift card  which was nothing but insult to us. overlake thinks $5 can compensate for all troubles of a patient! i wrote a long email but in reply got just this ""i thank you for your feedback. once again, my sincerest apology for this great inconvenience to you"". they do not have courtesy to offer even $10 or $20 gift card!"
9,9,19.0,0.1213,"hospital, bad, give, star, experience, treat, horrible, service, recommend, bring","when giving a review, i'm  not salted by ""appearances"", ""customer service"" or other bs factors. i'm going to rate  this hospital from the patients viewpoint (because that's all what should matters). you're not going to say, sorry son we're not taking you to this hospital because the coffee wasn't good. you're going to go to this hospital because of the medically experienced and dedicated staff that are there to help you. it's like people are complaining about the color variety of balloons at red robbin, then giving the restaurant a bad review (completely irrelevant to the point you went there the food)."
10,10,6.0,0.1105,"doctor, time, visit, week, appointment, find, month, today, make, issue","the facilities are nice and the nursing care seemed competent and compassionate.  the place was chock full of xmas artifacts: trees, wreaths, 5 foot nutcrackers and other junk; enough to fill a warehouse.  it was new year's day and neither the nephrologist nor the interventional radiologist showed up to do a simple procedure.  as often seems to be the case when kaiser is involved there is apparently no coordination between their docs and overlake docs.  kaiser is unavailable and the overlake team won't work on kaiser patients.  nurses are in the dark about what docs may or may not do."
11,11,12.0,0.092,"great, staff, feel, make, good, amazing, kind, friendly, wonderful, experience","i came in on orders from an immediate clinic. the doctor was friendly and smart. the nursing staff was practically non existent. the er bed was inexplicably comfortable. they mold, support and cushion everywhere. if they had friendly, available nurses it would be 5 stars."
12,12,18.0,0.152,"wait, hour, room, emergency, minute, check, long, time, sit, arrive","by far the worst experience ive ever had in an er room in all of long island ! came here for chest pains, and waited threee hours to be seen . once i was seen it took another 1.5 hours just to get my blood drawn . then another 1.5 hours for the results . all of this for the pa to come back and tell me all of the blood work came back great, but my ekg didn't look normal . why wait 6 hours later to tell me this , when the first thing the lady did at registration was take my ekg ... 

worst 6 hour experience ever."
13,13,19.0,0.1512,"hospital, bad, give, star, experience, treat, horrible, service, recommend, bring","after bringing my 87 year old mother to south nassau mount sinai, she was  was mistreated and misdiagnosed, . living in long beach, mount sinai was the closest hospital to long beach since long beach  hospital closed. mount sinai also ruined beth israel medical center when mount sinai took over beth israel medical center. all the good doctors left every hospital mount sinai took over. in long beach  we are only left with north shore lij on long island, columbia or nyu. if you have a serious health issue the joint commission should do a better job of inspecting hospitals and patient care. furthermore the people of the south shore deserve a better medical facility than mount sinai.
""mount sinai the best of the worst hospitals."""
14,14,13.0,0.1105,"insurance, pay, bill, charge, send, service, money, receive, month, cost","a quick review. i went to visit the emergency room on 11/20/19 for trouble breathing.  i went into triage where they attempted to take my blood pressure but the cuff blew off my arm after over-inflating, tearing the velcro and flying across the room( because she wasn't paying attention).  the ""other one"" meanwhile was taking my complaint down on a paper towel (because the computer was down). well, i did walk out of there.  i thought i'd be safer leaving and going elsewhere if my symptoms got worse.  best part... they billed my insurance $1,617.00 and me personally $827.00.  there you go. incompetence, insurance fraud, and thievery.  go to south nassau. they have it all!!"
15,15,18.0,0.1105,"wait, hour, room, emergency, minute, check, long, time, sit, arrive","this was the single worst medical visit i have ever experienced. i spent 5.5 hours at the er, at least 3 of which was spent waiting for a 5-minute mri. when i asked about the wait, i was told ""that's a different department"", as if it was another universe that the staff in the er had no way to contact or deal with. for the first two hours, staff never came into my room to see if i was ok or to offer me so much as a glass of water. i was given iv liquids; when i asked, the woman who gave them to me couldn't tell me why. the blood drawn sat in a vial on the dresser in my room for the entirety of my visit. despite the enormous wait for care, the staff wasted no time in asking me for my insurance and payment."
16,16,5.0,0.0893,"pain, give, back, doctor, leave, arm, fall, severe, head, break","if i could give this hospital a 0 stars i would. i had to wheel my own child in and out of rooms. there was no ""let me help you with that"" i am also in the nursing field and these techs are just lazy! the nurses on the other hand are very nice. it took over 2 hours for the doctor to come in to see my son. my son came in with extreme lower back pain and he is only 13. the wait was ridiculous! overall the experience was horrible!!"
17,17,9.0,0.0856,"test, doctor, back, blood, result, symptom, covid, home, send, high",my father-in-law was transferred here last night from clinton memorial for faster treatment. he was supposed to have test done at 12:30 pm. he could not eat before these test and was already very hungry this morning at 10am. 12:30 came and went with no reason for the delay it's now 4:05 pm and the still have not done the test. poor communication with family. he has had nothing to eat or drink since yesterday at 5:30pm now.
18,18,18.0,0.2026,"wait, hour, room, emergency, minute, check, long, time, sit, arrive",i took my wife to the emergency room and ended up waiting for hours. this isn't the first time we have had to wait for hours to see anyone in this emergency room. super long wait times!!!!
19,19,18.0,0.0851,"wait, hour, room, emergency, minute, check, long, time, sit, arrive",took my wife to this emergency room this morning and they denied her because she didn't have her id. she ended up having to be transported to another hospital by ambulance for emergency surgery. thanks guys
20,20,12.0,0.1244,"great, staff, feel, make, good, amazing, kind, friendly, wonderful, experience","staff are great, attentive and caring, management listens to concerns as well. my mom is currently getting her physical therapy and my family is very thankful especially for therapists - amir and francis who works with my mom everyday in getting her back to her baseline. they are very compassionate, caring, patient and fun to work with and really dedicated in what they do. i would definitely recommend this place!"
21,21,3.0,0.1116,"patient, place, facility, staff, make, lie, member, group, treatment, therapy","my mother was a patient here. the nurses were good but administration and management are horrible. they promised us we can transition from ltac to sub acute with no problems when she was ready. this was not the case. once my moms insurance was running out for ltac they rushed us out with little warning and the case manager janice didn't work with us before initiating the process. they wouldn't let us stay at their sub acute because they only had x number of respitory beds.  this was something they failed to tell us in the beginning

we pleaded with them and warned them it wasn't safe for my mom to leave and asked them to honor their agreement. they admitted they handled the discharge poorly but only offered a ""sorry"". they also admitted that their reps make promises that aren't true often.

 my mom died the next day at the new facility.  case management here only sees patients as numbers or ""open beds"". they have little regard on how they affect patients and families. stay clear of janice, ask for another case worker if you decide to go there."
