,doc_num,dominant_topic,topic_contribution,topic_keywords,doc_text
0,0,9.0,0.1777,"test, doctor, back, blood, result, symptom, covid, home, send, high","if i could give this place zero stars i would. the first time i went was when i broke my ankle. made us wait over four hours just to get an x-ray and we had to share a room with another patient. the next time was even worse. my girlfriend came in with abdominal pains and they made us wait three hours just to see a doctor. the doctor than told her she needed an ultrasound, which we waited two hours for and than another two for the results. after that they made her get a cat scan, which took up another two hours to get and another two for the results. than after all this doctor mchue came in for no more than thirty seconds to tell her nothing was wrong. they definitely just added procedures in order to rack up her hospital bill bordering on malpractice considering how much radiation a cat scan gives. after all this we had to wait another hour just so a nurse could come in for five seconds to take out her iv. when i went to complain to dr mchue, and told him we'd been at the hospital for almost 12 hours and we just need the iv to be taken out so we could go home, he rudely told me ""people are dying."" i understand that it's an emergency room but there were atleast ten people talking or sitting at their computers, one of which is capable of removing an iv, or dr mchue should've just done it himself when he came to see us. his attitude was not one any dr should have and it was clear he got stuck with the graveyard shift and was not happy about it. terrible terrible doctor. don't go unless you're literally dying because they will not help you. go to a different hospital if you can and definitely hope to god you don't get dr mchue, because i've never encountered a more rude or dismissive dr in my life. fuck this p"
1,1,8.0,0.1092,"call, mother, speak, phone, back, information, patient, number, contact, leave","i will say, i haven't received my bill yet which i'm slightly nervous for - but i trust they'll have a great billing department. we were on vacation in wa when we were transported by ambulance to tacoma children's hospital. from the er to the last day we were here people were amazing. my daughter was have severe trouble breathing due to a severe case of croup, virus and bacterial infection. they were fast and efficient about getting her started on the meds she needed right away. dr. mccabe & dr. williams were the ones who were assigned to us, they were absolutely amazing! after thinking about it, i was so happy that we were in wa when this happened and not at our home (ca). because i can guarantee the care we received wouldn't have been able to compare to out in la."
2,2,3.0,0.1148,"patient, place, facility, staff, make, lie, member, group, treatment, therapy","it's never fun when you end up in the er. check in ran smoothly, but of a wait since lots of sick kiddos but it's that time of year with the flu and all. very grateful that people were wearing their face masks and all. 

once i got a bed it went pretty quickly, had my xrays and meds and the cool app that tells you the progress of the tests was so awesome! i really do like that new feature. 

but the bad happened as i was leaving :( i was given a  hospital gown to wear because i had a lot of x rays to take,  i mean i sprained my entire body from the fall i had. miracle i didn't break anything. anyway, the hospital gown had dry blood in the inside. i was not bleeding so this grossed me out  and my husband. immediately told the doctor and my nurse. they just said they'd wash it again, my husband said  they should throw it away. i was too drugged on percocet and muscle relaxers to argue. 

other than that i'm healing and feel better.  i do wish that the tree given to me at the end with my diagnosis was just given to me via  a link in that cool  app."
3,3,17.0,0.0897,"good, food, lot, nice, thing, place, parking, area, pretty, work","went in to see what's was wrong with me and three of my kids we all can not keep anything down and all of our temperature were above 100. they didn't do much but say it was a virus. only got our blood pressure, height, and weight done so how do they know if that is the problem. my daughter is two years old and cannot even walk without shaking. 

- 0 stars"
4,4,17.0,0.1447,"good, food, lot, nice, thing, place, parking, area, pretty, work","update: still visiting as part of my ministry. with all the worries of flu and coronavirus, they still have empty hand sanitizing stations, dirty bathrooms, and no soap in some dispensers. really? this is sad. when do they plan on correcting this? this is my third update in only a couple of years, and still, they have not fixed the problem. please be aware of this. your health could be at risk! too no avail, i mentioned to staff before. is it apathy, laziness, or lack of concern? sad!"
5,5,17.0,0.1003,"good, food, lot, nice, thing, place, parking, area, pretty, work","i'm in my late 40s. i am a former soldier. i have been to emergency rooms around the world. i was a paramedic for years. this was the wooooorst medical experience i have ever had. i have had my face reconstructed. i have been shot. i was unfortunate enough to experience the worse pain i have ever had in my life for the second time, another kidney stone. i knew exactly what it was. i told these assholes exactly what it was. i'm have insurance out the whazoo. but yet, these assholes let me roll around their nasty ass floor in pain for hours without once attempting to manage my pain. i didn't want any narcotics. i wanted toradol to open my vessels. i walked out twice because they refused to move with any sense of urgency to get me relief. listen to what i said, i walked out twice because they were disinterested in helping me in my severe distress. like i wanted to be in the emergency... i should not have been in this emergency room thinking i should shoot myself to get more expedited care. i didn't go through with it because they still probably wouldn't give me the toradol.... i walked out in severe pain, went to north richland hills emergency room, was in a bed in 10 minutes, got a shot of toradol in another 15 minutes, and past the stone in my urine sample within the hour...i pray to the lord that something replaces the triage nurse and doctor in harris methodist er, to include the corona virus."
6,6,13.0,0.1019,"insurance, pay, bill, charge, send, service, money, receive, month, cost","this is hands down the most ghetto kaiser i've ever had the displeasure of going to with more hipaa violations then i could count! i checked in at the front to a woman who barely spoke english out of a box with bullet proof windows & she didn't use her speaker to converse so checking in was a pain and it felt like i was at a shady 7/11 in a questionable side of town... they finally pull me to the back and ask me questions as i just had surgery on my hand a few days prior. 

i was then taking back to the waiting room (nurses were chatting & gossiping to themselves several minutes & complete informing the pa trying to get me a seat) and put in this little quarantine style cubicle with a complete unobstructed view of people checking into security peering through the window! after an hour finally a dr assistant checks on me, and unwraps my bandage with several people staring in & looking at my hand that's healing. that was beyond disrespectful, degrading and completely breaking so many hipaa laws for patient privacy. wtf said this was a good idea, they need to be fired. 

nurses were literally yelling out my information to each other about my condition where other patients could hear, another clear cut hipaa violation! then to top of off i went another hour and a half without anybody updating me on anything so i ask a male nurse is there an eta & he said they may be in surgery and for me to wait, i told him i've been here for 3 hours now with no update on anything, he then said i can ""feel free to leave whenever i want, nobody is forcing me to stay here,"" as i'm recovering from surgery 3 days prior. 

their employees are garbage, i'm reporting this location to hipaa & seriously consider dropping kaiser as a provider, i have top-tier insurance that pays for everything & this location is the definition of trailer trash! the dr didn't give me an recourse for post surgery and what i should be doing and or when my stitches would even come out. a complete joke of a hospital!"
7,7,2.0,0.0822,"life, die, year, heart, hospital, friend, find, end, lose, save","sharp as a whole is a good organization, there er is a different story. i go for a neck issue and wait for a like 3hrs to be seen. once i get back in there for 10 minutes then back into the waiting room... kept asking the desk why i'm i sitting here, of course no idea... hey come in for a neck issue leave with the flu and every other virus."
8,8,8.0,0.1035,"call, mother, speak, phone, back, information, patient, number, contact, leave","this review is based in my experience at the busse center breast center only. i was there on 2/21/20 for a scheduled  breast ultrasound. when i arrived at registration they asked me to put on a mask as i was coughing. i had no problem with that at all. then i went to the reception in the breast center and handed the person my papers. she rudely told me that i was early and would have to wait, ok, no problem. in a while the volunteer came to take me to the dressing room, showed me where the gowns are...i had a few questions and the lady seemed to look at me with fear and was backing away as i was talking, she didn't answer my questions, she was too busy running out of the room. next i exit to the gowned women's waiting area. i'm wearing my mask, gown and sweatpants and i'm coughing. a few minutes later a nurse called my name, i thought it was my turn. it turns out that some ladies in the waiting area complained because i was coughing. i was directed to wait, in my gown, outside of the breast center in a little waiting area near the main registration, out in the open, in my gown. my appointment time came and went, i returned to the breast center in case they forgot about me, i was then told i needed a mammogram first. really? thanks for letting me know, i had been there for two hours!! about 30 minutes later i was finally taken back by debbie the mammogram technician. she was the first person who was kind to me. next i went to ultrasound, the tech there was good too. i was finally done after spending over  3 hours there for two 10-15 minute procedures. the way i was treated was horrible!! it's a hospital, there's gonna be sick people there! all tests were good btw. next stop was the er for the cough."
9,9,3.0,0.1054,"patient, place, facility, staff, make, lie, member, group, treatment, therapy","this place could have saved my life, but chose not to admit me, which is illegal, leaving me with a severe brain injury, and no quality of life. i was having a life-threatening reaction to a medical device that had not been seen before, and needed as many brains on the situation as possible.

 i was in a non-convulsive seizure, suffocating, my skin and mucous membranes were physically cooking off, i had no motor skills and could not see or breathe.

i had no chance of saving my own life.

i needed help, and fast. 

i knew that i was dying and needed help, and i stupidly had a friend dive me there, instead of calling 911, but they may have brought me there, since it's close to my house, and threw me out, just the same. 

because the nurse had never seen this reaction before, or heard of the procedure, she did not let me in, did not ask me questions, and had zero interest in why i was in an emergency room. .

real medical professionals do not care about the device, and focus on symptoms. 

the medical negligence cost me my life as i knew it.   

i would up with a severe brain damage, a chunk of my brain missing from cooking off in the cavity, and almost a face transplant recipient. 

agony is an understatement. 

(it has taken me three years to write this.)

if someone is in ignition from a heating source ( the device is 160 degrees of electric shocks and burns, promoted for lymph and blood drainage, organic, by big pharma), for the love of god, get them out of agony, find out where the burns are coming from, and have mercy. it's a horrific painful death, and i barely made it out.

they could have called the company, they could have done a number of things.

they are, after all, a hospital right?

don't they have a dermatology department for cases like steven johnson syndrome, etc?

if broken ankles are all they can handle, say so, so people know to avoid that place. 

i needed a medical team stat. a dermatologist, neurologist, eye doctor and an internist. the suffering is incomprehensible. 

i would not be at the er, if this were a 'cosmetic' issue.  

it is illegal to turn someone away. if any hospital admin is reading this, please contact me, so i can give you my name, and you can look into the the nurse, who could have saved my life, but chose to be ignorant and lazy.

 you make speak with neurologists, whom i would not have even needed, had she admitted me as with anything concerning the brain/skin/eyes cooking off the skeleton, timing is paramount. 

all i needed was iv anti-seizure meds, but how was i to know? 

i needed an eeg, a spinal tap, and a skin punch biopsy. 

encephalopathy is my diagnosis...which led to encephalitis, naturally. i stayed in an electrical brain storm, for  92 weeks, without seizing, which would physically cook the brain, eyes, mask of the face.  

inhumane. 

i was so impaired, that i could not get myself the proper help that i needed and lived alone as a single woman in venice, ca.

the company  and spa ran when there was a would be fatality, as this device is not even legal bc there are not enough studies. 

doctors and nurses need to listen, and keep an open mind. 

you could have saved my life. 

i would be on a whole nother trajectory, instead of being fried alive, and a dependent. 

even my hair is all fried. 

if you are not equipped to deal with a rare emergency, such as mine, please have me transferred to a hospital who is.
horrific. 

i was a kid with my full life ahead of me. 

ask the person if they are in pain, ask them if they are having difficulty breathing, getting blood or oxygen to the brain, headaches, double vision?  see if they have tremors....don't focus on the fact that it's ""cosmetic."" 

trust me, there is a reason they are there. 

what terrible judgement. 

someone is dead from a peanut. 

i needed to be admitted to icu.

i can't believe i have to tell people how to do their jobs who went to medical school.

maybe that is the problem?

that the people working in the er dept. have lower education requirements than doctors? 

perhaps it should be the other way around.  

i take my education very seriously, graduated ahead of my cohort, and hold an m.a. in clinical psych.

i can't understand ""professionals"" who don't continue their education.

we are never done learning.

it is all a bell curve. 

please do not stay at the start of it.

no one can afford mediocrity and negligence when having a job as serious as an emergency room staff. 

you are literally responsible for life and death.

change professions if you aren't interested in your line of work.

if this is just a 'paycheck' for you...move on!

had i had a different nurse, there is a chance that i would not be writing this right now. 

i think about you everyday of my life....all i needed was admittance, and an iv of anti-seizure meds, steroids. 

this hospital rating has a 2.8?

 that's not okay.

please raise your standards of care, so no one else winds up in my situation."
