,Topic_0,Topic_0,Topic_1,Topic_1,Topic_2,Topic_2,Topic_3,Topic_3,Topic_4,Topic_4,Topic_5,Topic_5,Topic_6,Topic_6,Topic_7,Topic_7,Topic_8,Topic_8,Topic_9,Topic_9,Topic_10,Topic_10,Topic_11,Topic_11,Topic_12,Topic_12,Topic_13,Topic_13,Topic_14,Topic_14,Topic_15,Topic_15,Topic_16,Topic_16,Topic_17,Topic_17,Topic_18,Topic_18,Topic_19,Topic_19
,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value
Word_1,staff,0.13136946711960656,nurse,0.07308871526060726,life,0.04733640733836947,patient,0.06506671695978122,people,0.11300413899316585,pain,0.12794739314232034,doctor,0.1924358220654517,review,0.047241812385276784,call,0.16511627906976745,test,0.06584612504679895,care,0.16621414819568545,nurse,0.16151513780151153,great,0.06592085798816567,insurance,0.05438319233987171,surgery,0.09506148740972087,room,0.07736123989932442,give,0.06950937337677669,good,0.05132699048572859,wait,0.16111491889421978,hospital,0.39699287786863624
Word_2,care,0.12614713785935203,baby,0.05439620215606765,die,0.027273619150397332,place,0.051346126644349094,place,0.05563576860140533,give,0.03851573508689526,time,0.05222418185381148,experience,0.04014104917399285,mother,0.03810375670840787,doctor,0.04810932235117933,medical,0.07202448536308437,mom,0.049327963071910216,staff,0.051913831360946745,pay,0.051826717486288,day,0.08295920359164552,walk,0.039210491455821964,time,0.06634556358313265,food,0.03615423134702053,hour,0.15773360749371715,bad,0.08419941967818517
Word_3,patient,0.1146884348222887,child,0.03941252101671447,year,0.02540959481997449,facility,0.024895091706351076,rude,0.04422947348156704,back,0.030295913574448097,visit,0.04409171075837742,make,0.03550381605641967,speak,0.036762075134168154,back,0.04211905653313366,facility,0.036629313323789305,question,0.03312666877856723,feel,0.04049556213017751,bill,0.051594310681416754,home,0.0407476088229553,bed,0.038239060361195745,day,0.06077348066298342,lot,0.03234852278417626,room,0.12227553118574366,give,0.045898179899762595
Word_4,nurse,0.053592252699893525,son,0.038027890416378204,heart,0.02236829196507407,staff,0.020934508934886135,treat,0.03989796900567908,doctor,0.026820103334899013,week,0.0405153831079757,person,0.03395807168389527,phone,0.03667262969588551,blood,0.040808685885436166,receive,0.03169274818581231,night,0.031678508394804725,make,0.04007951183431953,charge,0.034303244398996,husband,0.037868436463009955,leave,0.03064423543957257,medication,0.03678519148132408,nice,0.02553830746119179,emergency,0.08361891706648389,star,0.04452651015563176
Word_5,family,0.05273031486082239,daughter,0.0379289882306399,hospital,0.01883645639164132,make,0.018529869395068132,work,0.03936856290307056,leave,0.019680601221230623,appointment,0.038653733098177545,time,0.030045406240942905,back,0.02240608228980322,result,0.02943654062149008,health,0.030113047341659673,thing,0.022174955876363308,good,0.03989460059171598,send,0.028028260667472344,stay,0.03625805192270154,floor,0.02410915353026891,discharge,0.025027152098975304,thing,0.02298447671507261,minute,0.05026273703449852,experience,0.03460828277499341
Word_6,wife,0.0377224560158191,time,0.03530808030857482,friend,0.01859119003237516,lie,0.01786977226649064,bad,0.03551833670228126,arm,0.016345702207609208,find,0.030668234371938077,understand,0.023379383634431455,information,0.020259391771019677,symptom,0.022697491576188694,provide,0.027595399121291407,talk,0.021722405756437524,amazing,0.03245192307692308,service,0.02640141303337362,nurse,0.030841303923482336,clean,0.020311741069457323,med,0.02337441563960901,place,0.022333500250375563,check,0.03751427918665753,treat,0.02927987338433131
Word_7,love,0.030877655529077726,make,0.033181683315201264,find,0.01707053860492495,member,0.014852185392993541,job,0.028347290403311194,fall,0.015641146077970878,month,0.0210660395845581,thing,0.02081924451743793,patient,0.018336314847942754,covid,0.0182983901160614,treatment,0.02275756528607395,time,0.021269855636511743,kind,0.02819896449704142,money,0.02342660593102166,procedure,0.028938122194026937,door,0.019693557645604275,send,0.017330122302497992,parking,0.01942914371557336,long,0.029426547863833676,horrible,0.027222368768135056
Word_8,good,0.02737920194696547,check,0.02798931856394026,end,0.016334739527126458,group,0.010090056108255929,employee,0.02194628934449899,severe,0.01348050728041334,today,0.019204389574759947,hope,0.020046372331175732,number,0.01650268336314848,home,0.018251591164357917,professional,0.020388014019844993,feel,0.017332669593157442,friendly,0.02667344674556213,receive,0.02268290415543367,admit,0.028059730626585986,patient,0.0157195213494061,find,0.017235680219105633,pretty,0.01702553830746119,time,0.028010052547406898,service,0.020680559219203375
Word_9,nursing,0.024235663945647214,experience,0.026505785777865692,lose,0.015991366624153833,therapy,0.008911311235796124,unprofessional,0.017326017903551833,head,0.012400187881634571,make,0.01886145404663923,write,0.0190319775867066,contact,0.015966010733452593,send,0.0162392362411082,center,0.02033864836846522,start,0.016608589401276193,wonderful,0.024084689349112426,month,0.0206377242725667,surgeon,0.01761663088034355,sit,0.01501302600785976,issue,0.01529961750956226,area,0.01702553830746119,sit,0.02609092986063514,recommend,0.019361646003692955
