,Topic_0,Topic_0,Topic_1,Topic_1,Topic_2,Topic_2,Topic_3,Topic_3,Topic_4,Topic_4,Topic_5,Topic_5,Topic_6,Topic_6,Topic_7,Topic_7,Topic_8,Topic_8,Topic_9,Topic_9,Topic_10,Topic_10,Topic_11,Topic_11,Topic_12,Topic_12,Topic_13,Topic_13,Topic_14,Topic_14,Topic_15,Topic_15,Topic_16,Topic_16,Topic_17,Topic_17,Topic_18,Topic_18,Topic_19,Topic_19
,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value,word,value
Word_1,time,0.034482758620689655,make,0.09794581720750223,staff,0.16973415132924335,pay,0.040625940415287394,hospital,0.07446808510638298,pain,0.08957184134489099,people,0.07323452484742807,place,0.10034821145932257,nurse,0.07251566696508505,hospital,0.11885500933416304,patient,0.06797908335896648,room,0.12831523111896945,doctor,0.22308117062396465,nurse,0.20049641478212907,call,0.22336120852441327,care,0.06644425910480957,test,0.12418655097613883,mom,0.07471264367816093,experience,0.08685089583965988,hospital,0.10843373493975904
Word_2,hospital,0.03355911330049261,feel,0.04763322417386127,care,0.10517090271691498,visit,0.03611194703581101,give,0.0516270337922403,surgery,0.06540583136327817,mask,0.05928509154315606,work,0.06362773029439696,baby,0.05968367651447329,treat,0.07529558182949596,find,0.04460166102737619,wait,0.1278100530436979,back,0.059083379348426286,leave,0.052675124103695535,phone,0.060695980577286215,mother,0.05977203224909647,covid,0.06182212581344902,time,0.04900181488203267,good,0.07348921955663529,time,0.04388984509466437
Word_3,visit,0.03201970443349754,nice,0.03661804108365585,patient,0.06602395559450774,work,0.03551008125188083,thing,0.04755944931163955,blood,0.04281586551090097,patient,0.052891601278698054,people,0.05761316872427984,day,0.055207400775887795,bad,0.0507156191661481,information,0.02737619194094125,hour,0.08360697145743874,today,0.030646051905024847,give,0.043574186431329286,day,0.04531966549770704,family,0.05004170141784821,symptom,0.04094360086767896,room,0.038112522686025406,great,0.06437898572730033,admit,0.030694205393000575
Word_4,emergency,0.031096059113300493,kind,0.03423637987496279,facility,0.051709027169149865,appointment,0.031898886548299726,husband,0.043178973717146435,give,0.039926451273969,hand,0.037489102005231034,life,0.04748338081671415,time,0.03700387943897344,virus,0.03142501555693839,wrong,0.02706859427868348,minute,0.044455670623894925,point,0.02650469353948095,wife,0.04247104247104247,talk,0.042352306447261935,give,0.04197942730052822,result,0.03714750542299349,floor,0.03508771929824561,care,0.04190707561494078,receive,0.030120481927710843
Word_5,heart,0.03078817733990148,time,0.029175349806490027,love,0.029798422436459245,insurance,0.029491423412578995,food,0.032227784730913644,hour,0.029156816390858944,walk,0.03487358326068003,medical,0.03608736942070275,son,0.034318113995822144,treatment,0.02520224019912881,reason,0.02614580129191018,sit,0.03940388987117959,put,0.015737161789066815,night,0.038885824600110315,rude,0.03291070946857297,home,0.030859049207673062,send,0.034164859002169194,nurse,0.034482758620689655,feel,0.03765563316125114,state,0.026391279403327597
Word_6,problem,0.029248768472906403,amazing,0.028877642155403394,provide,0.029506281040023372,bill,0.02678302738489317,horrible,0.030037546933667083,back,0.028368794326241134,employee,0.032548677709968034,die,0.019309908198797087,child,0.033422858848105044,star,0.024268823895457373,contact,0.025223008305136883,daughter,0.03687799949482193,order,0.015461071231363888,stay,0.03088803088803089,answer,0.026706231454005934,update,0.026966916875173757,day,0.030639913232104122,walk,0.029643073200241985,time,0.03127846948071667,day,0.02610441767068273
Word_7,person,0.024630541871921183,good,0.021137243227150937,medical,0.028921998247151623,month,0.022870899789346977,order,0.026595744680851064,nurse,0.025479380089309167,line,0.026155187445510025,save,0.014878125989237101,week,0.025962399283795883,patient,0.023024268823895456,health,0.024915410642879113,emergency,0.03308916393028542,show,0.01435670900055218,discharge,0.02399338113623828,hear,0.0205017534394389,due,0.026688907422852376,home,0.027928416485900217,morning,0.025105868118572294,review,0.027330701488004858,end,0.020367183017785426
Word_8,covid,0.023399014778325122,friendly,0.02024412027389104,professional,0.024539877300613498,service,0.022269034005416792,time,0.024405506883604506,stop,0.02127659574468085,front,0.021795989537925022,live,0.014561570117125673,stay,0.025365562518651148,infection,0.0224019912881145,issue,0.02337742233159028,leave,0.02904773932811316,start,0.01435670900055218,thing,0.02344180915609487,sister,0.0205017534394389,transfer,0.02363080344731721,cough,0.026843817787418654,bad,0.024198427102238355,team,0.02399028241724871,follow,0.019506597819850834
Word_9,year,0.021551724137931036,wonderful,0.019053289669544508,pandemic,0.021034180543382998,charge,0.022269034005416792,bad,0.022215269086357948,med,0.021013921723141583,wear,0.02034292356873002,joke,0.01361190250079139,delivery,0.02178454192778275,woman,0.020846297448662104,due,0.022762227007074746,long,0.02753220510229856,medication,0.012976256212037547,explain,0.020683949255377827,speak,0.018883193957377933,speak,0.02363080344731721,fever,0.026030368763557483,bed,0.023895946763460376,pretty,0.02247191011235955,mention,0.016351118760757316
Word_10,find,0.017549261083743842,covid,0.01726704376302471,nursing,0.02044989775051125,money,0.02016250376166115,absolutely,0.02127659574468085,leave,0.018124507486209612,face,0.02005231037489102,talk,0.01361190250079139,check,0.01939719486720382,mind,0.014934660858743,person,0.02214703168255921,check,0.026269259914119727,completely,0.012424075096631695,happen,0.01847766133480419,patient,0.017534394388993794,condition,0.02057269947178204,back,0.022505422993492407,check,0.023593466424682397,job,0.018220467658669907,father,0.015203671830177854
Word_11,issue,0.017241379310344827,meet,0.01726704376302471,covid,0.014022787028921999,covid,0.019861570869696057,low,0.015644555694618274,home,0.018124507486209612,put,0.01859924440569602,situation,0.013295346628679962,labor,0.01850193971948672,dirty,0.014001244555071561,fact,0.02030144570901261,car,0.02071230108613286,return,0.011871893981225842,hospital,0.017926089354660783,pick,0.017534394388993794,brother,0.020294690019460663,negative,0.021963123644251625,side,0.018451300665456746,lot,0.01700576981475858,concern,0.01491681009753299
Word_12,close,0.017241379310344827,clean,0.01726704376302471,entire,0.011977797253870874,office,0.017755040625940414,put,0.014705882352941176,put,0.015760441292356184,risk,0.016274338854984017,hope,0.013295346628679962,make,0.017308266189197254,diagnose,0.013690105787181083,discharge,0.017225469086434943,area,0.019701944935589796,prescription,0.011595803423522915,shift,0.014892443463872035,attitude,0.015376315079579175,understand,0.020016680567139282,sick,0.021420824295010847,offer,0.018148820326678767,extremely,0.01700576981475858,woman,0.01434308663224326
Word_13,require,0.016933497536945813,super,0.01637392080976481,physician,0.011685655857435,send,0.017454107733975325,oxygen,0.014080100125156446,stay,0.015235093249277647,door,0.015693112467306015,elderly,0.013295346628679962,deliver,0.01611459265890779,avoid,0.013690105787181083,write,0.016610273761919408,finally,0.01919676686031826,cold,0.011595803423522915,hear,0.014065085493656922,number,0.013757755597518209,policy,0.01529051987767584,run,0.019251626898047724,fall,0.01572897761645493,process,0.016702095353780748,lose,0.01434308663224326
Word_14,drive,0.014470443349753694,safe,0.01637392080976481,member,0.010809231668127374,lab,0.017454107733975325,lot,0.012828535669586983,severe,0.014447071184659837,bring,0.015402499273467015,worker,0.013295346628679962,push,0.015816174276335422,poor,0.013690105787181083,hold,0.015072285450630576,sick,0.01919676686031826,arm,0.010767531750414136,change,0.013789299503585218,happen,0.012139196115457242,top,0.014734500973033082,feel,0.01654013015184382,early,0.015426497277676952,move,0.016398420892802915,report,0.01434308663224326
