,best_match_score,__id_left,__id_right,ID,STCD,DTBEG,DTEND,YEAR,CNTYNAME,MNAME,MLOCADDR,MLOCCITY,GRACE,MLOCSTCD,MCNTYCD,FCOUNTY,FSTCD,FCNTYCD,MLOCZIP,STATE,fac_id,fac_name,fac_is_closed,review_count,fac_rating,fac_updated_time,phone,business_url,fac_url,address,city,state,country,postal_code,latitude,longitude
0,-1.638185159745484,6040001,Z1JWGhXgu_WL8ufagEzErA,6040001,4,,,2018,"Vega Baja, PR",wilma n. vazquez medical center,"km 39 1/2 road 2, call box 7001",vega baja,,4,145,72145,72,145,00694,pr,Z1JWGhXgu_WL8ufagEzErA,pro-care medical center,False,41,3.5,2020-03-11T11:50:23,15123779042.0,https://www.procaremedcenter.com,https://www.yelp.com/biz/pro-care-medical-center-austin?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,1015 w 39 1/2 st,austin,tx,US,78756.0,30.3072869,-97.74275379999999
295,0.053667207471497856,6040002,5L4r_8F_VJUXHWlFC3_fNg,6040002,4,,,2018,"San Juan, PR",hospital san francisco,371 avenida de diego,san juan,,4,127,72127,72,127,00923-1711,pr,5L4r_8F_VJUXHWlFC3_fNg,sadhana healing arts,False,3,3.5,2019-06-09T08:50:34,17877581739.0,http://www.sadhanahealing.com,https://www.yelp.com/biz/sadhana-healing-arts-san-juan?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,177 avenida de diego río piedras,san juan,pr,US,927.0,,
400,-0.8754949325665327,6040004,AwIgR4w4iPBv4HEHIlbYLg,6040004,4,,,2018,"Caguas, PR",hima san pablo caguas,avenida munoz marin,caguas,,4,25,72025,72,25,00726,pr,AwIgR4w4iPBv4HEHIlbYLg,smile direct club,False,3,5.0,2020-06-24T19:24:21,17873379947.0,https://smiledirectclub.com,https://www.yelp.com/biz/smile-direct-club-san-juan?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,25 avenida luis munoz rivera,san juan,pr,US,901.0,,
644,-0.1296438349666581,6040005,Mt0C7ygnJtZemwY7W8f8aw,6040005,4,01/01/2018,12/31/2018,2018,"Aguadilla, PR",hospital buen samaritano,carr #2 km 141-1 ave severiano cuevas,aguadilla,,4,5,72005,72,5,00603,pr,Mt0C7ygnJtZemwY7W8f8aw,hospital comunitario buen samaritano,False,2,1.0,2020-06-19T16:06:17,17876580000.0,http://hbspr.org/,https://www.yelp.com/biz/hospital-comunitario-buen-samaritano-aguadilla?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,calle jose de diego,aguadilla,pr,US,605.0,,
869,-1.7295770491837024,6040006,0oUUlz7qFZZ6kS6cpDAUIg,6040006,4,,,2018,"San Juan, PR",cardiovascular center of puerto rico and the caribbean,americo miranda centro medico,san juan,,4,127,72127,72,127,00936,pr,0oUUlz7qFZZ6kS6cpDAUIg,university of the pacific hearing and balance center,False,11,4.5,2020-04-07T04:52:22,14157802001.0,http://www.upacifichearing.com/,https://www.yelp.com/biz/university-of-the-pacific-hearing-and-balance-center-san-francisco?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,155 5th st,san francisco,ca,US,94103.0,,
1094,-1.2454727837662323,6040007,Mt0C7ygnJtZemwY7W8f8aw,6040007,4,,,2018,"Manati, PR",hospital manati medical center,"calle hernandez, carrion 668",manati,,4,91,72091,72,91,00674,pr,Mt0C7ygnJtZemwY7W8f8aw,hospital comunitario buen samaritano,False,2,1.0,2020-06-19T16:06:17,17876580000.0,http://hbspr.org/,https://www.yelp.com/biz/hospital-comunitario-buen-samaritano-aguadilla?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,calle jose de diego,aguadilla,pr,US,605.0,,
1311,-1.4166195463910323,6040008,Mt0C7ygnJtZemwY7W8f8aw,6040008,4,,,2018,"San German, PR",hospital metropolitano san german,calle javilla al costado parque de bombas,san german,,4,125,72125,72,125,00683,pr,Mt0C7ygnJtZemwY7W8f8aw,hospital comunitario buen samaritano,False,2,1.0,2020-06-19T16:06:17,17876580000.0,http://hbspr.org/,https://www.yelp.com/biz/hospital-comunitario-buen-samaritano-aguadilla?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,calle jose de diego,aguadilla,pr,US,605.0,,
1560,-0.3884194524790079,6040009,FHiWVQaOeTxfRlUIdghIEg,6040009,4,,,2018,"San Juan, PR",encompass health rehabilitation hospital of san juan,"university hospital, 3rd floor",san juan,,4,127,72127,72,127,00923,pr,FHiWVQaOeTxfRlUIdghIEg,encompass health rehabilitation hospital of arlington,False,10,3.0,2020-06-24T10:38:51,18174684000.0,https://encompasshealth.com,https://www.yelp.com/biz/encompass-health-rehabilitation-hospital-of-arlington-arlington?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,3200 matlock rd,arlington,tx,US,76015.0,,
1772,-1.251662423866378,6040011,7K1sQcI8xN8KjqvIu3G7sA,6040011,4,01/01/2018,12/31/2018,2018,"Moca, PR",hospital san carlos borromeo,550 concepcion vera ayala,moca,,4,99,72099,72,99,00676,pr,7K1sQcI8xN8KjqvIu3G7sA,san joaquin general hospital,False,1,1.0,2017-04-10T19:32:06,12094686440.0,http://www.sjgeneralhospital.com,https://www.yelp.com/biz/san-joaquin-general-hospital-stockton-4?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,,stockton,ca,US,95201.0,,
2028,-1.0171854289185118,6040012,7K1sQcI8xN8KjqvIu3G7sA,6040012,4,,,2018,"Ponce, PR",hospital san cristobal,506 carr road,coto laurel,,4,113,72113,72,113,00780,pr,7K1sQcI8xN8KjqvIu3G7sA,san joaquin general hospital,False,1,1.0,2017-04-10T19:32:06,12094686440.0,http://www.sjgeneralhospital.com,https://www.yelp.com/biz/san-joaquin-general-hospital-stockton-4?adjust_creative=upenn&utm_campaign=yelp_feed&utm_medium=feed_v2&utm_source=upenn,,stockton,ca,US,95201.0,,
